Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Walley, J., Xiao, Y., Wang, J.-Z., Baidoo, E.E., Keasling, J.D., Shen, Z., Briggs, S.P., Dehesh, K.","Plastid-produced interorgannellar stress signal MEcPP potentiates induction of the unfolded protein response in endoplasmic reticulum",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","19",,"6212","6217",,1,10.1073/pnas.1504828112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929208100&partnerID=40&md5=cf73846d517239005a2907015c55978f",Article,Scopus,2-s2.0-84929208100
"Walley, J.W., Briggs, S.P.","Dual use of peptide mass spectra: Protein atlas and genome annotation",2015,"Current Plant Biology","2",,,"21","24",,,10.1016/j.cpb.2015.02.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927518182&partnerID=40&md5=336462b6692332829078983019804314",Review,Scopus,2-s2.0-84927518182
"Marcon, C., Malik, W.A., Walley, J.W., Shen, Z., Paschold, A., Smith, L.G., Piepho, H.-P., Briggs, S.P., Hochholdinger, F.","A high-resolution tissue-specific proteome and phosphoproteome atlas of maize primary roots reveals functional gradients along the root axes",2015,"Plant Physiology","168","1",,"233","246",,,/10.1104/pp.15.00138,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929455267&partnerID=40&md5=d42c1535764da4b1d16970fdd46d45ae",Article,Scopus,2-s2.0-84929455267
"Castellana, N.E., Shen, Z., He, Y., Walley, J.W., Cassidy, C.J., Briggs, S.P., Bafna, V.","An automated proteogenomic method uses mass spectrometry to reveal novel genes in Zea mays",2014,"Molecular and Cellular Proteomics","13","1",,"157","167",,15,10.1074/mcp.M113.031260,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891760451&partnerID=40&md5=db02a8b05aa5cfd063e94ecce6010841",Article,Scopus,2-s2.0-84891760451
"Walley, J.W., Shen, Z., Sartor, R., Wu, K.J., Osborn, J., Smith, L.G., Briggs, S.P.","Reconstruction of protein networks from an atlas of maize seed proteotypes",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","49",,"E4808","E4817",,21,10.1073/pnas.1319113110/-/DCSupplemental,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889637085&partnerID=40&md5=13d5262af4b51c00e5d55883ed728596",Article,Scopus,2-s2.0-84889637085
"Walley, J.W., Kliebenstein, D.J., Bostock, R.M., Dehesh, K.","Fatty acids and early detection of pathogens",2013,"Current Opinion in Plant Biology","16","4",,"520","526",,14,10.1016/j.pbi.2013.06.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881614156&partnerID=40&md5=bbf3759c4168befbfe3513779e843a20",Review,Scopus,2-s2.0-84881614156
"Savchenko, T., Walley, J.W., Chehab, E.W., Xiao, Y., Kaspi, R., Pye, M.F., Mohamed, M.E., Lazarus, C.M., Bostock, R.M., Dehesh, K.","Arachidonic acid: An evolutionarily conserved signaling molecule modulates plant stress signaling networks",2010,"Plant Cell","22","10",,"3193","3205",,38,10.1105/tpc.110.073858,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649513108&partnerID=40&md5=fa9e48c5831f8380fd3504bbf92a1255",Article,Scopus,2-s2.0-78649513108
"Walley, J.W., Huerta, A.J.","Exposure to environmentally relevant levels of cadmium primarily impacts transpiration in field-grown soybean",2010,"Journal of Plant Nutrition","33","10",,"1519","1530",,4,10.1080/01904167.2010.489988,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954092410&partnerID=40&md5=bf367e4646418037497b8dc8359336aa",Article,Scopus,2-s2.0-77954092410
"Walley, J.W., Kelley, D.R., Savchenko, T., Dehesh, K.","Investigating the function of CAF1 deadenylases during plant stress responses",2010,"Plant Signaling and Behavior","5","7",,"802","805",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956978554&partnerID=40&md5=04a4f861efa3fde598e622078717ab5a",Article,Scopus,2-s2.0-77956978554
"Rowe, H.C., Walley, J.W., Corwin, J., Chan, E.K.-F., Dehesh, K., Kliebenstein, D.J.","Deficiencies in jasmonate-mediated plant defense reveal quantitative variation in Botrytis cinerea pathogenesis",2010,"PLoS Pathogens","6","4",,"1","18",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954065435&partnerID=40&md5=c20d908e20ba67ec987ac35efde32bf0",Article,Scopus,2-s2.0-77954065435
