Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Penning, B.W., Sykes, R.W., Babcock, N.C., Dugard, C.K., Held, M.A., Klimek, J.F., Shreve, J.T., Fowler, M., Ziebell, A., Davis, M.F., Decker, S.R., Turner, G.B., Mosier, N.S., Springer, N.M., Thimmapuram, J., Weil, C.F., Mccann, M.C., Carpita, N.C.","Genetic Determinants for Enzymatic Digestion of Lignocellulosic Biomass are Independent of Those for Lignin abundance in a maize Recombinant Inbred population",2014,"Plant Physiology","165","4",,"1475","1487",,8,10.1104/pp.114.242446,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905277334&partnerID=40&md5=3236429a7f01c6192a297ce7b0cec89f",Article,Scopus,2-s2.0-84905277334
"Penning, B.W., Sykes, R.W., Babcock, N.C., Dugard, C.K., Klimek, J.F., Gamblin, D., Davis, M., Filley, T.R., Mosier, N.S., Weil, C.F., McCann, M.C., Carpita, N.C.","Validation of PyMBMS as a High-throughput Screen for Lignin Abundance in Lignocellulosic Biomass of Grasses",2014,"Bioenergy Research","7","3",,"899","908",,2,10.1007/s12155-014-9410-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906781423&partnerID=40&md5=d32a88eb943e7aa5a019bef9faadb78e",Article,Scopus,2-s2.0-84906781423
"Dooner, H.K., Weil, C.F.","Transposons and Gene Creation",2013,"Plant Transposons and Genome Dynamics in Evolution",,,,"143","164",,1,10.1002/9781118500156.ch8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870657494&partnerID=40&md5=338beb0988e9e9aba347bd6c968a39e5",Book Chapter,Scopus,2-s2.0-84870657494
"Dweikat, I., Weil, C., Moose, S., Kochian, L., Mosier, N., Ileleji, K., Brown, P., Peer, W., Murphy, A., Taheripour, F., Mccann, M., Carpita, N.","Envisioning the transition to a next-generation biofuels industry in the US Midwest",2012,"Biofuels, Bioproducts and Biorefining","6","4",,"376","386",,11,10.1002/bbb.1342,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863784882&partnerID=40&md5=16878152101bbe64879c0ce1ca561b10",Article,Scopus,2-s2.0-84863784882
"White, W.G., Moose, S.P., Weil, C.F., McCann, M.C., Carpita, N.C., Below, F.E.","Tropical maize: Exploiting maize genetic diversity to develop a novel annual crop for lignocellulosic biomass and sugar production",2011,"Routes to Cellulosic Ethanol",,,,"167","179",,7,10.1007/978-0-387-92740-4_11,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863782754&partnerID=40&md5=e594ca5d49b3e962a0aae0c0c919b779",Book Chapter,Scopus,2-s2.0-84863782754
"Huefner, N.D., Mizuno, Y., Weil, C.F., Korf, I., Britt, A.B.","Breadth by depth: Expanding our understanding of the repair of transposon-induced DNA double strand breaks via deep-sequencing",2011,"DNA Repair","10","10",,"1023","1033",,12,10.1016/j.dnarep.2011.07.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053309766&partnerID=40&md5=8fa380acad6fc3a17b12d344ae301546",Article,Scopus,2-s2.0-80053309766
"Chaikam, V., Negeri, A., Dhawan, R., Puchaka, B., Ji, J., Chintamanani, S., Gachomo, E.W., Zillmer, A., Doran, T., Weil, C., Balint-Kurti, P., Johal, G.","Use of mutant-assisted gene identification and characterization (MAGIC) to identify novel genetic loci that modify the maize hypersensitive response",2011,"Theoretical and Applied Genetics","123","6",,"985","997",,8,10.1007/s00122-011-1641-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857082490&partnerID=40&md5=09a539e1bbba7c09e73614d9042ab2f9",Article,Scopus,2-s2.0-84857082490
"Benmoussa, M., Hamaker, B.R., Huang, C.P., Sherman, D.M., Weil, C.F., BeMiller, J.N.","Elucidation of maize endosperm starch granule channel proteins and evidence for plastoskeletal structures in maize endosperm amyloplasts",2010,"Journal of Cereal Science","52","1",,"22","29",,8,10.1016/j.jcs.2010.02.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953131687&partnerID=40&md5=7f9542f8ce50082a2245993b034d8de0",Article,Scopus,2-s2.0-77953131687
"Popelka, M., Tuinstra, M., Weil, C.F.","Discovering Genes for Abiotic Stress Tolerance in Crop Plants",2009,"Genes for Plant Abiotic Stress",,,,"281","302",,2,10.1002/9780813809380.ch11,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856785828&partnerID=40&md5=3a52478585c17481ea0c0838b56c3150",Book Chapter,Scopus,2-s2.0-84856785828
"Weil, C.F.","Too many ends: Aberrant transposition",2009,"Genes and Development","23","9",,"1032","1036",,4,10.1101/gad.1801309,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65449117653&partnerID=40&md5=69b9c2dca43723eebe90063126ce3bf2",Review,Scopus,2-s2.0-65449117653
"Weil, C., Monde, R.","TILLING and point mutation detection",2009,"Handbook of Maize: Genetics and Genomics",,,,"585","596",,2,10.1007/978-0-387-77863-1_29,"http://www.scopus.com/inward/record.url?eid=2-s2.0-69449094266&partnerID=40&md5=4d678d011934a718f67b5647438c7ec3",Book Chapter,Scopus,2-s2.0-69449094266
"Weil, C.F.","TILLING in grass species",2009,"Plant Physiology","149","1",,"158","164",,27,10.1104/pp.108.128785,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58449132366&partnerID=40&md5=4edf0f77c0af972f3a54cf1df1966c8e",Review,Scopus,2-s2.0-58449132366
"Johal, G.S., Balint-Kurti, P., Weil, C.F.","Mining and harnessing natural variation: A little MAGIC",2008,"Crop Science","48","6",,"2066","2073",,19,10.2135/cropsci2008.03.0150,"http://www.scopus.com/inward/record.url?eid=2-s2.0-57149091739&partnerID=40&md5=f9e7319b21245555760eb0da2f334aba",Review,Scopus,2-s2.0-57149091739
"Weil, C., Martienssen, R.","Epigenetic interactions between transposons and genes: lessons from plants",2008,"Current Opinion in Genetics and Development","18","2",,"188","192",,47,10.1016/j.gde.2008.01.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44349158512&partnerID=40&md5=d339bd16343a9d9ded8651b8674973aa",Review,Scopus,2-s2.0-44349158512
"Kim, H.-S., Vijayakumar, S., Reger, M., Harrison, J.C., Haber, J.E., Weil, C., Petrini, J.H.J.","Functional interactions between Sae2 and the Mre11 complex",2008,"Genetics","178","2",,"711","723",,26,10.1534/genetics.107.081331,"http://www.scopus.com/inward/record.url?eid=2-s2.0-40849094757&partnerID=40&md5=300d0769c68a44ef9d08d349ef197897",Article,Scopus,2-s2.0-40849094757
"Weil, C.F., Monde, R.-A.","Induced mutations in maize",2007,"Israel Journal of Plant Sciences","55","2",,"183","190",,3,10.1560/IJPS.55.2.183,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51849160368&partnerID=40&md5=669497dd5821d415fb40f1c1cfbde5ac",Review,Scopus,2-s2.0-51849160368
"Dooner, H.K., Weil, C.F.","Give-and-take: interactions between DNA transposons and their host plant genomes",2007,"Current Opinion in Genetics and Development","17","6",,"486","492",,46,10.1016/j.gde.2007.08.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36549081460&partnerID=40&md5=e8d479f12ac83f2b8ead25f2fa3aa4bf",Review,Scopus,2-s2.0-36549081460
"Waterworth, W.M., Altun, C., Armstrong, S.J., Roberts, N., Dean, P.J., Young, K., Weil, C.F., Bray, C.M., West, C.E.","NBS1 is involved in DNA repair and plays a synergistic role with ATM in mediating meiotic homologous recombination in plants",2007,"Plant Journal","52","1",,"41","52",,36,10.1111/j.1365-313X.2007.03220.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34748818098&partnerID=40&md5=59dc96246d815ec3e3b82d9ba90c1eee",Article,Scopus,2-s2.0-34748818098
"Weil, C.F., Monde, R.-A.","Getting the point - Mutations in maize",2007,"Crop Science","47","SUPPL. 1",,"S","60-S-67",,19,10.2135/cropsci2006.09.0563tpg,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33847315995&partnerID=40&md5=01678badb769efe7f159a5ba882d5066",Article,Scopus,2-s2.0-33847315995
"Yang, G., Weil, C.F., Wessler, S.R.","A rice Tc1/mariner-like element transposes in yeast",2006,"Plant Cell","18","10",,"2469","2478",,30,10.1105/tpc.106.045906,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33750973059&partnerID=40&md5=7919d8d994857b6f6ec2a5e4a617894d",Article,Scopus,2-s2.0-33750973059
"Weil, C.F., Monde, R.-A., Till, B.J., Comai, L., Henikoff, S.","Mutagenesis and functional genomics in maize",2005,"Maydica","50","3-4",,"415","424",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67649416609&partnerID=40&md5=2576e39086c4f02fc7ad6c2b3fbe66c1",Review,Scopus,2-s2.0-67649416609
"Weil, C.F.","Maize transposons in the molecular age",2005,"Maydica","50","3-4",,"339","348",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67649419709&partnerID=40&md5=7db02cfe877aeb0b71e9b7fd6031b61b",Review,Scopus,2-s2.0-67649419709
"Weil, C.","Single base hits score a home run in wheat",2005,"Trends in Biotechnology","23","5",,"220","222",,1,10.1016/j.tibtech.2005.03.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18144431030&partnerID=40&md5=50442a46bc0c45a2820d62a2a32ac2de",Review,Scopus,2-s2.0-18144431030
"Till, B.J., Reynolds, S.H., Weil, C., Springer, N., Burtner, C., Young, K., Bowers, E., Codomo, C.A., Enns, L.C., Odden, A.R., Greene, E.A., Comai, L., Henikoff, S.","Discovery of induced point mutations in maize genes by TILLING",2004,"BMC Plant Biology","4",, 12,"","",,190,10.1186/1471-2229-4-12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-13444271629&partnerID=40&md5=d8d5cff7cd5d389883462bb4d858f59d",Article,Scopus,2-s2.0-13444271629
"Yu, J., Marshall, K., Yamaguchi, M., Haber, J.E., Weil, C.F.","Microhomology-Dependent End Joining and Repair of Transposon-Induced DNA Hairpins by Host Factors in Saccharomyces cerevisiae",2004,"Molecular and Cellular Biology","24","3",,"1351","1364",,41,10.1128/MCB.24.3.1351-1364.2004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-1642458360&partnerID=40&md5=93d197a52fd731cd8b22d708032fc56e",Article,Scopus,2-s2.0-1642458360
"Weil, C.F.","Finding the crosswalks on DNA",2002,"Proceedings of the National Academy of Sciences of the United States of America","99","9",,"5763","5765",,2,10.1073/pnas.102171899,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037197895&partnerID=40&md5=5d377f009a5697f3d92ddd3282ede64d",Note,Scopus,2-s2.0-0037197895
"Giedt, C.D., Weil, C.F.","The maize LAG1-O mutant suggests that reproductive cell lineages show unique gene expression patterns early in vegetative development",2000,"Plant Journal","24","6",,"815","823",,3,10.1046/j.1365-313X.2000.00919.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034486503&partnerID=40&md5=83e4760d06707e8b27853433f30907c6",Article,Scopus,2-s2.0-0034486503
"Weil, C.F., Kunze, R.","Transposition of maize Ac/Ds transposable elements in the yeast Saccharomyces cerevisiae",2000,"Nature Genetics","26","2",,"187","190",,62,10.1038/82827,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033780451&partnerID=40&md5=f467d5c4699119807e14f2f1e458eec9",Article,Scopus,2-s2.0-0033780451
"Mason-Gamer, R.J., Weil, C.F., Kellogg, E.A.","Granule-bound starch synthase: Structure, function, and phylogenetic utility",1998,"Molecular Biology and Evolution","15","12",,"1658","1673",,202,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031796608&partnerID=40&md5=6df3dcfb13d5799d95c53de1382eabe5",Article,Scopus,2-s2.0-0031796608
"Rinehart, T.A., Dean, C., Weil, C.F.","Comparative analysis of non-random DNA repair following Ac transposon excision in maize and Arabidopsis",1997,"Plant Journal","12","6",,"1419","1427",,45,10.1046/j.1365-313x.1997.12061419.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031467948&partnerID=40&md5=53f008663cac9b24e87b9831233039f7",Article,Scopus,2-s2.0-0031467948
"Eisses, J.F., Lafoe, D., Scott, L.-A., Weil, C.F.","Novel, developmentally specific control of Ds transposition in maize",1997,"Molecular and General Genetics","256","2",,"158","168",,16,10.1007/s004380050557,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030700515&partnerID=40&md5=d03dcd53730a6dd5fd2091296c4179bc",Article,Scopus,2-s2.0-0030700515
"Okagaki, R.J., Weil, C.F.","Analysis of recombination sites within the maize waxy locus",1997,"Genetics","147","2",,"815","821",,34,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030870152&partnerID=40&md5=dc44f9e16cb3978ef5527b7b0e9ae575",Article,Scopus,2-s2.0-0030870152
"Scott, L., LaFoe, D., Weil, C.F.","Adjacent sequences influence DNA repair accompanying transposon excision in maize",1996,"Genetics","142","1",,"237","246",,73,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029671429&partnerID=40&md5=354583ce12c77bf23d5b732067678f60",Article,Scopus,2-s2.0-0029671429
"Weil, C.F., Wessier, S.R.","Molecular evidence that chromosome breakage by Ds elements is caused by aberrant transposition",1993,"Plant Cell","5","5",,"515","522",,56,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027603760&partnerID=40&md5=8a1ab7bc1c5427ed28335977943bc6f5",Article,Scopus,2-s2.0-0027603760
"Weil, C.F., Marillonnet, S., Burr, B., Wessler, S.R.","Changes in state of the Wx-m5 allele of maize are due to intragenic transposition of Ds",1992,"Genetics","130","1",,"175","185",,31,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026536533&partnerID=40&md5=f6689c2fba89d9e73ee44e8523fb6e55",Article,Scopus,2-s2.0-0026536533
"Weil, C.F., Wessler, S.R.","The effects of plant transposable element insertion on transcription initiation and RNA processing",1990,"Annual Review of Plant Physiology and Plant Molecular Biology","41","1",,"527","552",,43,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-11944260268&partnerID=40&md5=c02a0b1f47ed2b52adc3df11741594a6",Article,Scopus,2-s2.0-11944260268
"Weil, C.F., Sherf, B.A., Reeve, J.N.","A comparison of the methyl reductase gene and gene products",1989,"Canadian Journal of Microbiology","35","1",,"101","108",,16,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024559670&partnerID=40&md5=6c39124a89c2aaddc30507f92b5c0400",Article,Scopus,2-s2.0-0024559670
"Weil, C.F., Cram, D.S., Sherf, B.A., Reeve, J.N.","Structure and comparative analysis of the genes encoding component C of methyl coenzyme M reductase in the extremely thermophilic archaebacterium Methanothermus fervidus.",1988,"Journal of Bacteriology","170","10",,"4718","4726",,33,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024095522&partnerID=40&md5=5c47a6c0d11c6deb00dcc82a79473c74",Article,Scopus,2-s2.0-0024095522
"Weil, C.F., Beckler, G.S., Reeve, J.N.","Structure and organization of the hisA gene of the thermophilic archaebacterium Methanococcus thermolithotrophicus.",1987,"Journal of Bacteriology","169","10",,"4857","4860",,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023432347&partnerID=40&md5=5fb1a8708928a9007492dc9d3d620596",Article,Scopus,2-s2.0-0023432347
"Oakley, C.E., Weil, C.F., Kretz, P.L., Oakley, B.R.","Cloning of the riboB locus of Aspergillus nidulans",1987,"Gene","53","2-3",,"293","298",,116,10.1016/0378-1119(87)90019-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023228563&partnerID=40&md5=a229102fa4330a1573eb13a7c903dd0e",Article,Scopus,2-s2.0-0023228563
"Weil, C.F., Oakley, C.E., Oakley, B.R.","Isolation of mip (microtubule-interacting protein) mutations of Aspergillus nidulans.",1986,"Molecular and Cellular Biology","6","8",,"2963","2968",,47,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022767591&partnerID=40&md5=c3bca1f434c11b52e5ba87218e2e022f",Article,Scopus,2-s2.0-0022767591
