Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Tashiro, R.M., Philips, J.G., Winefield, C.S.","Identification of suitable grapevine reference genes for qRT-PCR derived from heterologous species",2015,"Molecular Genetics and Genomics",,,,"","",10,,10.1007/s00438-015-1081-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934783452&partnerID=40&md5=2adbc9479ec18df045d0d3374ab0c22f",Article in Press,Scopus,2-s2.0-84934783452
"Eltom, M., Winefield, C., Trought, M.C.T.","Effects of shoot girdling and/or periodic leaf removal on inflorescence primordia initiation and development in Vitis viniferaL. cv. Sauvignon Blanc",2015,"Australian Journal of Grape and Wine Research","21","1",,"118","122",,,10.1111/ajgw.12113,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924861208&partnerID=40&md5=4da217629afd95ff1bf0f5f1fb544be0",Article,Scopus,2-s2.0-84924861208
"Liu, L., Gregan, S., Winefield, C., Jordan, B.","From UVR8 to flavonol synthase: UV-B-induced gene expression in Sauvignon blanc grape berry",2015,"Plant, Cell and Environment","38","5",,"905","919",,1,10.1111/pce.12349,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927750829&partnerID=40&md5=a5bdd937285073cf8ef0a752f8d43965",Article,Scopus,2-s2.0-84927750829
"Eltom, M., Trought, M.C.T., Winefield, C.S.","The effect of pre-budbreak cane girdling on the physical and phenological development of the inner and outer arm in Vitis vinifera L. 'Sauvignon blanc' inflorescence structures",2014,"Vitis - Journal of Grapevine Research","53","1",,"21","28",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893979382&partnerID=40&md5=ba5f76b1db0f4a0d4567ab57b7b5032f",Article,Scopus,2-s2.0-84893979382
"Lizamore, D., Winefield, C.","The addition of an organosilicone surfactant to Agrobacterium suspensions enables efficient transient transformation of in vitro grapevine leaf tissue at ambient pressure",2014,"Plant Cell, Tissue and Organ Culture","120","2",,"607","615",,,10.1007/s11240-014-0627-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925516102&partnerID=40&md5=3b929a97de26441f96f73d7a4c0bc182",Article,Scopus,2-s2.0-84925516102
"Eltom, M., Winefield, C.S., Trought, M.C.T.","Effect of pruning system, cane size and season on inflorescence primordia initiation and inflorescence architecture of Vitis vinifera L. Sauvignon Blanc",2014,"Australian Journal of Grape and Wine Research","20","3",,"459","464",,,10.1111/ajgw.12097,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908062622&partnerID=40&md5=d2862dd7c7ef533c295937f709a145d2",Article,Scopus,2-s2.0-84908062622
"Eltom, M., Trought, M., Winefield, C.","The effects of cane girdling before budbreak on shoot growth, leaf area and carbohydrate content of Vitis vinifera L. Sauvignon Blanc grapevines",2013,"Functional Plant Biology","40","7",,"749","757",,5,10.1071/FP12278,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880466188&partnerID=40&md5=f7bb72ef6d3b981f1a34116cfba320b8",Article,Scopus,2-s2.0-84880466188
"Viera Arroyo, W., Alspach, P., Brewer, L., Johnston, J., Winefield, C.","Genetic parameters for sugar content in an interspecific pear population",2013,"European Journal of Horticultural Science","78","2",,"56","66",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876238718&partnerID=40&md5=96fd39327ad6a34a659086a03fb7cc0f",Article,Scopus,2-s2.0-84876238718
"Joseph Stephens, M., Alspach, P.A., Beatson, R.A., Winefield, C., Buck, E.J.","A method for breeding new cultivars of machine-harvested raspberries with high yield",2012,"Journal of the American Society for Horticultural Science","137","6",,"458","464",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870511461&partnerID=40&md5=b85b10a269110e6a09c2061ef0f072be",Article,Scopus,2-s2.0-84870511461
"Joseph Stephens, M., Alspach, P.A., Beatson, R.A., Winefield, C., Buck, E.J.","Genetic parameters and breeding for yield in Red raspberry",2012,"Journal of the American Society for Horticultural Science","137","4",,"229","235",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864797326&partnerID=40&md5=d1f9ee444fba346a02f19288fb5b096f",Article,Scopus,2-s2.0-84864797326
"Joseph Stephens, M., Alspach, P.A., Beatson, R.A., Winefield, C., Buck, E.J.","Genetic parameters and development of a selection index for breeding red raspberries for processing",2012,"Journal of the American Society for Horticultural Science","137","4",,"236","242",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864793583&partnerID=40&md5=af9849d4d97ddc658f4b41de71efb4f6",Article,Scopus,2-s2.0-84864793583
"Gregan, S.M., Wargent, J.J., Liu, L., Shinkle, J., Hofmann, R., Winefield, C., Trought, M., Jordan, B.","Effects of solar ultraviolet radiation and canopy manipulation on the biochemical composition of Sauvignon Blanc grapes",2012,"Australian Journal of Grape and Wine Research","18","2",,"227","238",,21,10.1111/j.1755-0238.2012.00192.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861490464&partnerID=40&md5=962a2647f807cda4162582daf851634e",Article,Scopus,2-s2.0-84861490464
"Stephens, M.J., Alspach, P.A., Winefield, C.","Genetic parameters associated with yield and yield components in red raspberry",2012,"Acta Horticulturae","946",,,"37","42",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863653180&partnerID=40&md5=76629121f9bdcd71592b22720100898c",Conference Paper,Scopus,2-s2.0-84863653180
"Di, H.J., Cameron, K.C., Shen, J.-P., Winefield, C.S., O'Callaghan, M., Bowatte, S., He, J.-Z.","Methanotroph abundance not affected by applications of animal urine and a nitrification inhibitor, dicyandiamide, in six grazed grassland soils",2011,"Journal of Soils and Sediments","11","3",,"432","439",,7,10.1007/s11368-010-0318-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79953189999&partnerID=40&md5=beeba5649c6f9076875dea29ba5091db",Article,Scopus,2-s2.0-79953189999
"Podolyan, A., White, J., Jordan, B., Winefield, C.","Identification of the lipoxygenase gene family from Vitis vinifera and biochemical characterisation of two 13-lipoxygenases expressed in grape berries of Sauvignon Blanc",2010,"Functional Plant Biology","37","8",,"767","784",,24,10.1071/FP09271,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955060130&partnerID=40&md5=cfeb1ded4a6fdab1c441e2f58ee2cb09",Article,Scopus,2-s2.0-77955060130
"Di, H.J., Cameron, K.C., Shen, J.-P., Winefield, C.S., O'Callaghan, M., Bowatte, S., He, J.-Z.","Ammonia-oxidizing bacteria and archaea grow under contrasting soil nitrogen conditions",2010,"FEMS Microbiology Ecology","72","3",,"386","394",,154,10.1111/j.1574-6941.2010.00861.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77951954643&partnerID=40&md5=8a4eca83f84f936d7b61663588f25281",Article,Scopus,2-s2.0-77951954643
"Di, H.J., Cameron, K.C., Sherlock, R.R., Shen, J.-P., He, J.-Z., Winefield, C.S.","Nitrous oxide emissions from grazed grassland as affected by a nitrification inhibitor, dicyandiamide, and relationships with ammonia-oxidizing bacteria and archaea",2010,"Journal of Soils and Sediments","10","5",,"943","954",,54,10.1007/s11368-009-0174-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953702908&partnerID=40&md5=6caaa0ee59a37776dba111b4d5e88ba2",Article,Scopus,2-s2.0-77953702908
"Carmo Vasconcelos, M., Greven, M., Winefield, C.S., Trought, M.C.T., Raw, V.","The flowering process of vitis vinifera: A review",2009,"American Journal of Enology and Viticulture","60","4",,"411","434",,42,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-71049164167&partnerID=40&md5=c73a52fbd542a8fc998f2ec25ad1b16c",Article,Scopus,2-s2.0-71049164167
"Di, H.J., Cameron, K.C., Shen, J.P., He, J.Z., Winefield, C.S.","A lysimeter study of nitrate leaching from grazed grassland as affected by a nitrification inhibitor, dicyandiamide, and relationships with ammonia oxidizing bacteria and archaea",2009,"Soil Use and Management","25","4",,"454","461",,37,10.1111/j.1475-2743.2009.00241.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70450207493&partnerID=40&md5=4bee9bf665072ec5369cda0eeb43bbe6",Article,Scopus,2-s2.0-70450207493
"Di, H.J., Cameron, K.C., Shen, J.P., Winefield, C.S., Ocallaghan, M., Bowatte, S., He, J.Z.","Nitrification driven by bacteria and not archaea in nitrogen-rich grassland soils",2009,"Nature Geoscience","2","9",,"621","624",,254,10.1038/ngeo613,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70149118163&partnerID=40&md5=67689c06c3cc62e0f4bb111a99c33f92",Article,Scopus,2-s2.0-70149118163
"Collette, V.E., Jameson, P.E., Schwinn, K.E., Winefield, C.S., Umaharan, P., Davies, K.M.","An effective method for isolating high quality RNA from spathe tissue of Anthurium andraeanum Hort. and other members of the Araceae family",2008,"Tropical Agriculture","85","3",,"193","198",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862065303&partnerID=40&md5=d59b49e90d2957c55e36eff5560bfa8a",Article,Scopus,2-s2.0-84862065303
"Lewis, D., Bradley, M., Bloor, S., Swinny, E., Deroles, S., Winefield, C., Davies, K.","Altering expression of the flavonoid 3′-hydroxylase gene modified flavonol ratios and pollen germination in transgenic Mitchell petunia plants",2006,"Functional Plant Biology","33","12",,"1141","1152",,7,10.1071/FP06181,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845421800&partnerID=40&md5=372ecc2a5dcbba91f67dbcd9cfc76132",Article,Scopus,2-s2.0-33845421800
"Davies, K.M., Marshall, G.B., Bradley, J.M., Schwinn, K.E., Bloor, S.J., Winefield, C.S., Martin, C.R.","Characterisation of aurone biosynthesis in Antirrhinum majus",2006,"Physiologia Plantarum","128","4",,"593","603",,8,10.1111/j.1399-3054.2006.00774.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33750945982&partnerID=40&md5=10546ee7926fbd5bf1bb777c75953d83",Article,Scopus,2-s2.0-33750945982
"Winefield, C., Jordan, B.R.","Biotechnology of floral development",2006,"The Molecular Biology and Biotechnology of Flowering: Second Edition",,,,"237","266",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-71049131914&partnerID=40&md5=36771e412e215681affc5ecf6ed7fbb7",Book Chapter,Scopus,2-s2.0-71049131914
"Winefield, C.S., Lewis, D.H., Swinny, E.E., Zhang, H., Arathoon, H.S., Fischer, T.C., Halbwirth, H., Stich, K., Gosch, C., Forkmann, G., Davies, K.M.","Investigation of the biosynthesis of 3-deoxyanthocyanins in Sinningia cardinalis",2005,"Physiologia Plantarum","124","4",,"419","430",,25,10.1111/j.1399-3054.2005.00531.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-23144450451&partnerID=40&md5=37687feb2ed2583ef7b1c8d5cd0738ba",Article,Scopus,2-s2.0-23144450451
"Boase, M.R., Winefield, C.S., Lill, T.A., Bendall, M.J.","Transgenic regal pelargoniums that express the rolC gene from Agrobacterium rhizogenes exhibit a dwarf floral and vegetative phenotype",2004,"In Vitro Cellular and Developmental Biology - Plant","40","1",,"46","50",,13,10.1079/IVP2003476,"http://www.scopus.com/inward/record.url?eid=2-s2.0-1542291168&partnerID=40&md5=68db1924ea868892f67455de6cccda27",Article,Scopus,2-s2.0-1542291168
"Davies, K.M., Marshall, G.B., Lewis, D.H., Winefield, C.S., Deroles, S.C., Boase, M.R., Zhang, H., Nielsen, K.M., Schwinn, K.E., Bloor, S.J., Swinny, E., Martin, C.R.","Generation of new ornamental varieties through genetic modification of pigment biosynthesis",2003,"Acta Horticulturae","624",,,"435","447",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33751543433&partnerID=40&md5=f9a8132720706b995aa5519a5819799d",Conference Paper,Scopus,2-s2.0-33751543433
