Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"de Wit, M., Ljung, K., Fankhauser, C.","Contrasting growth responses in lamina and petiole during neighbor detection depend on differential auxin responsiveness rather than different auxin levels",2015,"New Phytologist","208","1",,"198","209",,,10.1111/nph.13449,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940467394&partnerID=40&md5=3e1c5348f9a43b1dedbd0ddb7bef56b3",Article,Scopus,2-s2.0-84940467394
"Hersch, M., Lorrain, S., de Wit, M., Trevisan, M., Ljung, K., Bergmann, S., Fankhauser, C.","Light intensity modulates the regulatory network of the shade avoidance response in Arabidopsis",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","17",,"6515","6520",,7,10.1073/pnas.1320355111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899620817&partnerID=40&md5=fe01fbb487160a33ed59ca68f6ea3ea1",Article,Scopus,2-s2.0-84899620817
"Pierik, R., de Wit, M.","Shade avoidance: Phytochrome signalling and other aboveground neighbour detection cues",2014,"Journal of Experimental Botany","65","11",,"2815","2824",,14,10.1093/jxb/ert389,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902478009&partnerID=40&md5=a2054ba9395db4ae7cd76a1505027053",Review,Scopus,2-s2.0-84902478009
"de Wit, M., Lorrain, S., Fankhauser, C.","Auxin-mediated plant architectural changes in response to shade and high temperature",2014,"Physiologia Plantarum","151","1",,"13","24",,10,10.1111/ppl.12099,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898486322&partnerID=40&md5=0cd380d78d4389dd0430237ffc3594e6",Review,Scopus,2-s2.0-84898486322
"de Wit, M., Spoel, S.H., Sanchez-Perez, G.F., Gommers, C.M.M., Pieterse, C.M.J., Voesenek, L.A.C.J., Pierik, R.","Perception of low red: Far-red ratio compromises both salicylic acid- and jasmonic acid-dependent pathogen defences in Arabidopsis",2013,"Plant Journal","75","1",,"90","103",,26,10.1111/tpj.12203,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879228428&partnerID=40&md5=5dc17c1935a9fb086ede8474e739b04e",Article,Scopus,2-s2.0-84879228428
"de Wit, M., Kegge, W., Evers, J.B., Vergeer-van Eijk, M.H., Gankema, P., Voesenek, L.A., Pierik, R.","Plant neighbor detection through touching leaf tips precedes phytochrome signals.",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","36",,"14705","14710",,21,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871685440&partnerID=40&md5=faef3a406ef32644c6a6ffabf222283b",Article,Scopus,2-s2.0-84871685440
"Cerrudo, I., Keller, M.M., Cargnel, M.D., Demkura, P.V., de Wit, M., Patitucci, M.S., Pierik, R., Pieterse, C.M.J., Ballaré, C.L.","Low red/far-red ratios reduce arabidopsis resistance to Botrytis cinerea and jasmonate responses via a COI1-JAZ10-dependent, salicylic acid-independent mechanism",2012,"Plant Physiology","158","4",,"2042","2052",,46,10.1104/pp.112.193359,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859309131&partnerID=40&md5=83481ebed2066819ae13e64d6c71af0b",Article,Scopus,2-s2.0-84859309131
"Pierik, R., de Wit, M., Voesenek, L.A.C.J.","Growth-mediated stress escape: Convergence of signal transduction pathways activated upon exposure to two different environmental stresses",2011,"New Phytologist","189","1",,"122","134",,21,10.1111/j.1469-8137.2010.03458.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649724137&partnerID=40&md5=57cddb90126378c9eb214d4f3f03c10c",Article,Scopus,2-s2.0-78649724137
"Pierik, R., Keuskamp, D.H., Sasidharan, R., Djakovic-Petrovic, T., de Wit, M., Voesenek, L.A.C.J.","Light quality controls shoot elongation through regulation of multiple hormones",2009,"Plant Signaling and Behavior","4","8",,"755","756",,7,10.4161/psb.4.8.9179,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70450206727&partnerID=40&md5=c6dec10c9f957774d96236efcf37d984",Article,Scopus,2-s2.0-70450206727
"Pierik, R., Djakovic-Petrovic, T., Keuskamp, D.H., de Wit, M., Voesenek, L.A.C.J.","Auxin and ethylene regulate elongation responses to neighbor proximity signals independent of gibberellin and DELLA proteins in Arabidopsis",2009,"Plant Physiology","149","4",,"1701","1712",,57,10.1104/pp.108.133496,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65249170815&partnerID=40&md5=c0e85fbca08f64fc092b2e1b1baafc70",Article,Scopus,2-s2.0-65249170815
"Pierik, R., Djakovic-Petrovic, T., de Wit, M., Voesenek, L.A.C.J.","Struggling for light: DELLA regulation during plant-plant interactions",2007,"Plant Signaling and Behavior","2","6",,"512","513",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37749030911&partnerID=40&md5=07a9c928c663a2cecb0e6726c4ccc51b",Article,Scopus,2-s2.0-37749030911
