Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hilbeck, A., Binimelis, R., Defarge, N., Steinbrecher, R., Székács, A., Wickson, F., Antoniou, M., Bereano, P.L., Clark, E.A., Hansen, M., Novotny, E., Heinemann, J., Meyer, H., Shiva, V., Wynne, B.","No scientific consensus on GMO safety",2015,"Environmental Sciences Europe","27","1",,"","",6,2,10.1186/s12302-014-0034-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928378128&partnerID=40&md5=d5b48ba33ff30bcffbafa8370c1e2af6",Article,Scopus,2-s2.0-84928378128
"Mesnage, R., Arno, M., Costanzo, M., Malatesta, M., Séralini, G.-E., Antoniou, M.N.","Transcriptome profile analysis reflects rat liver and kidney damage following chronic ultra-low dose Roundup exposure",2015,"Environmental Health: A Global Access Science Source","14","1", 70,"","",,,10.1186/s12940-015-0056-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940178865&partnerID=40&md5=2ca05cd3d09940cf7cdfaed165d2dab6",Article,Scopus,2-s2.0-84940178865
"Saunders, F., Sweeney, B., Antoniou, M.N., Stephens, P., Cain, K.","Chromatin function modifying elements in an industrial antibody production platform - Comparison of UCOE, MAR, STAR and cHS4 elements",2015,"PLoS ONE","10","4", e0120096,"","",,,10.1371/journal.pone.0120096,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929493076&partnerID=40&md5=ffb66e5916a9ee7b79790c042bf0ebda",Article,Scopus,2-s2.0-84929493076
"Shields, A.M., Klavinskis, L.S., Antoniou, M., Wooley, P.H., Collins, H.L., Panayi, G.S., Thompson, S.J., Corrigall, V.M.","Systemic gene transfer of binding immunoglobulin protein (BiP) prevents disease progression in murine collagen-induced arthritis",2015,"Clinical and Experimental Immunology","179","2",,"210","219",,1,10.1111/cei.12456,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920287638&partnerID=40&md5=a2f095fa0cd4709e1a36886d87ddb51c",Article,Scopus,2-s2.0-84920287638
"Dighe, N., Khoury, M., Mattar, C., Chong, M., Choolani, M., Chen, J., Antoniou, M.N., Chan, J.K.Y.","Long-term reproducible expression in human fetal liver hematopoietic stem cells with a UCOE-based lentiviral vector",2014,"PLoS ONE","9","8", e104805,"","",,2,10.1371/journal.pone.0104805,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905841305&partnerID=40&md5=d0f5b8a85034961585c5fc5005fdddd1",Article,Scopus,2-s2.0-84905841305
"So, M.Y., Tian, Z., Phoon, Y.S., Sha, S., Antoniou, M.N., Zhang, J., Wu, R.S.S., Tan-Un, K.C.","Gene expression profile and toxic effects in human bronchial epithelial cells exposed to zearalenone",2014,"PLoS ONE","9","5", e96404,"","",,3,10.1371/journal.pone.0096404,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900420062&partnerID=40&md5=6082bee146de503444852f33d1f1113e",Article,Scopus,2-s2.0-84900420062
"Träger, U., Andre, R., Lahiri, N., Magnusson-Lind, A., Weiss, A., Grueninger, S., McKinnon, C., Sirinathsinghji, E., Kahlon, S., Pfister, E.L., Moser, R., Hummerich, H., Antoniou, M., Bates, G.P., Luthi-Carter, R., Lowdell, M.W., Björkqvist, M., Ostroff, G.R., Aronin, N., Tabrizi, S.J.","HTT-lowering reverses Huntington's disease immune dysfunction caused by NFκB pathway dysregulation",2014,"Brain","137","3",,"819","833",,20,10.1093/brain/awt355,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894545327&partnerID=40&md5=00a9d70ddf2edab43e00d0607f2e9e93",Article,Scopus,2-s2.0-84894545327
"Jonuschies, J., Antoniou, M., Waddington, S., Boldrin, L., Muntoni, F., Thrasher, A., Morgan, J.","The human desmin promoter drives robust gene expression for skeletal muscle stem cell-mediated gene therapy",2014,"Current Gene Therapy","14","4",,"276","288",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907146802&partnerID=40&md5=cc084102ceb903eac31fe3b21e57a197",Article,Scopus,2-s2.0-84907146802
"Hagedorn, C., Antoniou, M.N., Lipps, H.J.","Genomic cis-acting sequences improve expression and establishment of a nonviral vector",2013,"Molecular Therapy - Nucleic Acids","2","SEP", e118,"","",,5,10.1038/mtna.2013.47,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884223356&partnerID=40&md5=e1555d179f250b81abbc53b7dfa6d63e",Article,Scopus,2-s2.0-84884223356
"Raz, V., Sterrenburg, E., Routledge, S., Venema, A., van der Sluijs, B.M., Trollet, C., Dickson, G., van Engelen, B.G.M., van der Maarel, S.M., Antoniou, M.N.","Nuclear entrapment and extracellular depletion of PCOLCE is associated with muscle degeneration in oculopharyngeal muscular dystrophy",2013,"BMC Neurology","13",, 70,"","",,1,10.1186/1471-2377-13-70,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879496543&partnerID=40&md5=cd1c188438ab082cc0c407af766d9826",Article,Scopus,2-s2.0-84879496543
"Antoniou, M.N., Skipper, K.A., Anakok, O.","Optimizing retroviral gene expression for effective therapies",2013,"Human Gene Therapy","24","4",,"363","374",,14,10.1089/hum.2013.062,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876575492&partnerID=40&md5=d68c2f8e3eb5b28aa8ac75889153205d",Review,Scopus,2-s2.0-84876575492
"Pfaff, N., Lachmann, N., Ackermann, M., Kohlscheen, S., Brendel, C., Maetzig, T., Niemann, H., Antoniou, M.N., Grez, M., Schambach, A., Cantz, T., Moritz, T.","A ubiquitous chromatin opening element prevents transgene silencing in pluripotent stem cells and their differentiated progeny",2013,"Stem Cells","31","3",,"488","499",,21,10.1002/stem.1316,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874870904&partnerID=40&md5=4a5be351af668b6c556abc3dbd80fe85",Article,Scopus,2-s2.0-84874870904
"Brendel, C., Müller-Kuller, U., Schultze-Strasser, S., Stein, S., Chen-Wichmann, L., Krattenmacher, A., Kunkel, H., Dillmann, A., Antoniou, M.N., Grez, M.","Physiological regulation of transgene expression by a lentiviral vector containing the A2UCOE linked to a myeloid promoter",2012,"Gene Therapy","19","10",,"1018","1029",,23,10.1038/gt.2011.167,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867402831&partnerID=40&md5=ea4ff88de77c5a0f6c3b07a9056114ea",Article,Scopus,2-s2.0-84867402831
"Cim, A., Sawyer, G.J., Zhang, X., Su, H., Collins, L., Jones, P., Antoniou, M., Reynes, J.-P., Lipps, H.-J., Fabre, J.W.","In vivo studies on non-viral transdifferentiation of liver cells towards pancreatic β cells",2012,"Journal of Endocrinology","214","3",,"277","288",,8,10.1530/JOE-12-0033,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866298387&partnerID=40&md5=b60f5ce52a3d3b3a94b0a930aecaa6e8",Article,Scopus,2-s2.0-84866298387
"Knight, S., Zhang, F., Mueller-Kuller, U., Bokhoven, M., Gupta, A., Broughton, T., Sha, S., Antoniou, M.N., Brendel, C., Grez, M., Thrasher, A.J., Collins, M., Takeuchi, Y.","Safer, silencing-resistant lentiviral vectors: Optimization of the ubiquitous chromatin-opening element through elimination of aberrant splicing",2012,"Journal of Virology","86","17",,"9088","9095",,18,10.1128/JVI.00485-12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866159865&partnerID=40&md5=3165b8329ed8be71bf84e5d0bb5f5160",Article,Scopus,2-s2.0-84866159865
"Montiel-Equihua, C.A., Zhang, L., Knight, S., Saadeh, H., Scholz, S., Carmo, M., Alonso-Ferrero, M.E., Blundell, M.P., Monkeviciute, A., Schulz, R., Collins, M., Takeuchi, Y., Schmidt, M., Fairbanks, L., Antoniou, M., Thrasher, A.J., Bobby Gaspar, H.","The Β-globin locus control region in combination with the EF1α short promoter allows enhanced lentiviral vector-mediated erythroid gene expression with conserved multilineage activity",2012,"Molecular Therapy","20","7",,"1400","1409",,10,10.1038/mt.2012.50,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863486353&partnerID=40&md5=fa0b16968be1347feb107096ff8336d6",Conference Paper,Scopus,2-s2.0-84863486353
"Boscolo, S., Mion, F., Licciulli, M., Macor, P., De Maso, L., Brce, M., Antoniou, M.N., Marzari, R., Santoro, C., Sblattero, D.","Simple scale-up of recombinant antibody production using an UCOE containing vector",2012,"New Biotechnology","29","4",,"477","484",,15,10.1016/j.nbt.2011.12.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860356388&partnerID=40&md5=793867bfa3d6b7728d961cdea5286ecf",Article,Scopus,2-s2.0-84860356388
"Raz, V., Routledge, S., Venema, A., Buijze, H., Van Der Wal, E., Anvar, S., Straasheijm, K.R., Klooster, R., Antoniou, M., Van Der Maarel, S.M.","Modeling oculopharyngeal muscular dystrophy in myotube cultures reveals reduced accumulation of soluble mutant pabpn1 protein",2011,"American Journal of Pathology","179","4",,"1988","2000",,13,10.1016/j.ajpath.2011.06.044,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053231188&partnerID=40&md5=805dcb1f8102d5a698dc3b3d8da59b05",Article,Scopus,2-s2.0-80053231188
"Lunardi, A., Gaboli, M., Giorgio, M., Rivi, R., Bygrave, A., Antoniou, M., Drabek, D., Dzierzak, E., Fagioli, M., Salmena, L., Botto, M., Cordon-Cardo, C., Luzzatto, L., Pelicci, P.G., Grosveld, F., Pandolfi, P.P.","A role for PML in innate immunity",2011,"Genes and Cancer","2","1",,"10","19",,8,10.1177/1947601911402682,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79960061702&partnerID=40&md5=844aea240ed39c0be22cdc9a12f4ffdb",Article,Scopus,2-s2.0-79960061702
"Tolar, J., Adair, J.E., Antoniou, M., Bartholomae, C.C., Becker, P.S., Blazar, B.R., Bueren, J., Carroll, T., Cavazzana-Calvo, M., Clapp, D.W., Dalgleish, R., Galy, A., Gaspar, H.B., Hanenberg, H., Von Kalle, C., Kiem, H.-P., Lindeman, D., Naldini, L., Navarro, S., Renella, R., Rio, P., Sevilla, J., Schmidt, M., Verhoeyen, E., Wagner, J.E., Williams, D.A., Thrasher, A.J.","Stem cell gene therapy for fanconi anemia: Report from the 1st international fanconi anemia gene therapy working group meeting",2011,"Molecular Therapy","19","7",,"1193","1198",,18,10.1038/mt.2011.78,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959919144&partnerID=40&md5=2bf8ecd24de1a32016bd2c6135e7142e",Conference Paper,Scopus,2-s2.0-79959919144
"Zhang, F., Frost, A.R., Blundell, M.P., Bales, O., Antoniou, M.N., Thrasher, A.J.","A Ubiquitous Chromatin Opening Element (UCOE) confers resistance to DNA methylation-mediated silencing of lentiviral vectors",2010,"Molecular Therapy","18","9",,"1640","1649",,65,10.1038/mt.2010.132,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956265818&partnerID=40&md5=65970fb07729b7d32b1e26434f345adc",Article,Scopus,2-s2.0-77956265818
"Talbot, G.E., Waddington, S.N., Bales, O., Tchen, R.C., Antoniou, M.N.","Desmin-regulated lentiviral vectors for skeletal muscle gene transfer",2010,"Molecular Therapy","18","3",,"601","608",,14,10.1038/mt.2009.267,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77649271983&partnerID=40&md5=9f0c0b9eca8f09944669365cfcf1f2ca",Article,Scopus,2-s2.0-77649271983
"Séralini, G.-E., de Vendômois, J.S., Cellier, D., Sultan, C., Buiatti, M., Gallagher, L., Antoniou, M., Dronamraju, K.R.","How subchronic and chronic health effects can be neglected for GMOS, pesticides or chemicals",2009,"International Journal of Biological Sciences","5","5",,"438","443",,29,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70249099945&partnerID=40&md5=bb900ec92d57854ac3bafc6ab1114d9b",Article,Scopus,2-s2.0-70249099945
"Millevoi, S., Decorsière, A., Loulergue, C., Iacovoni, J., Bernat, S., Antoniou, M., Vagner, S.","A physical and functional link between splicing factors promotes pre-mRNA 3′ end processing",2009,"Nucleic Acids Research","37","14",,"4672","4683",,33,10.1093/nar/gkp470,"http://www.scopus.com/inward/record.url?eid=2-s2.0-69149109034&partnerID=40&md5=75cfee54c094167fb1e3fba8d6cc51ec",Article,Scopus,2-s2.0-69149109034
"Sgourou, A., Routledge, S., Spathas, D., Athanassiadou, A., Antoniou, M.N.","Physiological levels of HBB transgene expression from S/MAR element-based replicating episomal vectors",2009,"Journal of Biotechnology","143","2",,"85","94",,10,10.1016/j.jbiotec.2009.06.018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-68349152649&partnerID=40&md5=f826e82c1656eabbe3755e6f48ecf1e2",Article,Scopus,2-s2.0-68349152649
"Allen, M., Koch, C.M., Clelland, G.K., Dunham, I., Antoniou, M.","DNA methylation-histone modification relationships across the desmin locus in human primary cells",2009,"BMC Molecular Biology","10",, 51,"","",,3,10.1186/1471-2199-10-51,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67649710405&partnerID=40&md5=fb7cf686ae9c390c682b1860789fd6d3",Article,Scopus,2-s2.0-67649710405
"Miccio, A., Cesari, R., Lotti, F., Rossi, C., Sanvito, F., Ponzoni, M., Routledge, S.J.E., Chow, C.-M., Antoniou, M.N., Ferrari, G.","In vivo selection of genetically modified erythroblastic progenitors leads to long-term correction of β-thalassemia",2008,"Proceedings of the National Academy of Sciences of the United States of America","105","30",,"10547","10552",,40,10.1073/pnas.0711666105,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45749135187&partnerID=40&md5=b3dbe46ed64193921c14ab3facb798f2",Article,Scopus,2-s2.0-45749135187
"Katsantoni, E.Z., Anghelescu, N.E., Rottier, R., Moerland, M., Antoniou, M., De Crom, R., Grosveld, F., Strouboulis, J.","Ubiquitous expression of the rtTA2S-M2 inducible system in transgenic mice driven by the human hnRNPA2B1/CBX3 CpG island",2007,"BMC Developmental Biology","7",, 108,"","",,16,10.1186/1471-213X-7-108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36248995193&partnerID=40&md5=87bf431e73ee3bff8c1c016d0854ff85",Article,Scopus,2-s2.0-36248995193
"Custódio, N., Vivo, M., Antoniou, M., Carmo-Fonseca, M.","Splicing- and cleavage-independent requirement of RNA polymerase II CTD for mRNA release from the transcription site",2007,"Journal of Cell Biology","179","2",,"199","207",,24,10.1083/jcb.200612109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-35548953842&partnerID=40&md5=19af722d954fbf6db05f0bd652f8d3fd",Article,Scopus,2-s2.0-35548953842
"Allen, M.L., Antoniou, M.","Correlation of DNA methylation with histone modifications across the HNRPA2B1-CBX3 Ubiquitously-Acting Chromatin Open Element (UCOE)",2007,"Epigenetics","2","4",,"227","236",,34,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-39749191443&partnerID=40&md5=fd5efc77920ad9c4d8c6b8650d366fef",Article,Scopus,2-s2.0-39749191443
"Zhang, F., Thornhill, S.I., Howe, S.J., Ulaganathan, M., Schambach, A., Sinclair, J., Kinnon, C., Gaspar, H.B., Antoniou, M., Thrasher, A.J.","Lentiviral vectors containing an enhancer-less ubiquitously acting chromatin opening element (UCOE) provide highly reproducible and stable transgene expression in hematopoietic cells",2007,"Blood","110","5",,"1448","1457",,101,10.1182/blood-2006-12-060814,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34548843603&partnerID=40&md5=025480a6151c031c0a79d8f48a0f2d51",Article,Scopus,2-s2.0-34548843603
"Millevoi, S., Loulergue, C., Dettwiler, S., Karaa, S.Z., Keller, W., Antoniou, M., Vagner, S.","An interaction between U2AF 65 and CF Im links the splicing and 3′ end processing machineries",2006,"EMBO Journal","25","20",,"4854","4864",,77,10.1038/sj.emboj.7601331,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33750200773&partnerID=40&md5=dbeeb884dec5c1a16dcb1677f9ab91d7",Article,Scopus,2-s2.0-33750200773
