Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Landrigan, P.J., Benbrook, C.","GMOs, herbicides, and public health",2015,"New England Journal of Medicine","373","8",,"693","694",,,10.1056/NEJMp1505660,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939803442&partnerID=40&md5=e2eb7afa4fb85ad2c5a4b80ea6eba69f",Review,Scopus,2-s2.0-84939803442
"Barański, M., Średnicka-Tober, D., Volakakis, N., Seal, C., Sanderson, R., Stewart, G.B., Benbrook, C., Biavati, B., Markellou, E., Giotis, C., Gromadzka-Ostrowska, J., Rembiałkowska, E., Skwarło-Sońta, K., Tahvonen, R., Janovská, D., Niggli, U., Nicot, P., Leifert, C.","Higher antioxidant and lower cadmium concentrations and lower incidence of pesticide residues in organically grown crops: A systematic literature review and meta-analyses",2014,"British Journal of Nutrition","112","5",,"794","811",,20,10.1017/S0007114514001366,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907597992&partnerID=40&md5=d92143f16d77b5fae30b92c405d70c0b",Review,Scopus,2-s2.0-84907597992
"Benbrook, C.M., Baker, B.P.","Perspective on dietary risk assessment of pesticide residues in organic food",2014,"Sustainability (Switzerland)","6","6",,"3552","3570",,1,10.3390/su6063552,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904299743&partnerID=40&md5=4bbef1ef552dce67098a9d041b08f46d",Article,Scopus,2-s2.0-84904299743
"Benbrook, C.M., Butler, G., Latif, M.A., Leifert, C., Davis, D.R.","Organic production enhances milk nutritional quality by shifting fatty acid composition: A United States-wide, 18-month study",2013,"PLoS ONE","8","12", e82429,"","",,11,10.1371/journal.pone.0082429,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891919776&partnerID=40&md5=9afc4121e18858107edefdbb8d103613",Article,Scopus,2-s2.0-84891919776
"Benbrook, C.","Are organic foods safer or healthier?",2013,"Annals of Internal Medicine","158","4",,"296","297",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874368711&partnerID=40&md5=03de3a5a5cf83d3fc14512056425e0d2",Letter,Scopus,2-s2.0-84874368711
"Benbrook, C.M.","Impacts of genetically engineered crops on pesticide use in the U.S.-the first sixteen years",2012,"Environmental Sciences Europe","24","9", 24,"","",,55,10.1186/2190-4715-24-24,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867044092&partnerID=40&md5=562cdc53ca8037f5646ef583469b7654",Article,Scopus,2-s2.0-84867044092
"Benbrook, C., Davis, D.R., Andrews, P.K.","Methodologic flaws in selecting studies and comparing nutrient concentrations led Dangour et al to miss the emerging forest amid the trees",2009,"American Journal of Clinical Nutrition","90","6",,"1700","1701",,6,10.3945/ajcn.2009.28605,"http://www.scopus.com/inward/record.url?eid=2-s2.0-72749125193&partnerID=40&md5=a73ddd6b3c422cc4e25b010903e756dc",Letter,Scopus,2-s2.0-72749125193
"Benbrook, C., McCullum-Gómez, C.","Organic vs Conventional Farming",2009,"Journal of the American Dietetic Association","109","5",,"","",,3,10.1016/j.jada.2009.03.019,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65249098407&partnerID=40&md5=534a786ab1b5cfdd3330a53b6b39f90f",Letter,Scopus,2-s2.0-65249098407
"Benbrook, C.","The impacts of yield on nutritional quality: Lessons from organic farming",2009,"HortScience","44","1",,"12","14",,12,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58849111362&partnerID=40&md5=30e1cd6ef6f68932ca3c1cd075d3e99c",Conference Paper,Scopus,2-s2.0-58849111362
"Benbrook, C.","Dietary exposure to pesticides from organic and conventional food production systems",2007,"Handbook of Organic Food Safety and Quality",,,,"265","296",,1,10.1533/9781845693411.3.265,"http://www.scopus.com/inward/record.url?eid=2-s2.0-52049096272&partnerID=40&md5=59b03660ac824425b429d2a7c181ec57",Book Chapter,Scopus,2-s2.0-52049096272
