Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Reale, D., Ballotta, M.R., Borghi, L., Lisato, L.C., Rasi, A., Menegatti, M.T.","Wagner-Meissner-like corpuscles in gastric mucosa: A brief report",2014,"International Journal of Surgical Pathology","22","6",,"544","546",,,10.1177/1066896914525227,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906258954&partnerID=40&md5=8c5ab6c9408dbebe2bb9153417545b08",Article,Scopus,2-s2.0-84906258954
"Dedeurwaerdere, F., Giannini, C., Sciot, R., Rubin, B.P., Perilongo, G., Borghi, L., Ballotta, M.L., Cornips, E., Demunter, A., Maes, B., Dei Tos, A.P.","Primary peripheral PNET/Ewing's sarcoma of the dura: A clinicopathologic entity distinct from central PNET",2002,"Modern Pathology","15","6",,"673","678",,51,10.1038/modpathol.3880585,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18444412551&partnerID=40&md5=739e2e078ccf134485d4037bca72d635",Article,Scopus,2-s2.0-18444412551
"Ballotta, M.R., Borghi, L., Barucchello, G.","Adenocarcinoma of the rete testis. Report of two cases.",2000,"Advances in clinical pathology : the official journal of Adriatic Society of Pathology","4","4",,"169","173",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034303741&partnerID=40&md5=9d0b5f5b1b8f0d198ba1aa7972807773",Article,Scopus,2-s2.0-0034303741
"Borghi, L., Ballotta, M.R., Pegoraro, V.","Epidermoid carcinoma of the penis. A clinicopathological study of thirteen cases",1997,"Acta Urologica Italica","11","1",,"47","51",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030937763&partnerID=40&md5=7d332059f5a6ae7400e7f0ef3e0fb5c8",Article,Scopus,2-s2.0-0030937763
"Ballotta, M.R., Borghi, L., Pegoraro, V.","Sarcomatoid carcinomas of the urinary bladder. Experience of three cases",1997,"Acta Urologica Italica","11","1",,"1","3",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030990939&partnerID=40&md5=7a27432b319974ced53f998f4fca41fd",Article,Scopus,2-s2.0-0030990939
"Borghi, L., Ballotta, M.R., Panzavolta, R.","Metastases to pineal gland as first symptom of bronchogenic carcinoma: Report on an case",1996,"Pathologica","88","2",,"137","138",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030115184&partnerID=40&md5=e88d56d004865b9c228966fdf75a0bdb",Article,Scopus,2-s2.0-0030115184
"Ballotta, M.R., Bianchini, E., Borghi, L., Rimondi, A.P.","Sclerosing hemangioma of the lung: a case report.",1996,"Pathologica","88","4",,"307","310",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030202492&partnerID=40&md5=86b44d92ac76f5e41c67f90f743c8536",Article,Scopus,2-s2.0-0030202492
"Ballotta, M.R., Borghi, L., Borin, P.","An unusual case of cytomegalovirus infection.",1995,"Pathologica","87","6",,"682","684",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029437343&partnerID=40&md5=e60cb32c2b2bae7141aef5852614ff3d",Article,Scopus,2-s2.0-0029437343
"Borghi, L., Bianchini, E., Altavilla, G.","Undifferentiated small-cell carcinoma of the urinary bladder: Report of two cases with a primary urinary cytodiagnosis",1995,"Diagnostic Cytopathology","13","1",,"61","65",,12,10.1002/dc.2840130113,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029055339&partnerID=40&md5=42d7a777d4681f1257de2d0356ac6b2c",Article,Scopus,2-s2.0-0029055339
"Borghi, L., Bianchini, E., Ballotta, M.R., Reale, D.","Metastatic renal cell carcinoma presenting as a parotid tumor: a case report.",1995,"Pathologica","87","2",,"168","170",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029279573&partnerID=40&md5=f5c8ee21327590404b7dc892e6e59dda",Article,Scopus,2-s2.0-0029279573
