Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Riediger, J., Breckling, B., Svoboda, N., Schröder, W.","Modelling regional variability of irrigation requirements due to climate change in Northern Germany",2016,"Science of the Total Environment","541",,,"329","340",,,10.1016/j.scitotenv.2015.09.043,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943520390&partnerID=40&md5=22c9a843a7c0f9763b0dabcf00c15447",Article,Scopus,2-s2.0-84943520390
"Kubicek, A., Jopp, F., Breckling, B., Lange, C., Reuter, H.","Context-oriented model validation of individual-based models in ecology: A hierarchically structured approach to validate qualitative, compositional and quantitative characteristics",2015,"Ecological Complexity","22",,,"178","191",,,10.1016/j.ecocom.2015.03.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941560631&partnerID=40&md5=c19f4246011a68192ddc7ad76ede54fc",Review,Scopus,2-s2.0-84941560631
"Riediger, J., Breckling, B., Nuske, R.S., Schröder, W.","Will climate change increase irrigation requirements in agriculture of Central Europe? A simulation study for Northern Germany",2014,"Environmental Sciences Europe","26","1", 18,"","",13,1,10.1186/s12302-014-0018-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943558556&partnerID=40&md5=214ba13b7e87361101834ec5c3c31cec",Article,Scopus,2-s2.0-84943558556
"Graef, F., Römbke, J., Binimelis, R., Myhr, A.I., Hilbeck, A., Breckling, B., Dalgaard, T., Stachow, U., Catacora-Vargas, G., Bøhn, T., Quist, D., Darvas, B., Dudel, G., Oehen, B., Meyer, H., Henle, K., Wynne, B., Metzger, M.J., Knäbe, S., Settele, J., Székács, A., Wurbs, A., Bernard, J., Murphy-Bokern, D., Buiatti, M., Giovannetti, M., Debeljak, M., Andersen, E., Paetz, A., Dzeroski, S., Tappeser, B., van Gestel, C.A.M., Wosniok, W., Séralini, G.-E., Aslaksen, I., Pesch, R., Maly, S., Werner, A.","A framework for a European network for a systematic environmental impact assessment of genetically modified organisms (GMO)",2012,"BioRisk",,"7",,"73","97",,4,10.3897/biorisk.7.1969,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873568185&partnerID=40&md5=f524d14eadbf7d3786347bf426aeb8fb",Article,Scopus,2-s2.0-84873568185
"Breckling, B., Jopp, F., Reuter, H.","Ordinary differential equations",2011,"Modelling Complex Ecological Dynamics: An Introduction into Ecological Modelling for Students, Teachers & Scientists",,,,"67","91",,,10.1007/978-3-642-05029-9-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900097337&partnerID=40&md5=f7a36183e5dbd05fb2fd288ef9466e2d",Book Chapter,Scopus,2-s2.0-84900097337
"Breckling, B., Pe'Er, G., Matsinos, Y.G.","Cellular automata in ecological modelling",2011,"Modelling Complex Ecological Dynamics: An Introduction into Ecological Modelling for Students, Teachers & Scientists",,,,"105","117",,2,10.1007/978-3-642-05029-9-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876696659&partnerID=40&md5=04857a81b3eed8b05769bc8cb98c2518",Book Chapter,Scopus,2-s2.0-84876696659
"Aheto, D.W., Reuter, H., Breckling, B.","A modeling assessment of geneflow in smallholder agriculture in West Africa",2011,"Environmental Sciences Europe","23","2", 9,"","",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867215747&partnerID=40&md5=10c47f6a2ab6760d97eeffb879674382",Article,Scopus,2-s2.0-84867215747
"Jopp, F., Breckling, B., Reuter, H., Deangelis, D.L.","Perspectives in ecological modelling",2011,"Modelling Complex Ecological Dynamics: An Introduction into Ecological Modelling for Students, Teachers & Scientists",,,,"341","347",,1,10.1007/978-3-642-05029-9-24,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884700844&partnerID=40&md5=05ca711c6bf5c119014e81b4c5647f5e",Book Chapter,Scopus,2-s2.0-84884700844
"Reuter, H., Breckling, B., Jopp, F.","Individual-based models",2011,"Modelling Complex Ecological Dynamics: An Introduction into Ecological Modelling for Students, Teachers & Scientists",,,,"163","178",,1,10.1007/978-3-642-05029-9-12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874965786&partnerID=40&md5=d91f6af36fdca40a0134d8541795dd61",Book Chapter,Scopus,2-s2.0-84874965786
"Reuter, H., Jopp, F., Breckling, B., Lange, C., Weigmann, G.","How valid are model results? Assumptions, validity range and documentation",2011,"Modelling Complex Ecological Dynamics: An Introduction into Ecological Modelling for Students, Teachers & Scientists",,,,"323","340",,,10.1007/978-3-642-05029-9-23,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900164952&partnerID=40&md5=aac62b41bd8c6d0205c77624e203b776",Book Chapter,Scopus,2-s2.0-84900164952
