Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kingsley, P.D., Greenfest-Allen, E., Frame, J.M., Bushnell, T.P., Malik, J., McGrath, K.E., Stoeckert, C.J., Palis, J.","Ontogeny of erythroid gene expression",2013,"Blood","121","6",,"e5","e13",,40,10.1182/blood-2012-04-422394,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873590369&partnerID=40&md5=0656bf352168b7dc2a81909d08db955f",Article,Scopus,2-s2.0-84873590369
"Williams, M.A., Bauer, S., Lu, W., Guo, J., Walter, S., Bushnell, T.P., Lillehoj, E.P., Georas, S.N.","Deletion of the mucin-like molecule Muc1 enhances dendritic cell activation in response to toll-like receptor ligands",2010,"Journal of Innate Immunity","2","2",,"123","143",,9,10.1159/000254790,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953462955&partnerID=40&md5=6c8e92614d1c92a269503d0445d2a28c",Article,Scopus,2-s2.0-77953462955
"Palapattu, G.S., Wu, C., Silvers, C.R., Martin, H.B., Williams, K., Salamone, L., Bushnell, T., Huang, L.-S., Yang, Q., Huang, J.","Selective expression of CD44, a putative prostate cancer stem cell marker, in neuroendocrine tumor cells of human prostate cancer",2009,"Prostate","69","7",,"787","798",,45,10.1002/pros.20928,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65449149109&partnerID=40&md5=b71981afd49edaaad0cc8c6dd4c518a3",Article,Scopus,2-s2.0-65449149109
"Teodori, L., Bushnell, T., Campanella, L., Tárnok, A.","GFP: From humble beginnings to nobel winnings - The color that changed cytometry",2008,"Cytometry Part A","73","12",,"1109","1110",,,10.1002/cyto.a.20673,"http://www.scopus.com/inward/record.url?eid=2-s2.0-56749106064&partnerID=40&md5=2028ac484e5f8d03150ee195be32fa4f",Article,Scopus,2-s2.0-56749106064
"Wang, P.-Y., Young, F., Chen, C.-Y., Stevens, B.M., Neering, S.J., Rossi, R.M., Bushnell, T., Kuzin, I., Heinrich, D., Bottaro, A., Jordan, C.T.","The biologic properties of leukemias arising from BCR/ABL-mediated transformation vary as a function of developmental origin and activity of the p19 ARF gene",2008,"Blood","112","10",,"4184","4192",,14,10.1182/blood-2008-02-142190,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58149176136&partnerID=40&md5=3b951de22e62b6b494ea7a04392081ff",Article,Scopus,2-s2.0-58149176136
"McGrath, K.E., Bushnell, T.P., Palis, J.","Multispectral imaging of hematopoietic cells: Where flow meets morphology",2008,"Journal of Immunological Methods","336","2",,"91","97",,61,10.1016/j.jim.2008.04.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-46149111430&partnerID=40&md5=39fbb4be81b45a75bb413ab04625a7f4",Review,Scopus,2-s2.0-46149111430
"Enos, M.E., Bancos, S.A., Bushnell, T., Crispe, I.N.","E2F4 modulates differentiation and gene expression in hemopoietic progenitor cells during commitment to the lymphoid lineage",2008,"Journal of Immunology","180","6",,"3699","3707",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44849104318&partnerID=40&md5=3ec70775d707e0e9da40375cd2f6aaa4",Article,Scopus,2-s2.0-44849104318
"Ryan, E.P., Bushnell, T.P., Friedman, A.E., Rahman, I., Phipps, R.P.","Cyclooxygenase-2 independent effects of cyclooxygenase-2 inhibitors on oxidative stress and intracellular glutathione content in normal and malignant human B-cells",2008,"Cancer Immunology, Immunotherapy","57","3",,"347","358",,17,10.1007/s00262-007-0374-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37349131556&partnerID=40&md5=731ac9a14136f6204706780dd767a41d",Article,Scopus,2-s2.0-37349131556
"McGrath, K.E., Kingsley, P.D., Koniski, A.D., Porter, R.L., Bushnell, T.P., Palis, J.","Enucleation of primitive erythroid cells generates a transient population of ""pyrenocytes"" in the mammalian fetus",2008,"Blood","111","4",,"2409","2417",,57,10.1182/blood-2007-08-107581,"http://www.scopus.com/inward/record.url?eid=2-s2.0-41349094584&partnerID=40&md5=51f863e04519e62726f8d83d8e2e9d54",Article,Scopus,2-s2.0-41349094584
"Guzman, M.L., Li, X., Corbett, C.A., Rossi, R.M., Bushnell, T., Liesveld, J.L., Hébert, J., Young, F., Jordan, C.T.","Rapid and selective death of leukemia stem and progenitor cells induced by the compound 4-benzyl, 2-methyl, 1,2,4-thiadiazolidine, 3,5 dione (TDZD-8)",2007,"Blood","110","13",,"4436","4444",,73,10.1182/blood-2007-05-088815,"http://www.scopus.com/inward/record.url?eid=2-s2.0-39649085170&partnerID=40&md5=6932153bde578c637ec31289181e3300",Article,Scopus,2-s2.0-39649085170
"Neering, S.J., Bushnell, T., Sozer, S., Ashton, J., Rossi, R.M., Wang, P.-Y., Bell, D.R., Heinrich, D., Bottaro, A., Jordan, C.T.","Leukemia stem cells in a genetically defined murine model of blast-crisis CML",2007,"Blood","110","7",,"2578","2585",,84,10.1182/blood-2007-02-073031,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34948839961&partnerID=40&md5=46b8420aab5ff703e35250e50c74d0db",Article,Scopus,2-s2.0-34948839961
"Graf, B., Bushnell, T., Miller, J.","LFA-1-mediated T cell costimulation through increased localization of TCR/class II complexes to the central supramolecular activation cluster and exclusion of CD45 from the immunological synapse",2007,"Journal of Immunology","179","3",,"1616","1624",,28,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34548650329&partnerID=40&md5=e63a6f1a000b1011e2cae27485d1d90c",Article,Scopus,2-s2.0-34548650329
"Neff-LaFord, H., Teske, S., Bushnell, T.P., Lawrence, B.P.","Aryl hydrocarbon receptor activation during influenza virus infection unveils a novel pathway of IFN-γ production by phagocytic cells",2007,"Journal of Immunology","179","1",,"247","255",,37,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250897888&partnerID=40&md5=05b26ffa05ee3da751e91a055f35de2a",Article,Scopus,2-s2.0-34250897888
"Kingsley, P.D., Malik, J., Emerson, R.L., Bushnell, T.P., McGrath, K.E., Bloedorn, L.A., Bulger, M., Palis, J.","""Maturational"" globin switching in primary primitive erythroid cells",2006,"Blood","107","4",,"1665","1672",,85,10.1182/blood-2005-08-3097,"http://www.scopus.com/inward/record.url?eid=2-s2.0-32644438114&partnerID=40&md5=996bbe1f33739869d1fcb6e8a3e50390",Article,Scopus,2-s2.0-32644438114
"Lianping, X., Bushnell, T.P., Louise, C., Zhenxing, T., Mehrdad, T., Ulrich, S., Fay, Y., Boyce, B.F.","NF-κB p50 and p52 expression is not required for RANK-expressing osteoclast progenitor formation but is essential for RANK- and cytokine-mediated osteoclastogenesis",2002,"Journal of Bone and Mineral Research","17","7",,"1200","1210",,96,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036085510&partnerID=40&md5=c098fe0c4a9ba7e18cf9ec475b28df18",Article,Scopus,2-s2.0-0036085510
"Kuzin, I.I., Snyder, J.E., Ugine, G.D., Wu, D., Lee, S., Bushnell Jr., T., Insel, R.A., Young, F.M., Bottaro, A.","Tetracyclines inhibit activated B cell function",2001,"International Immunology","13","7",,"921","931",,33,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034919755&partnerID=40&md5=6413d65badf9e3630a9fb9c13e003876",Article,Scopus,2-s2.0-0034919755
