Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Fagan, J., Traavik, T., Bøhn, T.","The Seralini affair: degeneration of Science to Re-Science?",2015,"Environmental Sciences Europe","27","1", 19,"","",9,,10.1186/s12302-015-0049-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940515459&partnerID=40&md5=4208936678c5b6e7d16a16eb0a6f07e1",Article,Scopus,2-s2.0-84940515459
"Bøhn, T., Cuhra, M., Traavik, T., Sanden, M., Fagan, J., Primicerio, R.","Reply to letter to the editor",2015,"Food Chemistry","172",,,"924","927",,,10.1016/j.foodchem.2014.08.042,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910009558&partnerID=40&md5=7d130fcf4abc3316d73bc24b3c02cf0a",Letter,Scopus,2-s2.0-84910009558
"Andreassen, M., Rocca, E., Bøhn, T., Wikmark, O.-G., van den Berg, J., Løvik, M., Traavik, T., Nygaard, U.C.","Humoral and cellular immune responses in mice after airway administration of Bacillus thuringiensis Cry1Ab and MON810 cry1Ab-transgenic maize",2015,"Food and Agricultural Immunology","26","4",,"521","537",,,10.1080/09540105.2014.988128,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926516229&partnerID=40&md5=f34061aa02d499d902417ecd1d1b7623",Article,Scopus,2-s2.0-84926516229
"Andreassen, M., Bøhn, T., Wikmark, O..-G., Van den Berg, J., Løvik, M., Traavik, T., Nygaard, U.C.","Cry1Ab Protein from Bacillus thuringiensis and MON810 cry1Ab-transgenic Maize Exerts No Adjuvant Effect After Airway Exposure",2015,"Scandinavian Journal of Immunology","81","3",,"192","200",,,10.1111/sji.12269,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923253410&partnerID=40&md5=9d02849e675a07a54b79dc1667edfc4c",Article,Scopus,2-s2.0-84923253410
"Cuhra, M., Traavik, T., Bøhn, T.","Life cycle fitness differences in Daphnia magna fed Roundup-Ready soybean or conventional soybean or organic soybean",2015,"Aquaculture Nutrition","21","5",,"702","713",,,10.1111/anu.12199,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941025580&partnerID=40&md5=486223cc02e89c1b41444753e23f19f6",Article,Scopus,2-s2.0-84941025580
"Holderbaum, D.F., Cuhra, M., Wickson, F., Orth, A.I., Nodari, R.O., Bøhn, T.","Chronic Responses of Daphnia magna under Dietary Exposure to Leaves of a Transgenic (Event MON810) Bt-Maize Hybrid and its Conventional Near-Isoline",2015,"Journal of Toxicology and Environmental Health - Part A: Current Issues","78","15",,"993","1007",,,10.1080/15287394.2015.1037877,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939526200&partnerID=40&md5=364251d7fdc8ea4a3e9dd3b79d286856",Article,Scopus,2-s2.0-84939526200
"Okeke, M.I., Okoli, A.S., Nilssen, O., Moens, U., Tryland, M., Bøhn, T., Traavik, T.","Molecular characterization and phylogenetics of Fennoscandian cowpox virus isolates based on the p4c and atip genes",2014,"Virology Journal","11","1", 119,"","",,4,10.1186/1743-422X-11-119,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902903076&partnerID=40&md5=fa0fc400f29e19b2e2c40b79decacde9",Article,Scopus,2-s2.0-84902903076
"Bøhn, T., Cuhra, M., Traavik, T., Sanden, M., Fagan, J., Primicerio, R.","Compositional differences in soybeans on the market: Glyphosate accumulates in Roundup Ready GM soybeans",2014,"Food Chemistry","153",,,"207","215",,17,10.1016/j.foodchem.2013.12.054,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892412895&partnerID=40&md5=0cda778aec59a3861899dc265cc73771",Article,Scopus,2-s2.0-84892412895
"Wickson, F., Bøhn, T., Wynne, B., Hilbeck, A., Funtowicz, S.","Science-based risk assessment requires careful evaluation of all studies",2013,"Nature Biotechnology","31","12",,"1077","1078",,3,10.1038/nbt.2761,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890096409&partnerID=40&md5=cf559961da13ff1c014bf0a5716e5dbc",Letter,Scopus,2-s2.0-84890096409
"Gillund, F.T., Nordgaard, L., Bøhn, T., Wikmark, O.G., Konestabo, H.S., Hilbeck, A.","Selection of Nontarget Testing Organisms for ERA of GM Potato with Increased Resistance to Late Blight",2013,"Potato Research","56","4",,"293","324",,,10.1007/s11540-013-9245-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894380695&partnerID=40&md5=f2ee91bcc9953607777d9379c7973843",Article,Scopus,2-s2.0-84894380695
