Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Cairns Jr., J.","Using assisted biotic colonization to cope with habit loss due to sea level rise",2013,"Integrated Environmental Assessment and Management","9","1",,"166","167",,,10.1002/ieam.1369,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878384450&partnerID=40&md5=8ee11c61feb9145d3f0467672056cb78",Note,Scopus,2-s2.0-84878384450
"Cairns Jr., J.","Letter to the editor: A call for humility and an end to Humankind's disruption of evolutionary processes",2012,"Integrated Environmental Assessment and Management","8","1",,"2","3",,1,10.1002/ieam.259,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859713546&partnerID=40&md5=c7472b6c7e500d699f6f6765b39c341a",Letter,Scopus,2-s2.0-84859713546
"Cairns Jr., J.","Is it safe to use the word ""safe""?",2011,"Integrated Environmental Assessment and Management","7","3",,"506","",,,10.1002/ieam.213,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052321892&partnerID=40&md5=ae18bd681ad85e6704fe520d7b821545",Note,Scopus,2-s2.0-80052321892
"Cairns, J.","Communicating the processes of science to the news media, politicians, and the public",2010,"Integrated Environmental Assessment and Management","6","4",,"783","784",,,10.1002/ieam.114,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952117919&partnerID=40&md5=fbacc385fdeff9ecc1e02b9c909b1acf",Note,Scopus,2-s2.0-79952117919
"Cairns Jr., J.","Incorporating environmental variability from rapid climate change into ecotoxicology tests",2010,"Integrated Environmental Assessment and Management","6","3",,"502","503",,1,10.1002/ieam.80,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954737777&partnerID=40&md5=be0d3bcc8e4a4aa1919156f7b479b5a4",Note,Scopus,2-s2.0-77954737777
"Atkinson, R.B., Perry, J.E., Noe, G.B., Daniels, W.L., Cairns Jr., J.","Primary productivity in 20-year old created wetlands in southwestern Virginia",2010,"Wetlands","30","2",,"200","210",,4,10.1007/s13157-010-0033-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956488216&partnerID=40&md5=bbb24686be99673ed653381b97b72b5c",Article,Scopus,2-s2.0-77956488216
"Cairns Jr., J.","Irreversible climate change will also change environmental assessment and management",2010,"Integrated Environmental Assessment and Management","6","1",,"190","191",,1,10.1002/ieam.24,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77249170979&partnerID=40&md5=4b72a4a4dffbbdaab67df1f30f2645d5",Note,Scopus,2-s2.0-77249170979
"Cairns Jr., J., Saier Jr., M.","Real sustainability",2010,"Water, Air, and Soil Pollution","205","SUPPL.1",,"S67","S68",,,10.1007/s11270-008-9675-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897961196&partnerID=40&md5=21a05b30373c8206b479b16586f81043",Editorial,Scopus,2-s2.0-84897961196
"Cairns Jr., J.","The biospheric life support system: A unifying concept for ecotoxicologists and ecologists",2009,"Integrated Environmental Assessment and Management","5","3",,"487","488",,,10.1897/1551-3793-5.3.487,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73949084788&partnerID=40&md5=5812d404ac825fa0016e9374fe4d0be4",Article,Scopus,2-s2.0-73949084788
"Cairns Jr., J.","The contextual components of ecotoxicology",2009,"Integrated Environmental Assessment and Management","5","2",,"349","350",,,10.1897/1551-3793-5.3.349.b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-68849088513&partnerID=40&md5=77a159c9b84cbc792e82dcff9086fa0d",Note,Scopus,2-s2.0-68849088513
"Cairns Jr., J.","The influence of contaminated sediments on sustainable use of the planet",2009,"Handbook of Environmental Chemistry, Volume 5: Water Pollution","5 T",,,"1","19",,1,10.1007/698_5_110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58249097195&partnerID=40&md5=917d200fef16572cd25d0c138dee1944",Article,Scopus,2-s2.0-58249097195
"Cairns Jr., J.","Sustainable co-evolution",2007,"International Journal of Sustainable Development and World Ecology","14","1",,"103","108",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34247265493&partnerID=40&md5=e6bdc1d46d91e412fff15423fdc3c9e5",Article,Scopus,2-s2.0-34247265493
"Cairns Jr., J.","Designing for nature and sustainability",2006,"International Journal of Sustainable Development and World Ecology","13","2",,"78","81",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33646367146&partnerID=40&md5=dadf5f3cfc07788a98cb3e81d754aca1",Review,Scopus,2-s2.0-33646367146
"Cairns Jr., J.","Restoring damaged aquatic ecosystems",2006,"Journal of Social, Political, and Economic Studies","31","1",,"53","74",,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33747755111&partnerID=40&md5=b5b1843095e34502f0653493f4693e19",Article,Scopus,2-s2.0-33747755111
"Cairns Jr., J.","Sustained emergencies",2005,"International Journal of Sustainable Development and World Ecology","12","3",,"221","226",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-27544500176&partnerID=40&md5=9553f94e19869dbcd556a98a0c832b3c",Review,Scopus,2-s2.0-27544500176
