Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Vargas-Mendoza, C.F., Ortegón-Campos, I.G., Calvo-Irabién, L.M.","Natural selection under contrasting ecological conditions in the aromatic plant Lippia graveolens (H.B.K., Verbenaceae)",2015,"Plant Systematics and Evolution",,,,"","",15,,10.1007/s00606-015-1261-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946149056&partnerID=40&md5=e2ea0c4f61b10b0ce71cb94a5ed2f145",Article in Press,Scopus,2-s2.0-84946149056
"Martínez-Natarén, D.A., Parra-Tabla, V., Dzib, G., Calvo-Irabién, L.M.","Morphology and density of glandular trichomes in populations of Mexican oregano (Lippia graveolens H.B.K., Verbenaceae), and the relationship between trichome density and climate",2011,"Journal of the Torrey Botanical Society","138","2",,"134","144",,3,10.3159/TORREY-D-10-00007.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051895255&partnerID=40&md5=e481a4b7bf21f82bfe197ef6d838b830",Article,Scopus,2-s2.0-80051895255
"de la Torre, L., Calvo-Irabién, L.M., Salazar, C., Balslev, H., Borchsenius, F.","Contrasting palm species and use diversity in the Yucatan Peninsula and the Ecuadorian Amazon",2009,"Biodiversity and Conservation","18","11",,"2837","2853",,10,10.1007/s10531-009-9610-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70449525597&partnerID=40&md5=3d2f7e1bc36b45443591ac212a2859a5",Article,Scopus,2-s2.0-70449525597
"Calvo-Irabien, L.M., Yam-Puc, J.A., Dzib, G., Escalante-Erosa, F., Pena-Rodriguez, L.M.","Effect of postharvest drying on the composition of Mexican oregano (Lippia graveolens) essential oil",2009,"Journal of Herbs, Spices and Medicinal Plants","15","3",,"281","287",,7,10.1080/10496470903379001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77951465707&partnerID=40&md5=4eb16d71c15557c95d3466756e706ecd",Article,Scopus,2-s2.0-77951465707
"Calvo-Irabién, L.M., Zapata, M.T., Iriarte-Vivar, S.","Effects of leaf harvest on thrinax radiata palm: Implications for management and conservation",2009,"Journal of Tropical Forest Science","21","1",,"34","44",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-60849107727&partnerID=40&md5=e96c3dd4789bacf532a2ecb1d5064a8a",Article,Scopus,2-s2.0-60849107727
"Rada, J.M.D., Iturbe, J.A.G., Vivar, S.I., Irabien, L.M.C., Manrique, C.E., Dzul, F.T., Euán, A.D.","Land-use and land-cover changes (1979-2000) in two rural communities in NW Quintana Roo, Mexico [Cambios de cobertura y uso del suelo (1979-2000) en dos comunidades rurales en el noroeste de Quintana Roo]",2007,"Investigaciones Geograficas","62",,,"104","124",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-54149112129&partnerID=40&md5=9c5ecba624316a6db2aef5bdb8457401",Article,Scopus,2-s2.0-54149112129
"Mondragon, D., Calvo-Irabien, L.M.","Seed dispersal and germination of the epiphyte Tillandsia brachycaulos (bromeliaceae) in a tropical dry forest, Mexico",2006,"Southwestern Naturalist","51","4",,"462","470",,18,10.1894/0038-4909(2006)51[462:SDAGOT]2.0.CO;2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846632020&partnerID=40&md5=e860c17f5cbfb5f041934d387c1f0bcf",Review,Scopus,2-s2.0-33846632020
"Mondragón, D., Calvo-Irabien, L.M., Benzing, D.H.","The basis for obligate epiphytism in Tillandsia brachycaulos (Bromeliaceae) in a Mexican tropical dry forest",2004,"Journal of Tropical Ecology","20","1",,"97","104",,4,10.1017/S0266467403001007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0842331000&partnerID=40&md5=c34677c01234ca78d86e7231b7817880",Article,Scopus,2-s2.0-0842331000
"Castillo-Flores, A.A., Calvo-Irabién, L.M.","Animal dispersal of two secondary-vegetation herbs into the evergreen rain forest of south-eastern Mexico",2003,"Journal of Tropical Ecology","19","3",,"271","278",,5,10.1017/S0266467403003304,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037608712&partnerID=40&md5=e62befa630824bed05405ec89205b46f",Article,Scopus,2-s2.0-0037608712
"Calvo-Irabién, L.M., Islas-Luna, A.","Predispersal predation of an understory rainforest herb Aphelandra aurantiaca (Acanthaceae) in gaps and mature forest",1999,"American Journal of Botany","86","8",,"1108","1113",,14,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033301740&partnerID=40&md5=07467f2cd2f7b1bee7c488b7021d1c84",Article,Scopus,2-s2.0-0033301740
