Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Papadopoulos, Y.A., Christie, B.R., McRae, K.B., Gehl, D., Fillmore, S.A.","Pratt timothy [La fléole Pratt]",2015,"Canadian Journal of Plant Science","95","5",,"1047","1048",,,10.4141/CJPS-2015-054,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941367422&partnerID=40&md5=283917e37c658483253aa7d3b8492d94",Article,Scopus,2-s2.0-84941367422
"Papadopoulos, Y.A., Christie, B.R., Choo, T.M., Michaud, R., McRae, K.B., Gehl, D., Fillmore, S.A.E.","Tapani red clover",2008,"Canadian Journal of Plant Science","88","6",,"1091","1092",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-57149091380&partnerID=40&md5=b857403db2e8a5e628fba5ce083a7d01",Article,Scopus,2-s2.0-57149091380
"Van Den Berg, N., Serfontein, S., Christie, B., Munro, C.","First report of raceme blight caused by Cladosporium cladosporioides on Macadamia nuts in South Africa",2008,"Plant Disease","92","3",,"484","",,1,10.1094/PDIS-92-3-0484C,"http://www.scopus.com/inward/record.url?eid=2-s2.0-40849111992&partnerID=40&md5=5d4bc05cb1e8d3e768027b9c2e4f6958",Note,Scopus,2-s2.0-40849111992
"Sturz, A.V., Peters, R.D., Carter, M.R., Sanderson, J.B., Matheson, B.G., Christie, B.R.","Variation in antibiosis ability, against potato pathogens, of bacterial communities recovered from the endo- and exoroots of potato crops produced under conventional versus minimum tillage systems",2005,"Canadian Journal of Microbiology","51","8",,"643","654",,11,10.1139/w05-041,"http://www.scopus.com/inward/record.url?eid=2-s2.0-29144486107&partnerID=40&md5=889cf1a53de807bac49c2ad1190c20b1",Article,Scopus,2-s2.0-29144486107
"Arsenault, W.J., Christie, B.R.","Effect of whole seed tuber size and pre-plant storage conditions on yield and tuber size distribution of Russet Burbank",2004,"American Journal of Potato Research","81","6",,"371","376",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-11244311977&partnerID=40&md5=e8843b82bae008a75a65b0d5a3064e7e",Article,Scopus,2-s2.0-11244311977
"Sturz, A.V., Ryan, D.A.J., Coffin, A.D., Matheson, B.G., Arsenault, W.J., Kimpinski, J., Christie, B.R.","Stimulating disease suppression in soils: Sulphate fertilizers can increase biodiversity and antibiosis ability of root zone bacteria against Streptomyces scabies",2004,"Soil Biology and Biochemistry","36","2",,"343","352",,11,10.1016/j.soilbio.2003.10.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-1042267473&partnerID=40&md5=39b2ba37244e155c89e6ed34de9ded5d",Article,Scopus,2-s2.0-1042267473
"Sturz, A.V., Arsenault, W., Christie, B.R.","Red Clover-Potato Cultivar Combinations for Improved Potato Yield",2003,"Agronomy Journal","95","5",,"1089","1092",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0141615040&partnerID=40&md5=bb1311b8cff740327c011b4ab5ab1b15",Article,Scopus,2-s2.0-0141615040
"Sturz, A.V., Christie, B.R.","Beneficial microbial allelopathies in the root zone: The management of soil quality and plant disease with rhizobacteria",2003,"Soil and Tillage Research","72","2",,"107","123",,74,10.1016/S0167-1987(03)00082-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038159677&partnerID=40&md5=1609efc795bce0cb97f7980a95025592",Article,Scopus,2-s2.0-0038159677
"Sturz, A.V., Christie, B.R.","Rationale for an holistic approach to soil quality and crop health",2003,"Soil and Tillage Research","72","2",,"105","106",,3,10.1016/S0167-1987(03)00081-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037810362&partnerID=40&md5=11d3015da6ed949dd4637f8158a2d521",Editorial,Scopus,2-s2.0-0037810362
"Papadopoulos, Y.A., Kimpinski, J., McRae, K.B., Christie, B.R., Gallant, C.E., Fillmore, S.A.E.","Invasion and reproduction by root-lesion nematode (Pratylenchus penetrans) differs among selected lines of red clover (Trifolium pratense)",2002,"Phytoprotection","83","1",,"41","45",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-23844473679&partnerID=40&md5=44a2f19b56e7c04d43cb2ebbbea0e766",Article,Scopus,2-s2.0-23844473679
