Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Figueredo, C.J., Casas, A., Colunga-GarcíaMarín, P., Nassar, J.M., González-Rodríguez, A.","Morphological variation, management and domestication of 'maguey alto' (Agave inaequidens) and 'maguey manso' (A. hookeri) in Michoacán, México",2014,"Journal of Ethnobiology and Ethnomedicine","10","1", 66,"","",,1,10.1186/1746-4269-10-66,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907432699&partnerID=40&md5=634a6dacbd5ed1c464c9a587471106eb",Article,Scopus,2-s2.0-84907432699
"Zizumbo-Villarreal, D., Flores-Silva, A., Colunga-GarcíaMarín, P.","The Food System during the Formative Period in West Mesoamerica1 [El Sistema alimentario durante el Período Formativo en el Oeste de Mesoamérica]",2014,"Economic Botany","68","1",,"67","84",,,10.1007/s12231-014-9262-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940304678&partnerID=40&md5=55051c30a5090be5cf56c3afba2167ba",Article,Scopus,2-s2.0-84940304678
"Zizumbo-Villarreal, D., Colunga-GarcíaMarín, P.","Origin of agriculture and plant domestication in West Mesoamerica",2010,"Genetic Resources and Crop Evolution","57","6",,"813","825",,21,10.1007/s10722-009-9521-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954536377&partnerID=40&md5=8ee6076f79fcec45f30a79e62cf254fb",Article,Scopus,2-s2.0-77954536377
"Rendón-Salcido, L.A., Colunga-GarcíaMarin, P., Barahona-Pérez, L.F., Pimienta-Barrios, E., Magdub-Méndez, A., Larqué-Saavedra, A.","Sugars and alcoholic byproducts from henequen (Agave fourcroydes) as influenced by plant age and climate [Azúcares y subproductos alcohólicos de henequén (Agave fourcroydes) en función de la edad de la planta y el clima]",2009,"Revista Fitotecnia Mexicana","32","1",,"39","44",,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77951233334&partnerID=40&md5=05fbb00cdf3093f205c773687aa04270",Article,Scopus,2-s2.0-77951233334
"Zizumbo-Villarreal, D., González-Zozaya, F., Olay-Barrientos, A., Almendros-López, L., Flores-Pérez, P., Colunga-GarcíaMarín, P.","Distillation in Western Mesoamerica before European contact",2009,"Economic Botany","63","4",,"413","426",,4,10.1007/s12231-009-9103-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-74849111072&partnerID=40&md5=452ce952e9884ff585b478e27d5dfce1",Article,Scopus,2-s2.0-74849111072
"Zizumbo-Villarreal, D., González-Zozaya, F., Olay-Barrientos, A., Platas-Ruíz, R., Cuevas-Sagardí, M., Almendros-López, L., Colunga-GarcíaMarín, P.","Archaeological evidence of the cultural importance of Agave spp. in Pre-Hispanic Colima, Mexico",2009,"Economic Botany","63","3",,"288","302",,8,10.1007/s12231-009-9092-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350738490&partnerID=40&md5=d6ca952a4fad3606dfed40abaf9f81f7",Article,Scopus,2-s2.0-70350738490
"Vargas-Ponce, O., Zizumbo-Villarreal, D., Martínez-Castillo, J., Coello-Coello, J., Colunga-GarcíaMarín, P.","Diversity and structure of landraces of Agave grown for spirits under traditional agriculture: A comparison with wild populations of A. angustifolia (Agavaceae) and commercial plantations of A. tequilana",2009,"American Journal of Botany","96","2",,"448","457",,24,10.3732/ajb.0800176,"http://www.scopus.com/inward/record.url?eid=2-s2.0-60249100119&partnerID=40&md5=c0625f485566e494d103f4b69035abba",Article,Scopus,2-s2.0-60249100119
"Martínez-Castillo, J., Colunga-GarcíaMarín, P., Zizumbo-Villarreal, D.","Genetic erosion and in situ conservation of Lima bean (Phaseolus lunatus L.) landraces in its Mesoamerican diversity center",2008,"Genetic Resources and Crop Evolution","55","7",,"1065","1077",,9,10.1007/s10722-008-9314-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-53749104210&partnerID=40&md5=d999dcc44001810a65ca194ff2c92734",Article,Scopus,2-s2.0-53749104210
"Zizumbo-Villarreal, D., Colunga-Garcíamarín, P.","Early coconut distillation and the origins of mezcal and tequila spirits in west-central Mexico",2008,"Genetic Resources and Crop Evolution","55","4",,"493","510",,11,10.1007/s10722-007-9255-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44849095869&partnerID=40&md5=5a11dc586dacf0bab1ee8fed7927e3d2",Article,Scopus,2-s2.0-44849095869
"Vargas-Ponce, O., Zizumbo-Villarreal, D., Colunga-GarcíAmarin, P.","In situ diversity and maintenance of traditional Agave landraces used in spirits production in west-central Mexico",2007,"Economic Botany","61","4",,"362","375",,14,10.1663/0013-0001(2007)61[362:ISDAMO]2.0.CO;2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38349086635&partnerID=40&md5=8d358a064c4c4a81725c634dc63cb0e5",Article,Scopus,2-s2.0-38349086635
