Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Saunders, A.V., Craig, W.J., Baines, S.K., Posen, J.S.","Iron and vegetarian diets",2012,"Medical Journal of Australia","1",,,"11","16",,2,10.5694/mjao11.11494,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911930631&partnerID=40&md5=8155670a8ff2c7d39d56cb9a63193238",Article,Scopus,2-s2.0-84911930631
"Pribis, P., Bailey, R.N., Russell, A.A., Kilsby, M.A., Hernandez, M., Craig, W.J., Grajales, T., Shavlik, D.J., Sabatè, J.","Effects of walnut consumption on cognitive performance in young adults.",2012,"The British journal of nutrition","107","9",,"1393","1401",,6,10.1017/S0007114511004302,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891496390&partnerID=40&md5=1645b551d294ef05952f929bdb974594",Article,Scopus,2-s2.0-84891496390
"Craig, W.J.","Nutrition concerns and health effects of vegetarian diets",2010,"Nutrition in Clinical Practice","25","6",,"613","620",,54,10.1177/0884533610385707,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650459003&partnerID=40&md5=67366ee09519b8478ff56bfbf89ffb36",Review,Scopus,2-s2.0-78650459003
"Craig, W.J., Mangels, A.R.","Position of the American Dietetic Association: Vegetarian Diets [Postura de la Asociación Americana de Dietética: dietas vegetarianas]",2010,"Actividad Dietetica","14","1",,"10","26",,,10.1016/S1138-0322(10)70003-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77951679117&partnerID=40&md5=09eceb37ea09bf98874df77b17977f4e",Article,Scopus,2-s2.0-77951679117
"Craig, W.J., Mangels, A.R.","Position of the American Dietetic Association: vegetarian diets.",2009,"Journal of the American Dietetic Association","109","7",,"1266","1282",,214,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67649983234&partnerID=40&md5=c5caab7f641c5dd5f54475891575aaf6",Article,Scopus,2-s2.0-67649983234
"Craig, W.J.","Health effects of vegan diets",2009,"American Journal of Clinical Nutrition","89","5",,"1627S","1633S",,103,10.3945/ajcn.2009.26736N,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65549115509&partnerID=40&md5=c895d3e29bcf2f07e1fb2ca7b01c54d0",Conference Paper,Scopus,2-s2.0-65549115509
"Brown, A.C., Onopa, J., Holck, P., Kaufusi, P., Kabasawa, D., Craig, W.J., Dragull, K., Levine, A.M., Baker, J.D.","Traditional kava beverage consumption and liver function tests in a predominantly Tongan population in Hawaii",2007,"Clinical Toxicology","45","5",,"549","556",,22,10.1080/15563650701365875,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34248545938&partnerID=40&md5=2f8949d1b13bb258cd3ba9a2144698e5",Article,Scopus,2-s2.0-34248545938
"Craig, W.J.","Health-promoting properties of common herbs",1999,"American Journal of Clinical Nutrition","70","3 SUPPL.",,"491S","499S",,503,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032817487&partnerID=40&md5=c115ec8fc0ecf01174b536dc488d4d09",Conference Paper,Scopus,2-s2.0-0032817487
"Craig, W., Beck, L.","Phytochemicals: Health Protective Effects",1999,"Canadian Journal of Dietetic Practice and Research","60","2",,"78","84",,50,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0002586834&partnerID=40&md5=6b54092d245746126b8cb4a5befec84a",Article,Scopus,2-s2.0-0002586834
"Craig, W.J.","Phytochemicals: guardians of our health.",1997,"Journal of the American Dietetic Association","97","10 Suppl 2",,"S199","204",,171,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031255282&partnerID=40&md5=01bb6a4bcf910e9d5579d4c8329841a8",Review,Scopus,2-s2.0-0031255282
"Ledue, T.B., Craig, W.J., Ritchie, R.F., Haddow, J.E.","Influence of blood donation and iron supplementation on indicators of iron status.",1994,"Clinical Chemistry","40","7 Pt 1",,"1345","1346",,10,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028470261&partnerID=40&md5=9fe0162985df8bc4b1aa0f9cf6086fac",Letter,Scopus,2-s2.0-0028470261
"Craig, W.J.","Iron status of vegetarians",1994,"American Journal of Clinical Nutrition","59","5 SUPPL.",,"1233S","1237S",,68,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028211577&partnerID=40&md5=6ca4a2bd87dd77bec63f86db75942558",Conference Paper,Scopus,2-s2.0-0028211577
"Craig, W.J.","Plasma manganese levels of human milk-fed and formula-fed infants",1984,"Nutrition Reports International","30","4",,"1003","1008",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021679277&partnerID=40&md5=4121565e5ce5397a9077fcfadb4bdb26",,Scopus,2-s2.0-0021679277
"Craig, W.J., Balbach, L., Vyhmeister, N.","Zinc bioavailability and infant formulas",1984,"American Journal of Clinical Nutrition","39","6",,"981","982",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021233548&partnerID=40&md5=47f793079016b953770e302adbf50015",Letter,Scopus,2-s2.0-0021233548
"Abu-Assal, M.J., Craig, W.J.","The zinc status of pregnant vegetarian women",1984,"Nutrition Reports International","29","2",,"485","494",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021354744&partnerID=40&md5=5f4ae47b7fbf8cc7f8084d17d66cbc0f",,Scopus,2-s2.0-0021354744
"Craig, W.J., Belknap, C., Fraser, G.E.","Influence of diet onfatty acid profiles of the serum lipids of middle-aged men",1984,"Federation Proceedings","43","4",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021189531&partnerID=40&md5=9d458ae56fbeec4cf8696666e79bfef0",,Scopus,2-s2.0-0021189531
"Craig, W.J., Balbach, L., Harris, S., Vyhmeister, N.","Plasma zinc and copper levels of infants fed different milk formulas",1984,"Journal of the American College of Nutrition","3","2",,"183","186",,14,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021127927&partnerID=40&md5=039cfaa733d8a6d1ace81f3267549db9",Article,Scopus,2-s2.0-0021127927
"Moses, M.S., Craig, W.J.","Effects of dietary fat on the fatty acid composition of rat erythrocyte phospholipids",1983,"Nutrition Reports International","28","5",,"983","990",,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021014827&partnerID=40&md5=283ecfd689a832b09d04ce12c72ea7d4",,Scopus,2-s2.0-0021014827
"Ruhl, M.J., Nguyen, T., Craig, W.","Methylxanthines in cocoa and carob products",1982,"Federation Proceedings","41","3",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019968951&partnerID=40&md5=d799712e1029a9a5c6a32e6495630590",,Scopus,2-s2.0-0019968951
