Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Celis, C.J., Cure, J.R., Aguilar-Benavides, M.L.","Two new species of Caenohalictus Cameron, 1903 (Hymenoptera: Halictidae) from Colombia",2014,"Zootaxa","3786","5",,"574","586",,,10.11646/zootaxa.3786.5.5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906319276&partnerID=40&md5=03754007e1139d98d9ec3bf0e813f09f",Article,Scopus,2-s2.0-84906319276
"Rodríguez, D., Cure, J.R., Gutierrez, A.P., Cotes, J.M., Cantor, F.","A coffee agroecosystem model: II. Dynamics of coffee berry borer",2013,"Ecological Modelling","248",,,"203","214",,5,10.1016/j.ecolmodel.2012.09.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870160965&partnerID=40&md5=54cf2697931a5e4e309d95a9aeaeab24",Article,Scopus,2-s2.0-84870160965
"Caicedo, D.R., Torres, J.M.C., Cure, J.R.","Comparison of eight degree-days estimation methods in four agroecological regions in Colombia [Comparação de oito métodos para calcular graus-dia em quatro regiões agroecológicas]",2012,"Bragantia","71","2",,"299","307",,,10.1590/S0006-87052012005000011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865808983&partnerID=40&md5=22e9a7761f5bd98e6b82ad1ea8523f12",Article,Scopus,2-s2.0-84865808983
"Pacateque, J., Cruz, P., Aguilar, M.L., Cure, J.R.","Effect of pocket feeding of Bombus atratus (Hymenoptera: Apidae) in early colony development stages [Efecto de alimentación vía bolsillo en etapas tempranas del desarrollo de Bombus atratus (hymenoptera: Apidae)]",2012,"Revista Colombiana de Entomologia","38","2",,"343","346",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878231665&partnerID=40&md5=f72dc9d4149a192556e7d634efdf8460",Article,Scopus,2-s2.0-84878231665
"Rodríguez, D., Cure, J.R., Cotes, J.M., Gutierrez, A.P., Cantor, F.","A coffee agroecosystem model: I. Growth and development of the coffee plant",2011,"Ecological Modelling","222","19",,"3626","3639",,6,10.1016/j.ecolmodel.2011.08.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80054021720&partnerID=40&md5=f0a36687c8b5e7ecaf763335d6a60b14",Article,Scopus,2-s2.0-80054021720
"Diana Elizabeth PÉrez, M., Fernando Cantor, R., Daniel Rodríguez, C., Cure, J.R.","Dispersion of encarsia formosa (Hymenoptera: Aphelinidae) parasitizing trialeurodes vaporariorum (Hemiptera: Aleyrodidae) on greenhouse tomato crops [Dispersión de encarsia formosa (Hymenoptera: Aphelinidae) parasitando trialeurodes vaporariorum (Hemiptera: Aleyrodidae) en tomate bajo invernadero]",2011,"Revista Colombiana de Entomologia","37","2",,"210","216",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861933725&partnerID=40&md5=fd25e15829f21dc84ec08fb931fad92e",Article,Scopus,2-s2.0-84861933725
"Bustos, A., Cantor, F., Cure, J., Rodríguez, D.","Standardization of a rearing procedure of tetranychus urticae koch (acari: Tetranychidae) on bean (phaseolus vulgaris): Plant age and harvest time [Padronização da criação de tetranychus urticae koch (acari: Tetranychidae) em feijoeiro (phaseolus vulgaris): Idade da planta e tempo de colheita]",2009,"Neotropical Entomology","38","5",,"653","659",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70749137969&partnerID=40&md5=9fe4e2d032d6d6ef8ee2fe04b4f8f0b7",Article,Scopus,2-s2.0-70749137969
"Cure, J.R., Cantor, F.","Predacious and parasitic activity of Diglyphus begini (Ashm.) (Hymenoptera: Eulophidae) on Liriomyza huidobrensis (Blanch.) (Diptera: Agromyzidae), in Gypsophila paniculata L. (Monocotiledonea: Caryophyllaceae) Plants [Atividade predadora e parasítica de Diglyphus begini (Ashm.) (Hymenoptera: Eulophidae) sobre Liriomyza huidobrensis (Blanch.) (Diptera: Agromyzidae) em Cultivos de Gypsophila paniculata L]",2003,"Neotropical Entomology","32","1",,"85","89",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37349015467&partnerID=40&md5=0912b80e4c4362427c0baba929ae50ca",Article,Scopus,2-s2.0-37349015467
"Gutíerrez, A.P., Mariot, E.J., Cure, J.R., Riddle, C.S.W., Ellis, C.K., Villacorta, A.M.","A model of bean (Phaseolus vulgaris L.) growth types I-III: Factors affecting yield",1994,"Agricultural Systems","44","1",,"35","63",,11,10.1016/0308-521X(94)90014-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028177690&partnerID=40&md5=85d4d9ff8c95477f2076d558adfe15bf",Article,Scopus,2-s2.0-0028177690
"Silveira, F.A., Cure, J.R.","High-altitude bee fauna of southeastern Brazil: implications for biogeographic patterns (Hymenoptera: Apoidea)",1993,"Studies on Neotropical Fauna & Environment","28","1",,"47","55",,32,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027871622&partnerID=40&md5=b46904f27a721553a9efde65315ca1b0",,Scopus,2-s2.0-0027871622
