Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Papuc, A.M., Davies, G.F.","Transient mantle layering and the episodic behaviour of Venus due to the 'basalt barrier' mechanism",2012,"Icarus","217","2",,"499","509",,6,10.1016/j.icarus.2011.09.024,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855355085&partnerID=40&md5=b5ea6c424456a3f7f3bd2d898a4949a1",Article,Scopus,2-s2.0-84855355085
"Davies, G.F.","Dynamical geochemistry of the mantle",2011,"Solid Earth","2","2",,"159","189",,3,10.5194/se-2-159-2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865107314&partnerID=40&md5=d5405fd89a913396ba72302cbf55f3b9",Article,Scopus,2-s2.0-84865107314
"Davies, G.F.","Mantle convection for geologists",2011,"Mantle Convection for Geologists",,,,"1","232",,,10.1017/CBO9780511973413,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924599880&partnerID=40&md5=f0379952d7d46b94bebb3ad877f8774c",Book,Scopus,2-s2.0-84924599880
"Davies, G.F.","Noble gases in the dynamic mantle",2010,"Geochemistry, Geophysics, Geosystems","11","3", Q03005,"","",,6,10.1029/2009GC002801,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77949357013&partnerID=40&md5=a769c177e8211a6fdde69e7e35a71e3b",Article,Scopus,2-s2.0-77949357013
"Davies, G.F.","Effect of plate bending on the Urey ratio and the thermal evolution of the mantle",2009,"Earth and Planetary Science Letters","287","3-4",,"513","518",,27,10.1016/j.epsl.2009.08.038,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350129695&partnerID=40&md5=2246722ff4c809b1e44b1bf1e7f216df",Article,Scopus,2-s2.0-70350129695
"Davies, G.F.","Reconciling the geophysical and geochemical mantles: Plume flows, heterogeneities, and disequilibrium",2009,"Geochemistry, Geophysics, Geosystems","10","10", Q10008,"","",,13,10.1029/2009GC002634,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350117223&partnerID=40&md5=41de08ac693383d1a44cbd6b7c100d11",Article,Scopus,2-s2.0-70350117223
"Van Hunen, J., Van Keken, P.E., Hynes, A., Davies, G.F.","Tectonics of early Earth: Some geodynamic considerations",2008,"Special Paper of the Geological Society of America","440",,,"157","171",,9,10.1130/2008.2440(08),"http://www.scopus.com/inward/record.url?eid=2-s2.0-75249091087&partnerID=40&md5=cec5c624abc7cba069357ecda8a0ce9c",Article,Scopus,2-s2.0-75249091087
"Davies, G.F.","Episodic layering of the early mantle by the 'basalt barrier' mechanism",2008,"Earth and Planetary Science Letters","275","3-4",,"382","392",,26,10.1016/j.epsl.2008.08.036,"http://www.scopus.com/inward/record.url?eid=2-s2.0-54249165358&partnerID=40&md5=ba81bbaef62760c9b194a9d90cca237b",Article,Scopus,2-s2.0-54249165358
"Papuc, A.M., Davies, G.F.","The internal activity and thermal evolution of Earth-like planets",2008,"Icarus","195","1",,"447","458",,25,10.1016/j.icarus.2007.12.016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42049103441&partnerID=40&md5=693189ec7872dd70e221620d1412455c",Article,Scopus,2-s2.0-42049103441
"Davies, G.F.","Chapter 2.3 Dynamics of the Hadean and Archaean Mantle",2007,"Developments in Precambrian Geology","15",,,"61","73",,2,10.1016/S0166-2635(07)15023-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-48349146510&partnerID=40&md5=e668fff866a2c1df4cfdb682daa8406f",Review,Scopus,2-s2.0-48349146510
