Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Donohoe, M.","Physician drug testing is unscientific and is unlikely to achieve stated aims",2015,"Annals of Internal Medicine","162","8",,"597","598",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928168237&partnerID=40&md5=a1ef9e7f34e025e7edcdc959f2e6a29d",Letter,Scopus,2-s2.0-84928168237
"Wiist, W.H., Barker, K., Arya, N., Rohde, J., Donohoe, M., White, S., Lubens, P., Gorman, G., Hagopian, A.","The role of public health in the prevention of war: Rationale and competencies",2014,"American Journal of Public Health","104","6",,"e34","e37",,3,10.2105/AJPH.2013.301778,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901000891&partnerID=40&md5=9ab152fcde9343cc743ebd30e5a2546c",Article,Scopus,2-s2.0-84901000891
"Donohoe, M.","Fairness and effectiveness of maintenance of certification",2011,"Archives of Internal Medicine","171","16",,"1507","",,1,10.1001/archinternmed.2011.385,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052757693&partnerID=40&md5=65d811d7c4560d08e715f47c753b27e7",Note,Scopus,2-s2.0-80052757693
"Donohoe, M.","Re: Future of board certification in a new era of public accountability",2010,"Journal of the American Board of Family Medicine","23","5",,"687","",,2,10.3122/jabfm.2010.05.100115,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956913782&partnerID=40&md5=00e1f86f832774059db5734710373050",Letter,Scopus,2-s2.0-77956913782
"Donohoe, M.","Regarding ""the third wave: Medical tourism in the 21st century""",2009,"Southern Medical Journal","102","12",,"1275","",,,10.1097/SMJ.0b013e3181bfddbb,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73949154964&partnerID=40&md5=8c1861afefacb58499e00b7c73d0c03d",Letter,Scopus,2-s2.0-73949154964
"Donohoe, M.","Flowers, diamonds, and gold: The destructive public health, human rights, and environmental consequences of symbols of love",2008,"Human Rights Quarterly","30","1",,"164","182",,3,10.1353/hrq.2008.0003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-39849090684&partnerID=40&md5=0658b7e6fab6d82de3d47b8c2d181d71",Review,Scopus,2-s2.0-39849090684
"Donohoe, M.","Roles and responsibilities of health care professionals in combating environmental degradation and social injustice: education and activism.",2008,"Monash bioethics review","27","1-2",,"65","82",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-60849127265&partnerID=40&md5=e1410d6f32f6622fc60b1e4a7bd6b985",Article,Scopus,2-s2.0-60849127265
"Donohoe, M.T.","Problem doctors: Is there a system-level solution? [3]",2006,"Annals of Internal Medicine","144","11",,"862","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34249022254&partnerID=40&md5=d1ff077a41016a40e19ad64ae97cf920",Letter,Scopus,2-s2.0-34249022254
"Donohoe, M.","Increase in obstacles to abortion: the American perspective in 2004.",2005,"Journal of the American Medical Women's Association (1972)","60","1",,"16","25",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33745953453&partnerID=40&md5=1e77f6ca7ff4ad4ff65f4a931fb59c67",Article,Scopus,2-s2.0-33745953453
"McCally, M., Donohoe, M., Osterholm, M.T., Norgan, A.P., Thayer, D.W.","Irradiation of food [5] (multiple letters)",2004,"New England Journal of Medicine","351","4",,"402","403",,1,10.1056/NEJM200407223510423,"http://www.scopus.com/inward/record.url?eid=2-s2.0-3242661590&partnerID=40&md5=faac382811603022b52c6ba124c21797",Letter,Scopus,2-s2.0-3242661590
