Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Eubanks, M.","MIT Toxicogenomics Research Program",2005,"Environmental Health Perspectives","113","4",,"A234","A235",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18044371641&partnerID=40&md5=0cbccedbfd8354f4a716dadccb685ccd",Note,Scopus,2-s2.0-18044371641
"Eubanks, M.","The safety of xenoestrogens. Challenging the genomic model of effects",2004,"Environmental Health Perspectives","112","15",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-8744258790&partnerID=40&md5=dc4301195e0889ea9006a214ddc33164",Note,Scopus,2-s2.0-8744258790
"Eubanks, M.","Mass spectrometry group has mass appeal.",2004,"Environmental health perspectives","112","16",,"A936","937",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-16644393692&partnerID=40&md5=2b9d5d4cdb4fb7892ad0f29b0e55138c",Article,Scopus,2-s2.0-16644393692
"Eubanks, M.","Cooperation achieves result at UNC-CH",2004,"Environmental Health Perspectives","112","12",,"A676","677",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-4444362832&partnerID=40&md5=86ff8d212e6095bcb0f76918216c0bbc",Note,Scopus,2-s2.0-4444362832
"Eubanks, M.","The danger of extrapolation. Humans and rodents differ in response to PCBs.",2004,"Environmental health perspectives","112","2",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2342519514&partnerID=40&md5=f7f275ed1c713fa7c784184251e97957",Note,Scopus,2-s2.0-2342519514
"Eubanks, M.","The danger of extrapolation",2004,"Environmental Health Perspectives","112","2",,"","",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-1042292059&partnerID=40&md5=f47cbb042c9323c18d4690006c549dbb",Note,Scopus,2-s2.0-1042292059
"Eubanks, M.","Poisoning young minds? Methyl parathion may be linked to neurodevelopment problems",2004,"Environmental Health Perspectives","112","1",,"A50","A51",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0346495997&partnerID=40&md5=4518b520fbb596dccbcd7acf1a5c9bfc",Note,Scopus,2-s2.0-0346495997
"Eubanks, M.W.","Silencing of mutant genes with RNAi",2003,"Environmental Health Perspectives","111","15",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0348134475&partnerID=40&md5=6e5b5817622a66da1e8503e5f5c64bcd",Note,Scopus,2-s2.0-0348134475
"Eubanks, M.","Monitoring estrogenic effects: A genomics approach",2003,"Environmental Health Perspectives","111","6",,"","",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-17044452569&partnerID=40&md5=8129471d260117b7defd531d32a1035b",Note,Scopus,2-s2.0-17044452569
"Eubanks, M.","Monitoring estrogenic effects",2003,"Environmental Health Perspectives","111","1 T",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037260027&partnerID=40&md5=41c0ee3c69c2b36581dd857c4d2b7d4b",Note,Scopus,2-s2.0-0037260027
"Eubanks, M.","Rice and rice blast: New bases for comparison",2002,"Environmental Health Perspectives","110","12",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036913262&partnerID=40&md5=56eddbd34a785aee1796d4b9deed07ea",Note,Scopus,2-s2.0-0036913262
"Eubanks, M.","Allergies à la carte: Is there a problem with genetically modified foods?",2002,"Environmental Health Perspectives","110","3",,"A130","A131",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036199390&partnerID=40&md5=229945f67ef7cb4d4dabee4c99f62fa9",Note,Scopus,2-s2.0-0036199390
"Eubanks, M.","Gene therapy for CF",2001,"Environmental Health Perspectives","109","1",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035150461&partnerID=40&md5=26a0f4f4a0e5baa569a996d02c4c3db8",Note,Scopus,2-s2.0-0035150461
"Eubanks, M.W.","Hormones and health.",1997,"Environmental health perspectives","105","5",,"482","486",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031132225&partnerID=40&md5=36d5e69f2f847e4af29813c9772cf6a5",Review,Scopus,2-s2.0-0031132225
"Eubanks, M.","Centered on molecules.",1996,"Environmental health perspectives","104","7",,"690","692",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030179291&partnerID=40&md5=5751b4394171350af02db4cbcec69b85",Article,Scopus,2-s2.0-0030179291
"Eubanks, M.","Biomarkers: The clues to genetic susceptibility",1994,"Environmental Health Perspectives","102","1",,"50","53+56",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028258440&partnerID=40&md5=9ab83e147faec32fb41391b192d74464",Note,Scopus,2-s2.0-0028258440
