Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Fagan, J., Traavik, T., Bøhn, T.","The Seralini affair: degeneration of Science to Re-Science?",2015,"Environmental Sciences Europe","27","1", 19,"","",9,,10.1186/s12302-015-0049-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940515459&partnerID=40&md5=4208936678c5b6e7d16a16eb0a6f07e1",Article,Scopus,2-s2.0-84940515459
"Bøhn, T., Cuhra, M., Traavik, T., Sanden, M., Fagan, J., Primicerio, R.","Reply to letter to the editor",2015,"Food Chemistry","172",,,"924","927",,,10.1016/j.foodchem.2014.08.042,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910009558&partnerID=40&md5=7d130fcf4abc3316d73bc24b3c02cf0a",Letter,Scopus,2-s2.0-84910009558
"Bøhn, T., Cuhra, M., Traavik, T., Sanden, M., Fagan, J., Primicerio, R.","Compositional differences in soybeans on the market: Glyphosate accumulates in Roundup Ready GM soybeans",2014,"Food Chemistry","153",,,"207","215",,17,10.1016/j.foodchem.2013.12.054,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892412895&partnerID=40&md5=0cda778aec59a3861899dc265cc73771",Article,Scopus,2-s2.0-84892412895
"Schoel, B., Fagan, J.","Insufficient evidence for the discovery of transgenes in Mexican landraces",2009,"Molecular Ecology","18","20",,"4143","4144",,9,10.1111/j.1365-294X.2009.04368.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349866218&partnerID=40&md5=e16fecbce44f2c53dbd384ca7dfbfef9",Note,Scopus,2-s2.0-70349866218
"Quirasco, M., Schoel, B., Chhalliyil, P., Fagan, J., Gálvez, A.","Real-time and conventional PCR detection of Liberty Link® rice varieties and transgenic soy in rice sampled in the Mexican and American retail markets",2008,"Analytical and Bioanalytical Chemistry","392","3",,"395","404",,8,10.1007/s00216-008-2265-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51349123399&partnerID=40&md5=8a22f39c6c3e3cd12063277f5f2ab77d",Article,Scopus,2-s2.0-51349123399
"Gormley, T.R., Neumann, T., Fagan, J.D., Brunton, N.P.","Taurine content of raw and processed fish fillets/portions",2007,"European Food Research and Technology","225","5-6",,"837","842",,17,10.1007/s00217-006-0489-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34547591794&partnerID=40&md5=494eadabe286436cad65227403fe1762",Article,Scopus,2-s2.0-34547591794
"Gormley, R., Fagan, J.","Sensory acceptability of new fish species",2005,"Food Science and Technology","19","3",,"35","38",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-26044440603&partnerID=40&md5=0201de4b3efc94bda7ff5b7a1037263a",Review,Scopus,2-s2.0-26044440603
"Fagan, J.D., Gormley, T.R.","Effect of sous vide cooking, with freezing, on selected quality parameters of seven fish species in a range of sauces",2005,"European Food Research and Technology","220","3-4",,"299","304",,14,10.1007/s00217-004-1028-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-17144365097&partnerID=40&md5=2212fee75b1c7952c4ae140c7f1cda61",Article,Scopus,2-s2.0-17144365097
"Fagan, J.D., Gormley, T.R., Uí Mhuircheartaigh, M.M.","Effect of modified atmosphere packaging with freeze-chilling on some quality parameters of raw whiting, mackerel and salmon portions",2004,"Innovative Food Science and Emerging Technologies","5","2",,"205","214",,33,10.1016/j.ifset.2004.01.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2942624373&partnerID=40&md5=3ad67e71f1f80dd508e24638110d50b0",Article,Scopus,2-s2.0-2942624373
"Quirasco, M., Schoel, B., Plasencia, J., Fagan, J., Galvez, A.","Suitability of real-time quantitative polymerase chain reaction and enzyme-linked immunosorbent assay for cry9C detection in Mexican corn tortillas: Fate of DNA and protein after alkaline cooking",2004,"Journal of AOAC International","87","3",,"639","646",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-3042783113&partnerID=40&md5=d19d315f016cd4e39e0ea426656d4ae6",Article,Scopus,2-s2.0-3042783113
"Fagan, J.D., Gormley, T.R., Mhuircheartaigh, M.U.","Effect of freeze-chilling, in comparison with fresh, chilling and freezing, on some quality parameters of raw whiting, mackerel and salmon portions",2003,"LWT - Food Science and Technology","36","7",,"647","655",,41,10.1016/S0023-6438(03)00084-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0141727467&partnerID=40&md5=bb529d38463edcdbe796ba034280cd13",Article,Scopus,2-s2.0-0141727467
"Fagan, J., Schoel, B., Haegert, A., Moore, J., Beeby, J.","Performance assessment under field conditions of a rapid immunological test for transgenic soybeans",2001,"International Journal of Food Science and Technology","36","4",,"357","367",,20,10.1046/j.1365-2621.2001.00482.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035531421&partnerID=40&md5=82c0d511d57bbfe31be7b0ce94eb86b9",Article,Scopus,2-s2.0-0035531421
