Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Fox, M.W.","One health, veterinary public health, and demand for food from animal sources",2011,"Journal of the American Veterinary Medical Association","239","8",,"1051","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80054042811&partnerID=40&md5=983be8dc344db2c41bd582b2aeeda40f",Note,Scopus,2-s2.0-80054042811
"Fox, M.W.","Thoughts on staying relevant in food animal care",2010,"Journal of the American Veterinary Medical Association","237","12",,"1367","1368",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650442810&partnerID=40&md5=ab8816fc865d33ab3196428185dcd4d4",Letter,Scopus,2-s2.0-78650442810
"Fox, M.W., Smart, M.E.","Recommends veterinary consultation prior to feeding weight-reducing diets",2008,"Journal of the American Veterinary Medical Association","233","5",,"707","708",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51349152916&partnerID=40&md5=276f7e741486327dc62d849c612ad297",Letter,Scopus,2-s2.0-51349152916
"Fox, M.W.","Readers appreciate JAVMA commentary on good medicine",2008,"Journal of the American Veterinary Medical Association","233","4",,"552","553",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-50449098881&partnerID=40&md5=0be95e5898dd4499b43c66b27e31de11",Letter,Scopus,2-s2.0-50449098881
"Fox, M.W.","Veterinary medicine, global health.",2008,"Journal of the American Veterinary Medical Association","232","5",,"677; author reply 677","678",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42249087673&partnerID=40&md5=e92e4557b567539600644d24e994ec54",Note,Scopus,2-s2.0-42249087673
"Fox, M.W.","Differing opinions on organic and free-range farming systems",2008,"Journal of the American Veterinary Medical Association","232","5",,"677","",,1,10.2460/javma.232.5.677,"http://www.scopus.com/inward/record.url?eid=2-s2.0-41749087389&partnerID=40&md5=939c371f9cadbec77856d48150f6b00a",Letter,Scopus,2-s2.0-41749087389
"Fox, M.W.","Wellbeing of companion animals [3]",2006,"Veterinary Record","159","20",,"687","688",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37849188671&partnerID=40&md5=a32d882152ecbb7fabc26bc93dc6b6b7",Letter,Scopus,2-s2.0-37849188671
"Fox, M.W.","Principles of veterinary bioethics",2006,"Journal of the American Veterinary Medical Association","229","5",,"666","667",,3,10.2460/javma.229.5.666,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748531852&partnerID=40&md5=71da28912f511a42ea4f4a399b04bd50",Note,Scopus,2-s2.0-33748531852
"Fox, M.W.","More on dry diets and lower urinary tract disease [3]",2006,"Journal of the American Veterinary Medical Association","229","1",,"27","",,,10.2333/bhmk.33.27,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33745686708&partnerID=40&md5=40645cfebdc7230048e9ab330a80ceb9",Letter,Scopus,2-s2.0-33745686708
"Fox, M.W.","Questions ethics of onychectomy in cats [4]",2006,"Journal of the American Veterinary Medical Association","228","4",,"503","504",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-32544451464&partnerID=40&md5=75bc2836eb88afcfab8470fa80d456e9",Letter,Scopus,2-s2.0-32544451464
"Werner, R.E., Stockton, R., Fox, M.W.","Responses to letters on alternative medicine [3]",2005,"Journal of the American Veterinary Medical Association","226","11",,"1800","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-19744379194&partnerID=40&md5=441f8921167dc934c90c5207be11f1d4",Letter,Scopus,2-s2.0-19744379194
