Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kinley, R.D., Fredeen, A.H.","In vitro evaluation of feeding North Atlantic stormtoss seaweeds on ruminal digestion",2014,"Journal of Applied Phycology","27","6",,"2387","2393",,,10.1007/s10811-014-0487-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945443238&partnerID=40&md5=8a567d41b5634b86dd598e66a19232b4",Article,Scopus,2-s2.0-84945443238
"Vahmani, P., Glover, K.E., Fredeen, A.H.","Effects of pasture versus confinement and marine oil supplementation on the expression of genes involved in lipid metabolism in mammary, liver, and adipose tissues of lactating dairy cows",2014,"Journal of Dairy Science","97","7",,"4174","4183",,2,10.3168/jds.2013-7290,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902676351&partnerID=40&md5=12f42c956044cd9aa920f18e8da9daf5",Article,Scopus,2-s2.0-84902676351
"Fredeen, A., Juurlink, S., Main, M., Astatkie, T., Martin, R.C.","Implications of dairy systems on enteric methane and postulated effects on total greenhouse gas emission",2013,"Animal","7","11",,"1875","1883",,1,10.1017/S1751731113001390,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885448960&partnerID=40&md5=67a8bb6977743ba3d03b945b1c52bf02",Article,Scopus,2-s2.0-84885448960
"Vahmani, P., Fredeen, A.H., Glover, K.E.","Effect of supplementation with fish oil or microalgae on fatty acid composition of milk from cows managed in confinement or pasture systems",2013,"Journal of Dairy Science","96","10",,"6660","6670",,5,10.3168/jds.2013-6914,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884355299&partnerID=40&md5=4096a8b0d1aa68e16abb1d4da4fe21b6",Article,Scopus,2-s2.0-84884355299
"Vahmani, P., Fredeen, A., Glover, K.","Dairy system impacts on milk fat composition related to human health",2013,"Milk Fat: Composition, Nutritional Value and Health Implications",,,,"47","60",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884354920&partnerID=40&md5=75a4415d5eb3d0311df69d4519b9b591",Book Chapter,Scopus,2-s2.0-84884354920
"Papadopoulos, Y.A., Mcelroy, M.S., Fillmore, S.A.E., McRae, K.B., Duyinsveld, J.L., Fredeen, A.H.","Sward complexity and grass species composition affect the performance of grass-white clover pasture mixtures",2012,"Canadian Journal of Plant Science","92","6",,"1199","1205",,5,10.4141/CJPS2012-015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869446413&partnerID=40&md5=8742e5b377485c73004fe1f7c5435eb4",Article,Scopus,2-s2.0-84869446413
"Glover, K.E., Budge, S., Rose, M., Rupasinghe, H.P.V., MacLaren, L., Green-Johnson, J., Fredeen, A.H.","Effect of feeding fresh forage and marine algae on the fatty acid composition and oxidation of milk and butter",2012,"Journal of Dairy Science","95","6",,"2797","2809",,6,10.3168/jds.2011-4736,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862082190&partnerID=40&md5=309b9794ed4c5d5bd4a0fbd1911e9bdd",Article,Scopus,2-s2.0-84862082190
"Arsenault, N., Tyedmers, P., Fredeen, A.","Comparing the environmental impacts of pasture-based and confinement-based dairy systems in Nova Scotia (Canada) using life cycle assessment",2009,"International Journal of Agricultural Sustainability","7","1",,"19","41",,27,10.3763/ijas.2009.0356,"http://www.scopus.com/inward/record.url?eid=2-s2.0-62349093246&partnerID=40&md5=b5cad0b7b61b4854c4a3ce26c42b5b63",Article,Scopus,2-s2.0-62349093246
"Fredeen, A.H.","Use of rbST and Implications for Cow Health in the Dairy Industry",2008,"Alternative Health Practices for Livestock",,,,"164","170",,,10.1002/9780470384978.ch12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889986611&partnerID=40&md5=e0a026b79d95cbe75fcaaa40e81b7fb9",Book Chapter,Scopus,2-s2.0-84889986611
"Watanabe, K., Fredeen, A.H., Robinson, P.H., Chalupa, W., Julien, W.E., Sato, H., Suzuki, H., Katoh, K., Obara, Y.","Effects of fat coated rumen bypass lysine and methionine on performance of dairy cows fed a diet deficient in lysine and methionine",2006,"Animal Science Journal","77","5",,"495","502",,4,10.1111/j.1740-0929.2006.00377.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33749528336&partnerID=40&md5=4958c58023f875d6605db3911164fd77",Article,Scopus,2-s2.0-33749528336
"Nocera, J.J., Parsons, G.J., Milton, G.R., Fredeen, A.H.","Compatibility of delayed cutting regime with bird breeding and hay nutritional quality",2005,"Agriculture, Ecosystems and Environment","107","2-3",,"245","253",,19,10.1016/j.agee.2004.11.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-16344385994&partnerID=40&md5=8f8419b41df8f7848befa3581e4d9a66",Article,Scopus,2-s2.0-16344385994
"Lynch, D.H., Cohen, R.D.H., Fredeen, A., Patterson, G., Martin, R.C.","Management of Canadian prairie region grazed grasslands: Soil C sequestration, livestock productivity and profitability",2005,"Canadian Journal of Soil Science","85","2",,"183","192",,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-22744447788&partnerID=40&md5=336bbe7b05205db811a31afc87f2f1cd",Article,Scopus,2-s2.0-22744447788
"Martin, R.C., Astatkie, T., Cooper, J.M., Fredeen, A.H.","A comparison of methods used to determine biomass on naturalized swards",2005,"Journal of Agronomy and Crop Science","191","2",,"152","160",,20,10.1111/j.1439-037X.2004.00145.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-17544362142&partnerID=40&md5=541d50b8a0125f7d5ff47415a3ca5ddd",Article,Scopus,2-s2.0-17544362142
"Dohoo, I.R., Leslie, K., DesCôteaux, L., Fredeen, A., Dowling, P., Preston, A., Shewfelt, W.","A meta-analysis review of the effects of recombinant bovine somatotropin 1. Methodology and effects on production",2003,"Canadian Journal of Veterinary Research","67","4",,"241","251",,38,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0242539747&partnerID=40&md5=c08f84ba783911306f047c8d711273b8",Review,Scopus,2-s2.0-0242539747
"Dohoo, I.R., DesCôteaux, L., Leslie, K., Fredeen, A., Shewfelt, W., Preston, A., Dowling, P.","A meta-analysis review of the effects of recombinant bovine somatotropin 2. Effects on animal health, reproductive performance, and culling",2003,"Canadian Journal of Veterinary Research","67","4",,"252","264",,36,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0242539748&partnerID=40&md5=44e4ae227e937ec0c43c0f2215261f43",Review,Scopus,2-s2.0-0242539748
"Lynch, D.H., Jannasch, R.W., Fredeen, A.H., Martin, R.C.","Improving the nutrient status of a commercial dairy farm: An integrated approach",2003,"American Journal of Alternative Agriculture","18","3",,"137","145",,7,10.1079/AJAA200344,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0141786708&partnerID=40&md5=255ef529ac4d3a7080ea0968b7baadec",Article,Scopus,2-s2.0-0141786708
"Fredeen, A.H., Astatkie, T., Jannasch, R.W., Martin, R.C.","Productivity of grazing Holstein cows in Atlantic Canada",2002,"Journal of Dairy Science","85","5",,"1331","1338",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036562848&partnerID=40&md5=9f001a348f7ee5a8057549d70003f5e1",Article,Scopus,2-s2.0-0036562848
"Papadopoulos, Y.A., Martin, R.C., Fredeen, A.H., McRae, K.B., Price, M.A.","Grazing and the addition of white clover improves the nutritional quality of orchardgrass cultivars",2001,"Canadian Journal of Animal Science","81","4",,"597","600",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035655631&partnerID=40&md5=9991575122faacfdc59839492c3bfb97",Article,Scopus,2-s2.0-0035655631
"Boyd, N.S., Astatkie, T., Fredeen, A.H., Martin, R.C.","Rotationally stocked beef cattle responses to daily and weekly residence",2001,"Journal of Range Management","54","1",,"39","43",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035125617&partnerID=40&md5=19466cde1f6540c239d5e6505650c767",Article,Scopus,2-s2.0-0035125617
"Small, J.A., Charmley, E., Rodd, A.V., Fredeen, A.H.","Serum mineral concentrations in relation to estrus and conception in beef heifers and cows fed conserved forage",1997,"Canadian Journal of Animal Science","77","1",,"55","62",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031509558&partnerID=40&md5=c5622e20adf645546ae420632011a5c0",Article,Scopus,2-s2.0-0031509558
"Cant, J.P., Fredeen, A.H., MacIntyre, T., Gunn, J., Crowe, N.","Effect of fish oil and monensin on milk composition in dairy cows",1997,"Canadian Journal of Animal Science","77","1",,"125","131",,76,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031508958&partnerID=40&md5=ea28430a326be0f7d00e225edfbcf51c",Article,Scopus,2-s2.0-0031508958
"Fredeen, A.H.","Considerations in the nutritional modification of milk composition",1996,"Animal Feed Science and Technology","59","1-3 SPEC. ISS.",,"185","197",,15,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2342626954&partnerID=40&md5=3dd7bc38d59379859f30757f20f0afd1",Article,Scopus,2-s2.0-2342626954
"Robinson, P.H., Fredeen, A.H., Chalupa, W., Julien, W.E., Sato, H., Fujieda, T., Suzuki, H.","Ruminally protected lysine and methionine for lactating dairy cows fed a diet designed to meet requirements for microbial and postruminal protein.",1995,"Journal of dairy science","78","3",,"582","594",,34,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029261242&partnerID=40&md5=d08285f9208cedd86b5a7cbd89fbeea4",Article,Scopus,2-s2.0-0029261242
"Fredeen, A.H., DePeters, E.J., Baldwin, R.L.","Effects of acid-base disturbances caused by differences in dietary fixed ion balance on kinetics of calcium metabolism in ruminants with high calcium demand.",1988,"Journal of animal science","66","1",,"174","184",,35,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023672322&partnerID=40&md5=0de510a40c40cf62316d8462268cfe3d",Article,Scopus,2-s2.0-0023672322
"Fredeen, A.H., DePeters, E.J., Baldwin, R.L.","Characterization of acid-base disturbances and effects on calcium and phosphorus balances of dietary fixed ions in pregnant or lactating does.",1988,"Journal of animal science","66","1",,"159","173",,41,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023673276&partnerID=40&md5=5b04f9c3f7ab6c3e650658ba92fdb9d3",Article,Scopus,2-s2.0-0023673276
"DePeters, E.J., Fredeen, A.H., Bath, D.L., Smith, N.E.","Effect of sodium bicarbonate addition to alfalfa hay-based diets on digestibility of dietary fractions and rumen characteristics.",1984,"Journal of dairy science","67","10",,"2344","2355",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021514616&partnerID=40&md5=6d2bf33a987ef80bb21448c077d5356d",Article,Scopus,2-s2.0-0021514616
