Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Popovich, C.A., Damiani, C., Constenla, D., Martínez, A.M., Freije, H., Giovanardi, M., Pancaldi, S., Leonardi, P.I.","Neochloris oleoabundans grown in enriched natural seawater for biodiesel feedstock: Evaluation of its growth and biochemical composition",2012,"Bioresource Technology","114",,,"287","293",,16,10.1016/j.biortech.2012.02.121,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860440902&partnerID=40&md5=569f38775dd0b9d91d9778f61cff06ba",Article,Scopus,2-s2.0-84860440902
"Delucchi, F., Narvarte, M.A., Amín, O., Tombesi, N.B., Freije, H., Marcovecchio, J.","Organotin compounds in sediments of three coastal environments from the Patagonian shore, Argentina",2011,"International Journal of Environment and Waste Management","8","1-2",,"3","17",,2,10.1504/IJEWM.2011.040962,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959858940&partnerID=40&md5=39e9f95e1e0208d5b80aed74c110ee88",Article,Scopus,2-s2.0-79959858940
"Arias, A.H., Vazquez-Botello, A., Tombesi, N., Ponce-Vélez, G., Freije, H., Marcovecchio, J.","Presence, distribution, and origins of polycyclic aromatic hydrocarbons (PAHs) in sediments from Bahía Blanca estuary, Argentina",2010,"Environmental Monitoring and Assessment","160","1-4",,"301","314",,29,10.1007/s10661-008-0696-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-74349115365&partnerID=40&md5=45e38e1fbb64dddc1fc675b396268b80",Article,Scopus,2-s2.0-74349115365
"Di Pasquo, M., Martínez, M.A., Freije, H.","The first palynological record of the Sauce Grande Formation (Pennsylvanian-Cisuralian) at the Australes range, Buenos Aires Province, Argentine [Primer registro palinológico de la Formación Sauce Grande (Pennsylvaniano-Cisuraliano) en las Sierras Australes, provincia de Buenos Aires, Argentina]",2008,"Ameghiniana","45","1",,"69","81",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-47249097183&partnerID=40&md5=7c8f78f8464c8f352e4735de042d2765",Article,Scopus,2-s2.0-47249097183
"Marcovecchio, J., Freije, H., De Marco, S., Gavio, A., Ferrer, L., Andrade, S., Beltrame, O., Asteasuain, R.","Seasonality of hydrographic variables in a coastal lagoon: Mar Chiquita, Argentina",2006,"Aquatic Conservation: Marine and Freshwater Ecosystems","16","4",,"335","347",,18,10.1002/aqc.719,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33745426572&partnerID=40&md5=d5d665126cfa65ea2aa74638214332ea",Article,Scopus,2-s2.0-33745426572
"Zavala, C., Ponce, J.J., Arcuri, M., Drittanti, D., Freije, H., Asensio, M.","Ancient lacustrine hyperpycnites: A depositional model from a case study in the Rayoso Formation (Cretaceous) of west-central Argentina",2006,"Journal of Sedimentary Research","76","1-2",,"41","59",,47,10.2110/jsr.2006.12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644843923&partnerID=40&md5=738bdeb0b155a5fc023c23e608cf7b0d",Article,Scopus,2-s2.0-33644843923
"Tombesi, N.B., Freije, H.","Application of solid-phase microextraction combined with gas chromatography-mass spectrometry to the determination of butylated hydroxytoluene in bottled drinking water",2002,"Journal of Chromatography A","963","1-2",,"179","183",,29,10.1016/S0021-9673(02)00217-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037134990&partnerID=40&md5=fa1480e9f9b944c4154dd9a51bdc46ec",Conference Paper,Scopus,2-s2.0-0037134990
"Esteves, J.L., Ciocco, N.F., Colombo, J.C., Freije, H., Harris, G., Iribarne, O., Isla, I., Nabel, P., Pascual, M.S., Penchaszadeh, P.E., Rivas, A.L., Santinelli, N.","The Argentine sea: The Southeast South American shelf marine ecosystem",2000,"Seas at the millennium - an environmental evaluation - Volume 1",,,,"749","771",,12,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033664344&partnerID=40&md5=8e611bcad8c673f1f5085fc1da5a6976",Article,Scopus,2-s2.0-0033664344
"Sidorkewicj, N.S., Freije, H., Lopez Cazorla, A.C.","Effects of young common carp (Cyprinus carpio L.) on seston dynamics in experimental culture",1999,"Ecology, Environment and Conservation","5","3",,"191","200",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033372673&partnerID=40&md5=43de34ec9986c4dc9a5099529aeb8580",Article,Scopus,2-s2.0-0033372673
"Slawyk, G., L'Helguen, S., Collos, Y., Freije, H.","Quantitative determination of particulate organic N and C in marine-phytoplankton samples using mass-spectrometer signals from isotope-ratio analyses in 15N- and 13C-tracer studies",1988,"Journal of Experimental Marine Biology and Ecology","115","2",,"187","195",,5,10.1016/0022-0981(88)90103-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0011443278&partnerID=40&md5=5fd75176396286bc6e8de40ec1341a48",Article,Scopus,2-s2.0-0011443278
