Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Gibbs, A.J., Nguyen, H.D., Ohshima, K.","The 'emergence' of turnip mosaic virus was probably a 'gene-for-quasi-gene' event",2015,"Current Opinion in Virology","10",,,"20","26",,,10.1016/j.coviro.2014.12.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920517494&partnerID=40&md5=de97d495e6c1875760008bf8b5a26660",Article,Scopus,2-s2.0-84920517494
"Yasaka, R., Ohba, K., Schwinghame, M.W., Fletcher, J., Ochoa-Corona, F.M., Thomas, J.E., Ho, S.Y.W., Gibbs, A.J., Ohshima, K.","Phylodynamic evidence of the migration of turnip mosaic potyvirus from Europe to Australia and New Zealand",2015,"Journal of General Virology","96","3",,"701","713",,2,10.1099/jgv.0.000007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923668528&partnerID=40&md5=621c383a69a4e7fb9b48337a31e8cc11",Article,Scopus,2-s2.0-84923668528
"Yasaka, R., Nguyen, H.D., Ho, S.Y.W., Duchêne, S., Korkmaz, S., Katis, N., Takahashi, H., Gibbs, A.J., Ohshima, K.","The temporal evolution and global spread of Cauliflower mosaic virus, a plant pararetrovirus",2014,"PLoS ONE","9","1", e85641,"","",,8,10.1371/journal.pone.0085641,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899549687&partnerID=40&md5=a0b229130b604b1f21df8949c527dd69",Article,Scopus,2-s2.0-84899549687
"Gibbs, A.J.","Viral taxonomy needs a spring clean; Its exploration era is over",2013,"Virology Journal","10",, 254,"","",,1,10.1186/1743-422X-10-254,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881144874&partnerID=40&md5=f3f7773592d562c28adc420ae833ac9d",Review,Scopus,2-s2.0-84881144874
"Nguyen, H.D., Tomitaka, Y., Ho, S.Y.W., Duchêne, S., Vetten, H.-J., Lesemann, D., Walsh, J.A., Gibbs, A.J., Ohshima, K.","Turnip Mosaic Potyvirus Probably First Spread to Eurasian Brassica Crops from Wild Orchids about 1000 Years Ago",2013,"PLoS ONE","8","2", e55336,"","",,15,10.1371/journal.pone.0055336,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873565050&partnerID=40&md5=bb1cdbbcd69cc9cae5b7ec210064abb8",Article,Scopus,2-s2.0-84873565050
"Wei, K., Gibbs, A., MacKenzie, A.","Clitoria yellow mottle virus: A tobamovirus from Northern Australia",2012,"Australasian Plant Disease Notes","7","1",,"59","61",,2,10.1007/s13314-012-0048-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879619739&partnerID=40&md5=20d9f8767594675b85f56f752a8073e1",Article,Scopus,2-s2.0-84879619739
"Zheng, L., Gibbs, M., Gibbs, A., Rodoni, B.","First report of a newly detected potyvirus, Commelina mild mosaic virus, infecting Commelina spp. in Australia",2011,"Australasian Plant Disease Notes","6","1",,"11","15",,,10.1007/s13314-011-0004-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880116615&partnerID=40&md5=75110089a2aca4c1b08570902d8a200f",Article,Scopus,2-s2.0-84880116615
"Gibbs, A.J., Torronen, M., Mackenzie, A.M., Wood, J.T., Armstrong, J.S., Kondo, H., Tamada, T., Keese, P.L.","The enigmatic genome of Chara australis virus",2011,"Journal of General Virology","92","11",,"2679","2690",,7,10.1099/vir.0.033852-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053980893&partnerID=40&md5=30a2bde441e7d6b918d22295e3a9b56e",Article,Scopus,2-s2.0-80053980893
"Gibbs, A., Ohshima, K.","Potyviruses and the digital revolution",2010,"Annual Review of Phytopathology","48",,,"205","223",,62,10.1146/annurev-phyto-073009-114404,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956122421&partnerID=40&md5=54d1488f8eaf0d047dad912ef51f073b",Article,Scopus,2-s2.0-77956122421
"Fourment, M., Wood, J.T., Gibbs, A.J., Gibbs, M.J.","Evolutionary dynamics of the N1 neuraminidases of the main lineages of influenza A viruses",2010,"Molecular Phylogenetics and Evolution","56","2",,"526","535",,9,10.1016/j.ympev.2010.04.039,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953133359&partnerID=40&md5=4f6bbb34328c54ecb73fa4e8c08b6df8",Article,Scopus,2-s2.0-77953133359
