Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Turrini, A., Giordani, T., Avio, L., Natali, L., Giovannetti, M., Cavallini, A.","Large variation in mycorrhizal colonization among wild accessions, cultivars, and inbreds of sunflower (Helianthus annuus L.)",2015,"Euphytica",,,,"","",12,,10.1007/s10681-015-1546-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941342750&partnerID=40&md5=ffc8200351eddc3088202e33dc4c82d6",Article in Press,Scopus,2-s2.0-84941342750
"Bogani, P., Calistri, E., Biricolti, S., Castiglione, M.R., Turrini, A., Giovannetti, M., Buiatti, M.","The rat glucocorticoid receptor integration in Nicotiana langsdorffii genome affects plant responses to abiotic stresses and to arbuscular mycorrhizal symbiosis",2015,"Plant Biotechnology Reports","9","4",,"209","220",,1,10.1007/s11816-015-0358-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937976873&partnerID=40&md5=0938caeafc2410a521c5e54a2a3026cb",Article,Scopus,2-s2.0-84937976873
"Rouphael, Y., Franken, P., Schneider, C., Schwarz, D., Giovannetti, M., Agnolucci, M., Pascale, S.D., Bonini, P., Colla, G.","Arbuscular mycorrhizal fungi act as biostimulants in horticultural crops",2015,"Scientia Horticulturae",,,,"","",,,10.1016/j.scienta.2015.09.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945559622&partnerID=40&md5=1647781b715f18ebaeb94f3bebdfdd0d",Article in Press,Scopus,2-s2.0-84945559622
"Turrini, A., Sbrana, C., Giovannetti, M.","Belowground environmental effects of transgenic crops: A soil microbial perspective",2015,"Research in Microbiology","166","3",,"121","131",,,10.1016/j.resmic.2015.02.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926406743&partnerID=40&md5=5d2647e48b2230a1fbbc8741cbe7f948",Review,Scopus,2-s2.0-84926406743
"Palla, M., Cristani, C., Giovannetti, M., Agnolucci, M.","Molecular identification of lactic acid bacteria and yeasts characterizing sourdoughs for Tuscan bread production [Identificazione molecolare di batter i lattici e lieviti caratterizzanti l'impasto ac i do per la produzione di panetoscano a lievitazione naturale]",2015,"Industrie Alimentari","54","558",,"5","11",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944681745&partnerID=40&md5=0d836a388bc992b76f56dba1fd30e9b8",Article,Scopus,2-s2.0-84944681745
"Agnolucci, M., Battini, F., Cristani, C., Giovannetti, M.","Diverse bacterial communities are recruited on spores of different arbuscular mycorrhizal fungal isolates",2015,"Biology and Fertility of Soils","51","3",,"379","389",,,10.1007/s00374-014-0989-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925535539&partnerID=40&md5=3287a9a4864ccd639e38fcc823dc6a71",Article,Scopus,2-s2.0-84925535539
"Battini, F., Avio, L., Agnolucci, M., Carmassi, G., Incrocci, L., Pardossi, A., Giovannetti, M.","Host compatibility and fertilization level modulate mycorrhizal establishment and growth of two ornamental shrubs",2015,"Agrochimica","59","1",,"58","74",,,10.12871/0021857201514,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938066134&partnerID=40&md5=2253cb735e50a38dc636c5aa928877ff",Article,Scopus,2-s2.0-84938066134
"Njeru, E.M., Avio, L., Bocci, G., Sbrana, C., Turrini, A., Bàrberi, P., Giovannetti, M., Oehl, F.","Contrasting effects of cover crops on ‘hot spot’ arbuscular mycorrhizal fungal communities in organic tomato",2014,"Biology and Fertility of Soils","51","2",,"151","166",,3,10.1007/s00374-014-0958-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921510368&partnerID=40&md5=ec2f5290d2e87df8ce8ae2a17be6a8f5",Article,Scopus,2-s2.0-84921510368
"Sbrana, C., Avio, L., Giovannetti, M.","Beneficial mycorrhizal symbionts affecting the production of health-promoting phytochemicals",2014,"Electrophoresis","35","11",,"1535","1546",,3,10.1002/elps.201300568,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901916022&partnerID=40&md5=b3e29d1f0447e964ec97130932e20104",Review,Scopus,2-s2.0-84901916022
"Njeru, E.M., Avio, L., Sbrana, C., Turrini, A., Bocci, G., Bàrberi, P., Giovannetti, M.","First evidence for a major cover crop effect on arbuscular mycorrhizal fungi and organic maize growth",2014,"Agronomy for Sustainable Development","34","4",,"841","848",,,10.1007/s13593-013-0197-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919912626&partnerID=40&md5=5d1d774ae2e6309003fdd31c205a671b",Article,Scopus,2-s2.0-84919912626
