Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Gorenflo, R., Luchko, Y., Yamamoto, M.","Time-fractional diffusion equation in the fractional Sobolev spaces",2015,"Fractional Calculus and Applied Analysis","18","3",,"799","820",,1,10.1515/fca-2015-0048,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934875388&partnerID=40&md5=e5895d0d539db4e9979cf7f7fc524f49",Article,Scopus,2-s2.0-84934875388
"Garra, R., Gorenflo, R., Polito, F., Tomovski, Ž.","Hilfer-Prabhakar derivatives and some applications",2014,"Applied Mathematics and Computation","242",,,"576","589",,2,10.1016/j.amc.2014.05.129,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903555141&partnerID=40&md5=6cf0761b0e45c9ff523c37b78bf5bec0",Article,Scopus,2-s2.0-84903555141
"Gorenflo, R., Luchko, Y., Stojanović, M.","Fundamental solution of a distributed order time-fractional diffusion-wave equation as probability density",2013,"Fractional Calculus and Applied Analysis","16","2",,"297","316",,10,10.2478/s13540-013-0019-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879674063&partnerID=40&md5=63ec1ab5553896563871d34037912c54",Article,Scopus,2-s2.0-84879674063
"Correia Carreira, G., Gemeinhardt, O., Gorenflo, R., Beyersdorff, D., Franiel, T., Plendl, J., Lüdemann, L.","Limitations of the permeability-limited compartment model in estimating vascular permeability and interstitial volume fraction in DCE-MRI",2011,"Magnetic Resonance Imaging","29","5",,"639","649",,2,10.1016/j.mri.2011.02.018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956110449&partnerID=40&md5=a08cd912c5a654e99d60b48a7f7391a1",Article,Scopus,2-s2.0-79956110449
"Gorenflo, R., Mainardi, F.","Subordination pathways to fractional diffusion",2011,"European Physical Journal: Special Topics","193","1",,"119","132",,10,10.1140/epjst/e2011-01386-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79953682830&partnerID=40&md5=063dccfce13877636f060cbf9b94c592",Article,Scopus,2-s2.0-79953682830
"Stojanović, M., Gorenflo, R.","Nonlinear two-term time fractional diffusion-wave problem",2010,"Nonlinear Analysis: Real World Applications","11","5",,"3512","3523",,10,10.1016/j.nonrwa.2009.12.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955513205&partnerID=40&md5=5533683d842bbac9d7c52b5279e6d82a",Article,Scopus,2-s2.0-77955513205
"Gorenflo, R., Mainardi, F.","Some recent advances in theory and simulation of fractional diffusion processes",2009,"Journal of Computational and Applied Mathematics","229","2",,"400","415",,48,10.1016/j.cam.2008.04.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67349184476&partnerID=40&md5=4cf34a2af15e16623b9dc2f643f920c6",Article,Scopus,2-s2.0-67349184476
"Abdel-Rehim, E.A., Gorenflo, R.","Simulation of the continuous time random walk of the space-fractional diffusion equations",2008,"Journal of Computational and Applied Mathematics","222","2",,"274","283",,4,10.1016/j.cam.2007.10.052,"http://www.scopus.com/inward/record.url?eid=2-s2.0-53449087859&partnerID=40&md5=ce90fc24a504bd0b50135b5599a0b2cf",Article,Scopus,2-s2.0-53449087859
"Gorenflo, R., Mainardi, F.","Continuous Time Random Walk, Mittag-Leffler Waiting Time and Fractional Diffusion: Mathematical Aspects",2008,"Anomalous Transport: Foundations and Applications",,,,"93","127",,8,10.1002/9783527622979.ch4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65549151413&partnerID=40&md5=6d5d7fe3cfa318bb1ea6c1070114843b",Book Chapter,Scopus,2-s2.0-65549151413
"Mainardi, F., Mura, A., Pagnini, G., Gorenflo, R.","Time-fractional diffusion of distributed order",2008,"JVC/Journal of Vibration and Control","14","9-10",,"1267","1290",,40,10.1177/1077546307087452,"http://www.scopus.com/inward/record.url?eid=2-s2.0-52349083860&partnerID=40&md5=fd4c6dbd3d2fc5949a3d87caad19c053",Conference Paper,Scopus,2-s2.0-52349083860
