Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Gutierrez, A.P., Ponti, L., Herren, H.R., Baumgärtner, J., Kenmore, P.E.","Deconstructing Indian cotton: weather, yields, and suicides",2015,"Environmental Sciences Europe","27","1", 12,"","",17,,10.1186/s12302-015-0043-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84935837510&partnerID=40&md5=f212edb24fb2421c7a1b7b531d32e428",Article,Scopus,2-s2.0-84935837510
"Andriessen, R., Snetselaar, J., Suer, R.A., Osinga, A.J., Deschietere, J., Lyimo, I.N., Mnyone, L.L., Brooke, B.D., Ranson, H., Knols, B.G.J., Farenhorst, M., Herren, H.R.","Electrostatic coating enhances bioavailability of insecticides and breaks pyrethroid resistance in mosquitoes",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","39",,"12081","12086",,,10.1073/pnas.1510801112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942937704&partnerID=40&md5=57011fd280af46c08ddf29f21cd086c4",Article,Scopus,2-s2.0-84942937704
"Gilioli, G., Tikubet, G., Herren, H.R., Baumgärtner, J.","Assessment of social–ecological transitions in a peri-urban Ethiopian farming community",2015,"International Journal of Agricultural Sustainability","13","3",,"204","221",,,10.1080/14735903.2014.954452,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942108490&partnerID=40&md5=cc396f0421ae9ff212d476b07bddf696",Article,Scopus,2-s2.0-84942108490
"Herren, H.R.","A true successful model - But for investors, secondary importance [Ein wahres Erfolgsmodell - Aber bei Geldgebern zweitrangig]",2013,"Deutsches Arzteblatt International","110","42",,"A1962","A1963",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921665969&partnerID=40&md5=eb69cec2d73497b496dfa5349392b2a2",Article,Scopus,2-s2.0-84921665969
"Holt-Giménez, E., Shattuck, A., Altieri, M., Herren, H., Gliessman, S.","We Already Grow Enough Food for 10 Billion People... and Still Can't End Hunger",2012,"Journal of Sustainable Agriculture","36","6",,"595","598",,9,10.1080/10440046.2012.695331,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864668856&partnerID=40&md5=9a2dbc2490e896c7bd63f26333db6eab",Editorial,Scopus,2-s2.0-84864668856
"Pretty, J., Sutherland, W.J., Ashby, J., Auburn, J., Baulcombe, D., Bell, M., Bentley, J., Bickersteth, S., Brown, K., Burke, J., Campbell, H., Chen, K., Crowley, E., Crute, I., Dobbelaere, D., Edwards-Jones, G., Funes-Monzote, F., Godfray, H.C.J., Griffon, M., Gypmantisiri, P., Haddad, L., Halavatau, S., Herren, H., Holderness, M., Izac, A.-M., Jones, M., Koohafkan, P., Lal, R., Lang, T., McNeely, J., Mueller, A., Nisbett, N., Noble, A., Pingali, P., Pinto, Y., Rabbinge, R., Ravindranath, N.H., Rola, A., Roling, N., Sage, C., Settle, W., Sha, J.M., Shiming, L., Simons, T., Smith, P., Strzepeck, K., Swaine, H., Terry, E., Tomich, T.P., Toulmin, C., Trigo, E., Twomlow, S., Vis, J.K., Wilson, J., Pilgrim, S.","The top 100 questions of importance to the future of global agriculture",2010,"International Journal of Agricultural Sustainability","8","4",,"219","236",,123,10.3763/ijas.2010.0534,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649374350&partnerID=40&md5=104c875f78dc28045a71b122e78ed9ca",Article,Scopus,2-s2.0-78649374350
"Herren, H.R., Mbogo, C.","The role of DDT in malaria control",2010,"Environmental Health Perspectives","118","7",,"A282","A283",,,10.1289/ehp.1002279,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954845562&partnerID=40&md5=96b807016ce37b0febf16b6aa07bcd6e",Letter,Scopus,2-s2.0-77954845562
"Pasquet, R.S., Peltier, A., Hufford, M.B., Oudin, E., Saulnier, J., Paul, L., Knudsen, J.T., Herren, H.R., Gepts, P.","Long-distance pollen flow assessment through evaluation of pollinator foraging range suggests transgene escape distances",2008,"Proceedings of the National Academy of Sciences of the United States of America","105","36",,"13456","13461",,67,10.1073/pnas.0806040105,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51649117319&partnerID=40&md5=8d5014173a39c610ef365e10a1ee4581",Article,Scopus,2-s2.0-51649117319
"Hassanali, A., Herren, H., Khan, Z.R., Pickett, J.A., Woodcock, C.M.","Integrated pest management: The push-pull approach for controlling insect pests and weeds of cereals, and its potential for other agricultural systems including animal husbandry",2008,"Philosophical Transactions of the Royal Society B: Biological Sciences","363","1491",,"611","621",,76,10.1098/rstb.2007.2173,"http://www.scopus.com/inward/record.url?eid=2-s2.0-39149138180&partnerID=40&md5=5a585f748a6b82026adba5e509d70bfc",Article,Scopus,2-s2.0-39149138180
"Stige, L.C., Stave, J., Chan, K.-S., Ciannelli, L., Pettorelli, N., Glantz, M., Herren, H.R., Stenseth, N.Chr.","The effect of climate variation on agro-pastoral production in Africa",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","9",,"3049","3053",,54,10.1073/pnas.0600057103,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644749240&partnerID=40&md5=9e2a699f5f147865f83e6d40f05a5f8b",Article,Scopus,2-s2.0-33644749240
