Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hilbeck, A., Binimelis, R., Defarge, N., Steinbrecher, R., Székács, A., Wickson, F., Antoniou, M., Bereano, P.L., Clark, E.A., Hansen, M., Novotny, E., Heinemann, J., Meyer, H., Shiva, V., Wynne, B.","No scientific consensus on GMO safety",2015,"Environmental Sciences Europe","27","1",,"","",6,2,10.1186/s12302-014-0034-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928378128&partnerID=40&md5=d5b48ba33ff30bcffbafa8370c1e2af6",Article,Scopus,2-s2.0-84928378128
"Trtikova, M., Wikmark, O.G., Zemp, N., Widmer, A., Hilbeck, A.","Transgene expression and bt protein content in transgenic bt maize (MON810) under optimal and stressful environmental conditions",2015,"PLoS ONE","10","4", e0123011,"","",,,10.1371/journal.pone.0123011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928914336&partnerID=40&md5=9c3b40bf79886f675a5303bd767629a9",Article,Scopus,2-s2.0-84928914336
"Hilbeck, A., Weiss, G., Oehen, B., Römbke, J., Jänsch, S., Teichmann, H., Lang, A., Otto, M., Tappeser, B.","Ranking matrices as operational tools for the environmental risk assessment of genetically modified crops on non-target organisms",2014,"Ecological Indicators","36",,,"367","381",,4,10.1016/j.ecolind.2013.07.016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884146498&partnerID=40&md5=571bdf7039edb8f853f19b462dc2978d",Article,Scopus,2-s2.0-84884146498
"Wickson, F., Bøhn, T., Wynne, B., Hilbeck, A., Funtowicz, S.","Science-based risk assessment requires careful evaluation of all studies",2013,"Nature Biotechnology","31","12",,"1077","1078",,3,10.1038/nbt.2761,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890096409&partnerID=40&md5=cf559961da13ff1c014bf0a5716e5dbc",Letter,Scopus,2-s2.0-84890096409
"Gillund, F.T., Nordgaard, L., Bøhn, T., Wikmark, O.G., Konestabo, H.S., Hilbeck, A.","Selection of Nontarget Testing Organisms for ERA of GM Potato with Increased Resistance to Late Blight",2013,"Potato Research","56","4",,"293","324",,,10.1007/s11540-013-9245-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894380695&partnerID=40&md5=f2ee91bcc9953607777d9379c7973843",Article,Scopus,2-s2.0-84894380695
"Van den Berg, J., Hilbeck, A., Bøhn, T.","Pest resistance to Cry1Ab Bt maize: Field resistance, contributing factors and lessons from South Africa",2013,"Crop Protection","54",,,"154","160",,11,10.1016/j.cropro.2013.08.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883757816&partnerID=40&md5=b11d28523364d6199fd8849b2323217f",Review,Scopus,2-s2.0-84883757816
"Meier, M.S., Trtikova, M., Suter, M., Edwards, P.J., Hilbeck, A.","Simulating evolutionary responses of an introgressed insect resistance trait for ecological effect assessment of transgene flow: A model for supporting informed decision-making in environmental risk assessment",2013,"Ecology and Evolution","3","2",,"416","423",,1,10.1002/ece3.463,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886234122&partnerID=40&md5=88d5b3b26e02dcb0f830586c1f0d48bd",Article,Scopus,2-s2.0-84886234122
"Hilbeck, A., Lebrecht, T., Vogel, R., Heinemann, J.A., Binimelis, R.","Farmer's choice of seeds in four EU countries under different levels of GM crop adoption",2013,"Environmental Sciences Europe","25","1", 12,"","",,,10.1186/2190-4715-25-12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887685346&partnerID=40&md5=bf49f564601bc3bdf4b2be6d016306aa",Review,Scopus,2-s2.0-84887685346
"Graef, F., Römbke, J., Binimelis, R., Myhr, A.I., Hilbeck, A., Breckling, B., Dalgaard, T., Stachow, U., Catacora-Vargas, G., Bøhn, T., Quist, D., Darvas, B., Dudel, G., Oehen, B., Meyer, H., Henle, K., Wynne, B., Metzger, M.J., Knäbe, S., Settele, J., Székács, A., Wurbs, A., Bernard, J., Murphy-Bokern, D., Buiatti, M., Giovannetti, M., Debeljak, M., Andersen, E., Paetz, A., Dzeroski, S., Tappeser, B., van Gestel, C.A.M., Wosniok, W., Séralini, G.-E., Aslaksen, I., Pesch, R., Maly, S., Werner, A.","A framework for a European network for a systematic environmental impact assessment of genetically modified organisms (GMO)",2012,"BioRisk",,"7",,"73","97",,4,10.3897/biorisk.7.1969,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873568185&partnerID=40&md5=f524d14eadbf7d3786347bf426aeb8fb",Article,Scopus,2-s2.0-84873568185
"Hilbeck, A., Meier, M., Trtikova, M.","Underlying reasons of the controversy over adverse effects of Bt toxins on lady beetle and lacewing larvae",2012,"Environmental Sciences Europe","24","2", 9,"","",,6,10.1186/2190-4715-24-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864042056&partnerID=40&md5=4a575c7d9e5db3128bcb8196a3c80e53",Review,Scopus,2-s2.0-84864042056
