Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ho, M.-W.","Illuminating water and life: Emilio Del Giudice",2015,"Electromagnetic Biology and Medicine","34","2",,"113","122",,,10.3109/15368378.2015.1036079,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84932650779&partnerID=40&md5=a10b266479a32757c7cc4a98bfb6825d",Review,Scopus,2-s2.0-84932650779
"Ho, M.-W.","Water is the means, medium and message of life",2014,"International Journal of Design and Nature and Ecodynamics","9","1",,"1","12",,3,10.2495/DNE-V9-N1-1-12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901070367&partnerID=40&md5=c1312638d61e1c40d8ea0cb7af4cf43f",Article,Scopus,2-s2.0-84901070367
"Ho, M.-W.","Illuminating water and life",2014,"Entropy","16","9",,"4874","4891",,,10.3390/e16094874,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907246402&partnerID=40&md5=26ce8c7a9aefe2dcc716a4da843b97bf",Review,Scopus,2-s2.0-84907246402
"Ho, M.-W.","No genes for intelligence in the fluid genome",2013,"Advances in Child Development and Behavior","45",,,"67","92",,2,10.1016/B978-0-12-397946-9.00004-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876025526&partnerID=40&md5=6f2f33c12d807c716482f9fc0f1d267b",Article,Scopus,2-s2.0-84876025526
"Ho, M.-W.","The new genetics and natural versus artificial genetic modification",2013,"Entropy","15","11",,"4748","4781",,3,10.3390/e15114748,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887196936&partnerID=40&md5=2cf530ad71d42853cdc51e68fc3e7981",Review,Scopus,2-s2.0-84887196936
"Ho, M.-W.","Super-conducting liquid crystalline water aligned with collagen fibres in the fascia as acupuncture meridians of traditional Chinese medicine",2012,"Forum on Immunopathological Diseases and Therapeutics","3","3-4",,"221","236",,4,10.1615/ForumImmunDisTher.2013007869,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901011857&partnerID=40&md5=1af96e81a1b9ad39683bb68fd908a0f3",Conference Paper,Scopus,2-s2.0-84901011857
"Ho, M.W.","Development and Evolution Revisited",2010,"Handbook of Developmental Science, Behavior, and Genetics",,,,"61","109",,21,10.1002/9781444327632.ch4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869414221&partnerID=40&md5=b62e5fcf887f179fe5de6b2586dfeaa7",Book Chapter,Scopus,2-s2.0-84869414221
"Ho, M.-W., Cummins, J.","New evidence links CaMV 35S promoter to HIV transcription",2009,"Microbial Ecology in Health and Disease","21","3-4",,"172","174",,2,10.3109/08910600903495053,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73649107578&partnerID=40&md5=5a25cb40cd2c2978b736aec59faca597",Article,Scopus,2-s2.0-73649107578
"Ho, M.-W., Saunders, P.T.","GM soybeans - Revisiting a controversial format [3]",2007,"Nature Biotechnology","25","12",,"1355","",,1,10.1038/nbt1207-1355a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36849000326&partnerID=40&md5=da69a634ec4d758dc91b93b7bd5db8e3",Letter,Scopus,2-s2.0-36849000326
"Ho, M.-W., Cummins, J., Saunders, P.","GM food nightmare unfolding in the regulatory sham",2007,"Microbial Ecology in Health and Disease","19","2",,"66","77",,5,10.1080/08910600701343781,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250624328&partnerID=40&md5=ce2ffb8af8ab0aac2519c863abe9bd39",Review,Scopus,2-s2.0-34250624328
"Cummins, J., Ho, M.-W.","Reply to 'Use of genetically modified microbes for human health' [2]",2006,"Microbial Ecology in Health and Disease","18","2",,"77","78",,,10.1080/08910600600931900,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33751563693&partnerID=40&md5=d3be80de61e46c6084a1bbe4be9ffee6",Letter,Scopus,2-s2.0-33751563693
"Ho, M.-W., Zhou, Y.-M., Haffegee, J., Watton, A., Musumeci, F., Privitera, G., Scordino, A., Triglia, A.","The liquid crystalline organism and biological water",2006,"Water and the Cell",,,,"219","234",,4,10.1007/1-4020-4927-7-10,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051665876&partnerID=40&md5=da358cfc6ae3d571f3b60c789fe5678f",Book Chapter,Scopus,2-s2.0-80051665876
"Cummins, J., Ho, M.-W.","Genetically modified probiotics should be banned",2005,"Microbial Ecology in Health and Disease","17","2",,"66","68",,11,10.1080/08910600510044480,"http://www.scopus.com/inward/record.url?eid=2-s2.0-27744472864&partnerID=40&md5=6b30951fc9666186b5cf9e53114ae24d",Short Survey,Scopus,2-s2.0-27744472864
"Ho, M.-W., Ulanowicz, R.","Sustainable systems as organisms?",2005,"BioSystems","82","1",,"39","51",,33,10.1016/j.biosystems.2005.05.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-24644471533&partnerID=40&md5=0e3a9ad14e0c5927375f8ce1a8a83ee5",Article,Scopus,2-s2.0-24644471533
"Ho, M.W., Musumeci, F., Scordino, A., Triglia, A., Privitera, G.","Delayed luminescence from bovine Achilles' tendon and its dependence on collagen structure",2002,"Journal of Photochemistry and Photobiology B: Biology","66","3",,"165","170",,21,10.1016/S1011-1344(02)00239-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036241299&partnerID=40&md5=cbcf3f65d811273168fae4d29ac050ec",Article,Scopus,2-s2.0-0036241299
"Huang, Y., Meek, K.M., Ho, M.-W., Paterson, C.A.","Anaylsis of birefringence during wound healing and remodeling following alkali burns in rabbit cornea",2001,"Experimental Eye Research","73","4",,"521","532",,23,10.1006/exer.2001.1057,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035174443&partnerID=40&md5=68bad7991ecbb0d4428a9e1f996d1b49",Article,Scopus,2-s2.0-0035174443
"Ho, M.-W., Ryan, A., Cummins, J.","CaMV 35S promoter fragmentation hotspot confirmed, and it is active in animals",2000,"Microbial Ecology in Health and Disease","12","3",,"189","",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033711006&partnerID=40&md5=8372959e915819c825ce9ca08166b78c",Note,Scopus,2-s2.0-0033711006
