Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Huber, D.M., Jones, J.B.","The role of magnesium in plant disease",2013,"Plant and Soil","368","1-2",,"73","85",,4,10.1007/s11104-012-1476-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879140610&partnerID=40&md5=6105626ff1baba7fefa22a7511867614",Article,Scopus,2-s2.0-84879140610
"Huber, D., Römheld, V., Weinmann, M.","Relationship between Nutrition, Plant Diseases and Pests",2012,"Marschner's Mineral Nutrition of Higher Plants",,,,"283","298",,3,10.1016/B978-0-12-384905-2.00010-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875405691&partnerID=40&md5=c918f0b70a0d0f3696830f2b9e7abcb7",Book Chapter,Scopus,2-s2.0-84875405691
"Huber, D., Römheld, V., Weinmann, M.","Relationship between Nutrition, Plant Diseases and Pests",2011,"Marschner's Mineral Nutrition of Higher Plants: Third Edition",,,,"283","298",,,10.1016/B978-0-12-384905-2.00010-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902029235&partnerID=40&md5=b7c2624916c5d347c8b265067437366e",Book Chapter,Scopus,2-s2.0-84902029235
"Zobiole, L.H.S., de Oliveira Jr., R.S., Huber, D.M., Constantin, J., de Castro, C., de Oliveira, F.A., de Oliveira Jr., A.","Glyphosate reduces shoot concentrations of mineral nutrients in glyphosate-resistant soybeans",2010,"Plant and Soil","328","1",,"57","69",,36,10.1007/s11104-009-0081-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77049120181&partnerID=40&md5=ab1ad23025bb75f84dffaddbaa729939",Article,Scopus,2-s2.0-77049120181
"Johal, G.S., Huber, D.M.","Glyphosate effects on diseases of plants",2009,"European Journal of Agronomy","31","3",,"144","152",,61,10.1016/j.eja.2009.04.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-69249203529&partnerID=40&md5=90ca23471b7eae2421389b1c14d819f5",Article,Scopus,2-s2.0-69249203529
"Fernandez, M.R., Zentner, R.P., Basnyat, P., Gehl, D., Selles, F., Huber, D.","Glyphosate associations with cereal diseases caused by Fusarium spp. in the Canadian Prairies",2009,"European Journal of Agronomy","31","3",,"133","143",,26,10.1016/j.eja.2009.07.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-69249213418&partnerID=40&md5=9cea8b3344b91fc3691e207d6018d751",Article,Scopus,2-s2.0-69249213418
"Fernandez, M.R., Huber, D., Basnyat, P., Zentner, R.P.","Impact of agronomic practices on populations of Fusarium and other fungi in cereal and noncereal crop residues on the Canadian Prairies",2008,"Soil and Tillage Research","100","1-2",,"60","71",,24,10.1016/j.still.2008.04.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-49849089131&partnerID=40&md5=1f3b8383e13bb3e287ab9b2de0cc8223",Article,Scopus,2-s2.0-49849089131
"Huber, D.M., Haneklaus, S.","Managing nutrition to control plant disease",2007,"Landbauforschung Volkenrode","57","4",,"313","322",,27,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37049022818&partnerID=40&md5=b1d9b8aa33fbf80890909837a2e99a16",Review,Scopus,2-s2.0-37049022818
"Thompson, I.A., Huber, D.M., Schulze, D.G.","Evidence of a multicopper oxidase in Mn oxidation by Gaeumannomyces graminis var. tritici",2006,"Phytopathology","96","2",,"130","136",,7,10.1094/PHYTO-96-0130,"http://www.scopus.com/inward/record.url?eid=2-s2.0-32144438530&partnerID=40&md5=51d6a2ac37a26d202ced1c51ca1af55e",Article,Scopus,2-s2.0-32144438530
"Thompson, I.A., Huber, D.M., Guest, C.A., Schulze, D.G.","Fungal manganese oxidation in a reduced soil",2005,"Environmental Microbiology","7","9",,"1480","1487",,34,10.1111/j.1462-2920.2005.00842.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-23944439403&partnerID=40&md5=bc620718562666d61ab0f0040900c8e6",Article,Scopus,2-s2.0-23944439403
"Elliott, M.L., Des Jardin, E.A., Batson Jr., W.E., Caceres, J., Brannen, P.M., Howell, C.R., Benson, D.M., Conway, K.E., Rothrock, C.S., Schneider, R.W., Ownley, B.H., Canaday, C.H., Keinath, A.P., Huber, D.M., Sumner, D.R., Motsenbocker, C.E., Thaxton, P.M., Cubeta, M.A., Adams, P.D., Backman, P.A., Fajardo, J., Newman, M.A., Pereira, R.M.","Viability and stability of biological control agents on cotton and snap bean seeds",2001,"Pest Management Science","57","8",,"695","706",,7,10.1002/ps.342,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034909626&partnerID=40&md5=e2b0a910c1958fe2c90b3b16c145d6a6",Article,Scopus,2-s2.0-0034909626
