Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Calabrò, S., Cutrignelli, M.I., Lo Presti, V., Tudisco, R., Chiofalo, V., Grossi, M., Infascelli, F., Chiofalo, B.","Characterization and effect of year of harvest on the nutritional properties of three varieties of white lupine (Lupinus albus L.)",2015,"Journal of the Science of Food and Agriculture","95","15",,"3127","3136",,,10.1002/jsfa.7049,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946485696&partnerID=40&md5=b019947bb89a4b03b7468a00049921f8",Article,Scopus,2-s2.0-84946485696
"di Martino, O., Troiano, A., Addi, L., Guarino, A., Calabrò, S., Tudisco, R., Murru, N., Cutrignelli, M.I., Infascelli, F., Calabrò, V.","Regulation of Stearoyl Coenzyme A Desaturase 1 Gene Promoter in Bovine Mammary Cells",2015,"Animal Biotechnology","26","4",,"251","259",,,10.1080/10495398.2015.1022182,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937580080&partnerID=40&md5=4a9e5bc169a4e7defb5158f376d848b7",Article,Scopus,2-s2.0-84937580080
"Tudisco, R., Calabrò, S., Cutrignelli, M.I., Moniello, G., Grossi, M., Mastellone, V., Lombardi, P., Pero, M.E., Infascelli, F.","Genetically modified soybean in a goat diet: Influence on kid performance",2015,"Small Ruminant Research","126","S1",,"67","74",,2,10.1016/j.smallrumres.2015.01.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928289799&partnerID=40&md5=821d2238749a8deeb389e3d2aa22657a",Article,Scopus,2-s2.0-84928289799
"Tudisco, R., Calabrò, S., Cutrignelli, M.I., Grossi, M., Piccolo, V., Infascelli, F.","Influence of sample storage on the quality of DNA extracted from milk of goats fed conventional or transgenic soybean",2014,"Veterinary Science: Current Aspects in Biology, Animal Pathology, Clinic and Food Hygiene",,,,"199","203",,,10.1007/978-3-642-23271-8_33,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929578013&partnerID=40&md5=e6cc522215da58d7f785db444faa8604",Book Chapter,Scopus,2-s2.0-84929578013
"Tudisco, R., Grossi, M., Calabrò, S., Cutrignelli, M.I., Musco, N., Addi, L., Infascelli, F.","Influence of pasture on goat milk fatty acids and Stearoyl-CoA desaturase expression in milk somatic cells",2014,"Small Ruminant Research","122","1-3",,"38","43",,3,10.1016/j.smallrumres.2014.07.016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919837116&partnerID=40&md5=636230b5da5c4174608a6619c9ca81d7",Article,Scopus,2-s2.0-84919837116
"Tudisco, R., Infascelli, F.","The nutritional assessment of GMOs before commercialisation, how to approach a comprehensive assessment",2014,"World Review of Science, Technology and Sustainable Development","11","1",,"61","70",,,10.1504/WRSTSD.2014.062383,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902262785&partnerID=40&md5=b8fb83b082dc21e4f1bb4ed9dea820ab",Article,Scopus,2-s2.0-84902262785
"Calabrò, S., Cutrignelli, M.I., Gonzalez, O.J., Chiofalo, B., Grossi, M., Tudisco, R., Panetta, C., Infascelli, F.","Meat quality of buffalo young bulls fed faba bean as protein source",2014,"Meat Science","96","1",,"591","596",,7,10.1016/j.meatsci.2013.08.014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883677703&partnerID=40&md5=fa3ae3c9d04ec81b9f98c478538d4a69",Article,Scopus,2-s2.0-84883677703
"Di Luccia, B., Manzo, N., Vivo, M., Galano, E., Amoresano, A., Crescenzi, E., Pollice, A., Tudisco, R., Infascelli, F., Calabrò, V.","A biochemical and cellular approach to explore the antiproliferative and prodifferentiative activity of Aloe arborescens leaf extract",2013,"Phytotherapy Research","27","12",,"1819","1828",,4,10.1002/ptr.4939,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890564215&partnerID=40&md5=7d0e093929e7905ebc7ed102367be8d6",Article,Scopus,2-s2.0-84890564215
"Tudisco, R., Cutrignelli, M.I., Calabrò, S., Grossi, M., Musco, N., Monastra, G., Infascelli, F.","Milk CLA content and δ9 desaturase activity in buffalo cows along the lactation",2013,"Buffalo Bulletin","32","SPECIAL ISSUE 2",,"1330","1333",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897837563&partnerID=40&md5=df1060f14b53e6417db243a4a9ee3aa2",Conference Paper,Scopus,2-s2.0-84897837563
"Calabrò, S., Infascelli, F., Tudisco, R., Musco, N., Grossi, M., Monastra, G., Cutrignelli, M.I.","Estimation of in vitro methane production in buffalo and cow",2013,"Buffalo Bulletin","32","SPECIAL ISSUE 2",,"924","927",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897823315&partnerID=40&md5=ededf0929fce238a5189ba8baeefc0de",Conference Paper,Scopus,2-s2.0-84897823315
