Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Jacobs, S., Burkhard, B., Van Daele, T., Staes, J., Schneiders, A.","'The Matrix Reloaded': A review of expert knowledge use for mapping ecosystem services",2015,"Ecological Modelling","295",,,"21","30",,6,10.1016/j.ecolmodel.2014.08.024,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910060302&partnerID=40&md5=e6a656d93b4c4218036e8cdcb65738d0",Review,Scopus,2-s2.0-84910060302
"Boerema, A., Schoelynck, J., Bal, K., Vrebos, D., Jacobs, S., Staes, J., Meire, P.","Economic valuation of ecosystem services, a case study for aquatic vegetation removal in the Nete catchment (Belgium)",2014,"Ecosystem Services","7",,,"46","56",,2,10.1016/j.ecoser.2013.08.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894703163&partnerID=40&md5=bb65fba827968512791060013f28d9a8",Article,Scopus,2-s2.0-84894703163
"Van Der Biest, K., D'Hondt, R., Jacobs, S., Landuyt, D., Staes, J., Goethals, P., Meire, P.","EBI: An index for delivery of ecosystem service bundles",2014,"Ecological Indicators","37","PART A",,"252","265",,13,10.1016/j.ecolind.2013.04.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890056721&partnerID=40&md5=e2b5c0153a1282754961ca2023786eb9",Article,Scopus,2-s2.0-84890056721
"Beauchard, O., Teuchies, J., Jacobs, S., Struyf, E., Van der Spiet, T., Meire, P.","Sediment Abiotic Patterns in Current and Newly Created Intertidal Habitats from an Impacted Estuary",2014,"Estuaries and Coasts","37","4",,"973","985",,,10.1007/s12237-013-9743-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902013100&partnerID=40&md5=4f18915f2c93d498dca3475b1de18a35",Article,Scopus,2-s2.0-84902013100
"Van der Biest, K., D'Hondt, R., Jacobs, S., Landuyt, D., Staes, J., Goethals, P., Meire, P.","EBI-An Index for Delivery of Ecosystem Service Bundles Ecological Indicators",2013,"Ecosystem Services: Global Issues, Local Practices",,,,"263","272",,,10.1016/B978-0-12-419964-4.00020-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902068990&partnerID=40&md5=b3af47cdd620a6d171f79281e13d50d5",Book Chapter,Scopus,2-s2.0-84902068990
"Peeters, A., Dendoncker, N., Jacobs, S.","Enhancing Ecosystem Services in Belgian Agriculture through Agroecology: A Vision for a Farming with a Future",2013,"Ecosystem Services: Global Issues, Local Practices",,,,"285","304",,,10.1016/B978-0-12-419964-4.00022-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902044995&partnerID=40&md5=e14661f1782728f447e84b6c9f9ebb8f",Book Chapter,Scopus,2-s2.0-84902044995
"Jacobs, S., Keune, H., Vrebos, D., Beauchard, O., Villa, F., Meire, P.","Ecosystem Service Assessments: Science or Pragmatism?",2013,"Ecosystem Services: Global Issues, Local Practices",,,,"157","165",,1,10.1016/B978-0-12-419964-4.00014-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902051612&partnerID=40&md5=24a0de345a3b71078d3b03d94a8d6775",Book Chapter,Scopus,2-s2.0-84902051612
"Turkelboom, F., Raquez, P., Dufrêne, M., Raes, L., Simoens, I., Jacobs, S., Stevens, M., De Vreese, R., Panis, J.A.E., Hermy, M., Thoonen, M., Liekens, I., Fontaine, C., Dendoncker, N., Biest, K.V.D., Casaer, J., Heyrman, H., Meiresonne, L., Keune, H.","CICES Going Local: Ecosystem Services Classification Adapted for a Highly Populated Country",2013,"Ecosystem Services: Global Issues, Local Practices",,,,"223","247",,,10.1016/B978-0-12-419964-4.00018-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902052170&partnerID=40&md5=17ead1dc968761aa9e9729d0186da0cd",Book Chapter,Scopus,2-s2.0-84902052170
"Jacobs, S., Dendoncker, N., Keune, H.","Editorial for Ecosystem Services-Global Issues, Local Practices",2013,"Ecosystem Services: Global Issues, Local Practices",,,,"xix","xxviii",,1,10.1016/B978-0-12-419964-4.02002-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902055797&partnerID=40&md5=e8130e767b2ebc89e463ae5494f61314",Editorial,Scopus,2-s2.0-84902055797
"Segers, H., Brosens, D., Keune, H., Jacobs, S., Dendoncker, N., Meire, P.","Introduction",2013,"Ecosystem Services: Global Issues, Local Practices",,,,"xxix","xxxii",,,10.1016/B978-0-12-419964-4.02001-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902044945&partnerID=40&md5=8863c5dee2631dde7e1ff96e5aa0ce9b",Editorial,Scopus,2-s2.0-84902044945
