Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kriszt, R., Winkler, Z., Polyak, A., Kuti, D., Molnar, C., Hrabovszky, E., Kallo, I., Szoke, Z., Ferenczi, S., Kovács, K.J.","Xenoestrogens ethinyl estradiol and zearalenone cause precocious puberty in female rats via central kisspeptin signaling",2015,"Endocrinology","156","11",,"3996","4007",,,10.1210/en.2015-1330,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946019003&partnerID=40&md5=c906c8d1377d45f5c5e5607a15d5b79d",Article,Scopus,2-s2.0-84946019003
"Balázsfi, D., Pintér, O., Klausz, B., Kovács, K.B., Fodor, A., Török, B., Engelmann, M., Zelena, D.","Restoration of peripheral V2 receptor vasopressin signaling fails to correct behavioral changes in Brattleboro rats",2015,"Psychoneuroendocrinology","51",,,"11","23",,1,10.1016/j.psyneuen.2014.09.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920562619&partnerID=40&md5=2e32c69e201fe9c158acb90de2abb07c",Article,Scopus,2-s2.0-84920562619
"Ferenczi, S., Cserháti, M., Krifaton, C., Szoboszlay, S., Kukolya, J., Szoke, Z., Koszegi, B., Albert, M., Barna, T., Mézes, M., Kovács, K.J., Kriszt, B.","A new ochratoxin a biodegradation strategy using cupriavidus basilensis Or16 strain",2014,"PLoS ONE","9","10", e109817,"","",,,10.1371/journal.pone.0109817,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907855768&partnerID=40&md5=b81ab10d107f8323f4c053fef1a9ef91",Article,Scopus,2-s2.0-84907855768
"Hegyi, B., Környei, Z., Ferenczi, S., Fekete, R., Kudlik, G., Kovács, K.J., Madarász, E., Uher, F.","Regulation of mouse microglia activation and effector functions by bone marrow-derived mesenchymal stem cells",2014,"Stem Cells and Development","23","21",,"2600","2612",,2,10.1089/scd.2014.0088,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84913612974&partnerID=40&md5=2e1b37234d640f494c6778a160f64bd4",Article,Scopus,2-s2.0-84913612974
"Kovács, K., Basu, K., Rouiller, I., Sík, A.","Regional differences in the expression of K+-Cl- 2 cotransporter in the developing rat cortex",2014,"Brain Structure and Function","219","2",,"527","538",,2,10.1007/s00429-013-0515-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896056008&partnerID=40&md5=72a3f47fc76c5043e42663440f334d64",Article,Scopus,2-s2.0-84896056008
"Polyák, T., Ferenczi, S., Dénes, T., Winkler, Z., Kriszt, R., Pintér-Kübler, B., Kovács, K.J.","The fractalkine/Cx3CR1 system is implicated in the development of metabolic visceral adipose tissue inflammation in obesity",2014,"Brain, Behavior, and Immunity","38",,,"25","35",,5,10.1016/j.bbi.2014.01.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898548414&partnerID=40&md5=c962c33438b9f5670fb0ef9b1085e8ec",Article,Scopus,2-s2.0-84898548414
"Varga, J., Ferenczi, S., Kovács, K.J., Garafova, A., Jezova, D., Zelena, D.","Comparison of Stress-Induced Changes in Adults and Pups: Is Aldosterone the Main Adrenocortical Stress Hormone during the Perinatal Period in Rats?",2013,"PLoS ONE","8","9", e72313,"","",,2,10.1371/journal.pone.0072313,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883525357&partnerID=40&md5=01792c29473b7386c368ff9f69c56276",Article,Scopus,2-s2.0-84883525357
"Smith, C.J., Lawrence, C.B., Rodriguez-Grande, B., Kovács, K.J., Pradillo, J.M., Denes, A.","The immune system in stroke: Clinical challenges and their translation to experimental research",2013,"Journal of Neuroimmune Pharmacology","8","4",,"867","887",,11,10.1007/s11481-013-9469-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84882237623&partnerID=40&md5=43d601a8a7c9179d605d0660a8ad4420",Review,Scopus,2-s2.0-84882237623
"Környei, Z., Beke, S., Mihálffy, T., Jelitai, M., Kovács, K.J., Szabó, Z., Szabó, B.","Cell sorting in a Petri dish controlled by computer vision.",2013,"Scientific reports","3",,,"1088","",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879458426&partnerID=40&md5=216406612ff4d4842b5ac3291641db73",Article,Scopus,2-s2.0-84879458426
"Pintér-Kübler, B., Ferenczi, S., Núnez, C., Zelei, E., Polyák, Á., Milanés, M.V., Kovács, K.J.","Differential Changes in Expression of Stress- and Metabolic-Related Neuropeptides in the Rat Hypothalamus during Morphine Dependence and Withdrawal",2013,"PLoS ONE","8","6", e67027,"","",,4,10.1371/journal.pone.0067027,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879253232&partnerID=40&md5=7fa8fc2e7ccd98fc0874c1bb199861ca",Article,Scopus,2-s2.0-84879253232
