Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Schröder, W., Pesch, R., Zechmeister, H., Kratz, W., Holy, M., Harmens, H., Fagerli, H., Ilyin, I.","Atmospheric deposition and accumulation of heavy metals and nitrogen in natura 2000 sites in Germany [Atmosphärische deposition und anreicherung von schwermetallen und stickstoff in natura-2000-gebieten Deutschlands]",2010,"Umweltwissenschaften und Schadstoff-Forschung","22","6",,"711","720",,1,10.1007/s12302-010-0145-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79954472494&partnerID=40&md5=8bf091e18ec63efd625a52de17aaf41a",Article,Scopus,2-s2.0-79954472494
"Hofmann, F., Epp, R., Kalchschmid, A., Kratz, W., Kruse, L., Kuhn, U., Maisch, B., Müller, E., Ober, S., Radtke, J., Schlechtriemen, U., Schmidt, G., Schröder, W., Von Der Ohe, W., Vögel, R., Wedl, N., Wosniok, W.","Monitoring of Bt-Maize pollen exposure in the vicinity of the nature reserve Ruhlsdorfer Bruch in northeast Germany 2007 to 2008",2010,"Umweltwissenschaften und Schadstoff-Forschung","22","3",,"229","251",,11,10.1007/s12302-010-0133-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956590126&partnerID=40&md5=debc81e2b6f6b91249b1763cf252d682",Article,Scopus,2-s2.0-77956590126
"Kratz, W., Schröder, W.","Moss monitoring: Against reason at the end of a program on effective environmental data collection in federal government-state cooperation [Moosmonitoring : Wider die Vernunft - zum Ende eines Programms effektiver Umweltdatenerhebung in Bund-Länder-Kooperation]",2010,"Umweltwissenschaften und Schadstoff-Forschung","22","1",,"1","6",,,10.1007/s12302-009-0098-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77951957714&partnerID=40&md5=e70729505aaa213c035a230654a52295",Review,Scopus,2-s2.0-77951957714
"Hanisch, B., Abbas, B., Kratz, W., Schüürmann, G.","Human drugs in aquatic ecosystems: Approach for the environmental risk assessment of drug residues [Humanarzneimittel im aquatischen ökosystem: Bewertungsansatz zur abschätzung des ökotoxikologischen risikos von arzneimittelrü ckständen]",2004,"Umweltwissenschaften und Schadstoff-Forschung","16","4",,"223","238",,14,org/10.1065/uwsf2004.02.076,"http://www.scopus.com/inward/record.url?eid=2-s2.0-7744220960&partnerID=40&md5=ad703f07a2620de267b3da5408623195",Article,Scopus,2-s2.0-7744220960
"McTiernan, K.B., Coûteaux, M.-M., Berg, B., Berg, M.P., De Anta, R.C., Gallardo, A., Kratz, W., Piussi, P., Remacle, J., De Santo, A.V.","Changes in chemical composition of Pinus sylvestris needle litter during decomposition along a European coniferous forest climatic transect",2003,"Soil Biology and Biochemistry","35","6",,"801","812",,51,10.1016/S0038-0717(03)00107-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038685659&partnerID=40&md5=6357bbb013ca5c2671775ffc2724ddaa",Article,Scopus,2-s2.0-0038685659
"Abbas, B., Jurkutat, B., Kratz, W.","Palladium from automobile catalysts - A health risk? [Palladium aus dem autokatalysator - Ein gesundheitsrisiko?]",2002,"Umweltmedizin in Forschung und Praxis","7","6",,"343","348",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036919594&partnerID=40&md5=f5393b13cb4617f8b11b7d5e44e66e81",Review,Scopus,2-s2.0-0036919594
"Abbas, B., Linke, I., Kratz, W.","Inquiry of drug agent quantities in the Land Brandenburg [Erhebung des verbrauchs von arzneimittelwirkstoffen im Land Brandenburg]",2001,"Umweltwissenschaften und Schadstoff-Forschung","13","4",,"197","203",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034903328&partnerID=40&md5=63a31fa8cc901efc26bd2a6ca5a7c1af",Review,Scopus,2-s2.0-0034903328
"Klose, H., Kratz, W.","The EU overall water policy concerning water pollution due to hazardous substances [Die EU-wasserrahmenrichtlinie zur belastung der gewässer mit gefährlichen stoffen]",2001,"Umweltwissenschaften und Schadstoff-Forschung","13","3",,"183","184",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034959659&partnerID=40&md5=e3b1d881b6a43f5dddf013de89a0767a",Short Survey,Scopus,2-s2.0-0034959659
"Kratz, W., Abbas, B., Linke, I.","Pharmacenticals in the environment [Arzneimittelwirkstoffe in der umwelt]",2000,"Umweltwissenschaften und Schadstoff-Forschung","12","6",,"343","349",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034522146&partnerID=40&md5=e7b53736ab576ae8c789bbd124394f9f",Review,Scopus,2-s2.0-0034522146
"Sousa, J.P., Loureiro, S., Pieper, S., Frost, M., Kratz, W., Nogueira, A.J.A., Soares, A.M.V.M.","Soil and plant diet exposure routes and toxicokinetics of lindane in a terrestrial isopod",2000,"Environmental Toxicology and Chemistry","19","10",,"2557","2563",,24,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033801601&partnerID=40&md5=35076db6461c771802a4695cc369f05b",Article,Scopus,2-s2.0-0033801601
