Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Várallyay, Z., Fekete, J., Bányász, A., Lakó, S., Szipocs, R.","Sub-nanojoule pulse compression down to 6 fs in photonic crystal fibers",2006,"Optics InfoBase Conference Papers",,,,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899064467&partnerID=40&md5=c22644b0873394e8ac345635572c9660",Conference Paper,Scopus,2-s2.0-84899064467
"Várallyay, Z., Fekete, J., Bányász, Á., Lakó, S., Szipocs, R.","Sub-nanojoule pulse compression down to 6 fs in photonic crystal fibers",2005,"Quantum Electronics and Laser Science Conference (QELS)","3",, JThE21,"1624","1626",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-27144521704&partnerID=40&md5=aab7578afd50c24e8d3070447243c26e",Conference Paper,Scopus,2-s2.0-27144521704
"Lakó, S.","Bessel-gauss beam optical resonator with radially polarized output",2005,"Optics InfoBase Conference Papers",,,,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899881397&partnerID=40&md5=973de854bbd07efbc068c8c0b2853cae",Conference Paper,Scopus,2-s2.0-84899881397
"Várallyay, Z., Fekete, J., Bányász, A., Lakó, S., Szipocs, R.","Sub-nanojoule pulse compression down to 6 fs in photonic crystal fibers",2005,"Optics InfoBase Conference Papers",,,,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899154184&partnerID=40&md5=6fc064d270a68447c866f27f18fb3ec4",Conference Paper,Scopus,2-s2.0-84899154184
"Várallyay, Z., Fekete, J., Bányász, Á., Lakó, S., Szipocs, R.","Sub-nanojoule pulse compression down to 6 fs in photonic crystal fibers",2005,"Optics InfoBase Conference Papers",,,,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899561192&partnerID=40&md5=99382951804f6966e460eb08fc1900ba",Conference Paper,Scopus,2-s2.0-84899561192
"Várallyay, Z., Fekete, J., Bányász, Á., Lakó, S., Szipocs, R.","Sub-nanojoule pulse compression down to 6 fs in photonic crystal fibers",2005,"Optics InfoBase Conference Papers",,,,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899136986&partnerID=40&md5=cbac7cc2ba5a268e4cfa6fbcff65d7bd",Conference Paper,Scopus,2-s2.0-84899136986
"Lakó, S.","Analytical Modeling of Second Harmonic Generation of Focused Femtosecond Laser Pulses with Arbitrary Spectral and Spatial Intensity Distribution",2003,"Laser Physics","13","9",,"1217","1221",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0142157704&partnerID=40&md5=0c879b0fd02f3b5b219596de575947d1",Conference Paper,Scopus,2-s2.0-0142157704
"Lakó, S., Apail, P., Pócsik, I., Wintner, E., Szipöcs, R.","Sub-micrometer pulsetrain machining of diamond-like amorphous carbon films with femtosecond pulses of a ti:sapphire laser oscillator",2003,"Springer Series in Chemical Physics","71",,,"678","680",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037730329&partnerID=40&md5=0ed3e7b05d20329699cc7f8000f5f549",Conference Paper,Scopus,2-s2.0-0037730329
"Lakó, S., Seres, J., Apai, P., Balázs, J., Windeler, R.S., Szipöcs, R.","Pulse compression of nanojoule pulses in the visible using microstructure optical fiber and dispersion compensation",2003,"Applied Physics B: Lasers and Optics","76","3",,"267","275",,44,10.1007/s00340-002-1090-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038634794&partnerID=40&md5=6cf0914e5084aab929f26048334f00b8",Article,Scopus,2-s2.0-0038634794
"Szipöcs, R., Köházi-Kis, A., Lakó, S., Apai, P., Kovács, A.P., DeBell, G., Mott, L., Louderback, A.W., Tikhonravov, A.V., Trubetskov, M.K.","Negative dispersion mirrors for dispersion control in femtosecond lasers: Chirped dielectric mirrors and multi-cavity Gires-Tournois interferometers",2000,"Applied Physics B: Lasers and Optics","70","SUPPL. 1",,"S51","S57",,78,10.1007/s003400000303,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0002092067&partnerID=40&md5=4f8cf2bd929d80a941dd949826574f1a",Article,Scopus,2-s2.0-0002092067
"Apai, P., Lakó, S., Szipöcs, R., Danailov, M.B.","Broadband photorefractive phase conjugation in a dispersive scheme",2000,"Laser Physics","10","2",,"444","448",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034147535&partnerID=40&md5=8ad06fb2ce722121732b01c5cbb4750a",Article,Scopus,2-s2.0-0034147535
"Lakó, S., Apai, P., Szipocs, R.","High efficiency second harmonic generation of femtosecond laser pulses in dispersion compensated ring cavity",2000,"Conference on Lasers and Electro-Optics Europe - Technical Digest",,,,"298","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033696167&partnerID=40&md5=3c51dc02f7c49c0d379af35bd5ffc59a",Conference Paper,Scopus,2-s2.0-0033696167
