Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Smith, K., Lawrence, G., MacMahon, A., Muller, J., Brady, M.","The resilience of long and short food chains: a case study of flooding in Queensland, Australia",2015,"Agriculture and Human Values",,,,"","",16,,10.1007/s10460-015-9603-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926337265&partnerID=40&md5=ed6a3a63e71e3c302ff5c4f4796d8e2c",Article in Press,Scopus,2-s2.0-84926337265
"Singh-Peterson, L., Lawrence, G.","Insights into community vulnerability and resilience following natural disasters: perspectives with food retailers in Northern NSW, Australia",2015,"Local Environment","20","7",,"782","795",,,10.1080/13549839.2013.873396,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938556559&partnerID=40&md5=2a81dda888d2ac6fc5d0cf6fb2aa3902",Article,Scopus,2-s2.0-84938556559
"Larder, N., Sippel, S.R., Lawrence, G.","Finance Capital, Food Security Narratives and Australian Agricultural Land",2015,"Journal of Agrarian Change","15","4",,"592","603",,1,10.1111/joac.12108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941316891&partnerID=40&md5=dabc5b2ef8cd7231107fc8bdbbbca972",Article,Scopus,2-s2.0-84941316891
"Cheshire, L., Everingham, J.-A., Lawrence, G.","Governing the impacts of mining and the impacts of mining governance: Challenges for rural and regional local governments in Australia",2014,"Journal of Rural Studies","36",,,"330","339",,4,10.1016/j.jrurstud.2013.10.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84915795189&partnerID=40&md5=d63a64a5c9b9d7d59685d56c8fe34b00",Article,Scopus,2-s2.0-84915795189
"Smith, K., Lawrence, G.","Flooding and food security: A case study of community resilience in Rockhampton",2014,"Rural Society","20","3",,"216","228",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920469306&partnerID=40&md5=694e71db84feb2ae60833217aae1bba7",Article,Scopus,2-s2.0-84920469306
"Lawrence, G., Richards, C., Burch, D.","The impacts of climate change on Australia's food production and export",2013,"Food Security in Australia: Challenges and Prospects for the Future",,,,"173","186",,2,10.1007/978-1-4614-4484-8_12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919526402&partnerID=40&md5=9ff37fd11d11faf1b5e1de631088c3f8",Book Chapter,Scopus,2-s2.0-84919526402
"Burch, D., Lawrence, G., Hattersley, L.","Watchdogs and ombudsmen: Monitoring the abuse of supermarket power",2013,"Agriculture and Human Values","30","2",,"259","270",,3,10.1007/s10460-012-9412-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877925870&partnerID=40&md5=85bc51a34a9ad9e011385534a39e5375",Article,Scopus,2-s2.0-84877925870
"Burch, D., Dixon, J., Lawrence, G.","Introduction to symposium on the changing role of supermarkets in global supply chains: From seedling to supermarket: Agri-food supply chains in transition",2013,"Agriculture and Human Values","30","2",,"215","224",,7,10.1007/s10460-012-9410-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877925312&partnerID=40&md5=7e536b729f3424aa021f89b79b9451e5",Article,Scopus,2-s2.0-84877925312
"Richards, C., Bjørkhaug, H., Lawrence, G., Hickman, E.","Retailer-driven agricultural restructuring-Australia, the UK and Norway in comparison",2013,"Agriculture and Human Values","30","2",,"235","245",,5,10.1007/s10460-012-9408-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877921199&partnerID=40&md5=5182ecdf062f3f41aa19db4fcb200ad3",Article,Scopus,2-s2.0-84877921199
"Burch, D., Lawrence, G.","Financialization in agri-food supply chains: Private equity and the transformation of the retail sector",2013,"Agriculture and Human Values","30","2",,"247","258",,10,10.1007/s10460-012-9413-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877927505&partnerID=40&md5=f0bef1b8bea1debc474bf0499b694cd8",Article,Scopus,2-s2.0-84877927505
"Lawrence, G., Lyons, K., Wallington, T.","Food security, nutrition and sustainability",2013,"Food Security, Nutrition and Sustainability",,,,"1","295",,,10.4324/9781849774499,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920854497&partnerID=40&md5=07624fc3b449b2b2e398a95d08ac5a0f",Book,Scopus,2-s2.0-84920854497
"Burch, D., Lawrence, G.","The ‘wellness’ phenomenon: Implications for global agri-food systems",2013,"Food Security, Nutrition and Sustainability",,,,"175","187",,3,10.4324/9781849774499,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649957753&partnerID=40&md5=4c8280a39e1905deb351f479aef0f749",Book Chapter,Scopus,2-s2.0-78649957753
"Lawrence, G., Lyons, K., Wallington, T.","Introduction: Food security, nutrition and sustainability in a globalized world",2013,"Food Security, Nutrition and Sustainability",,,,"1","23",,1,10.4324/9781849774499,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920766113&partnerID=40&md5=2a59ac93136caa9bc0cc5bf37e31e9ca",Book Chapter,Scopus,2-s2.0-84920766113
"Lawrence, G., Richards, C., Gray, I., Hansar, N.","Climate change and the resilience of commodity food production in Australia",2013,"Food Systems Failure: The Global Food Crisis and the Future of Agriculture",,,,"131","146",,,10.4324/9781849776820,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925714300&partnerID=40&md5=d329797061aa52be483f2820aa7e6dea",Book Chapter,Scopus,2-s2.0-84925714300
"Lawrence, G., Campbell, H.","Neoliberalism in the antipodes: Understanding the influence and limits of the neoliberal political project",2013,"The Neoliberal Regime in the Agri-Food Sector: Crisis, Resilience, and Restructuring",,,,"263","283",,1,10.4324/9780203583111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919521853&partnerID=40&md5=ec0c3dc098ed6b36c4f09205bd371bfb",Book Chapter,Scopus,2-s2.0-84919521853
"Lawrence, G., Richards, C., Lyons, K.","Food security in Australia in an era of neoliberalism, productivism and climate change",2013,"Journal of Rural Studies","29",,,"30","39",,25,10.1016/j.jrurstud.2011.12.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873274342&partnerID=40&md5=6889f50dceaaac6469d2a49336571206",Article,Scopus,2-s2.0-84873274342
"Taylor, B.M., Lawrence, G.A.","Agri-political Organizations in Environmental Governance: Representing Farmer Interests in Regional Partnerships",2012,"Journal of Environmental Policy and Planning","14","4",,"337","359",,4,10.1080/1523908X.2012.714565,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870542459&partnerID=40&md5=f87cd3aded17a8e8e70284a7a8282e72",Article,Scopus,2-s2.0-84870542459
"Richards, C., Lawrence, G., Loong, M., Burch, D.","A toothless chihuahua? the Australian Competition and Consumer Commission, neoliberalism and supermarket power in Australia",2012,"Rural Society","21","3",,"250","263",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871189420&partnerID=40&md5=b330554f17e273e8462e4a1e6dcb00b0",Article,Scopus,2-s2.0-84871189420
"Richards, C., Lawrence, G., Burch, D.","Supermarkets and agro-industrial foods: The strategic manufacturing of consumer trust",2011,"Food, Culture and Society","14","1",,"29","47",,7,10.2752/175174411X12810842291146,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79953189437&partnerID=40&md5=23adf22f33d852b292e06cb3869b3a66",Article,Scopus,2-s2.0-79953189437
"Buchler, S., Smith, K., Lawrence, G.","Food risks, old and new: Demographic characteristics and perceptions of food additives, regulation and contamination in Australia",2010,"Journal of Sociology","46","4",,"353","374",,14,10.1177/1440783310384449,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649920726&partnerID=40&md5=86dd026d3322cc1a678e7748c30e29d5",Article,Scopus,2-s2.0-78649920726
"Miller, T., Rowe, D., Lawrence, G.","The new international division of cultural labour and sport",2010,"Sport and Migration: Borders, Boundaries and Crossings",,,,"217","229",,,10.4324/9780203877319,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84917068753&partnerID=40&md5=321d5e9c2b9f8467a0b347070d2d2204",Book Chapter,Scopus,2-s2.0-84917068753
