Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Leff, E.","The power-full distribution of knowledge in political ecology: A view from the South",2015,"The Routledge Handbook of Political Ecology",,,,"64","75",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941891375&partnerID=40&md5=8f3daf2706220b5f0d40994ce9a4a4e8",Book Chapter,Scopus,2-s2.0-84941891375
"Leff, E.","Environmental rationality: Innovation in thinking for sustainability",2013,"Sustainable Practices: Concepts, Methodologies, Tools, and Applications","1",,,"1","17",,,10.4018/978-1-4666-4852-4.ch001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944871580&partnerID=40&md5=053050e4986405f3465afec8a407ef26",Book Chapter,Scopus,2-s2.0-84944871580
"Leff, E.","Latin American environmental thinking: A heritage of knowledge for sustainability",2012,"Environmental Ethics","34","4",,"431","450",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875311971&partnerID=40&md5=93896243df5327ffceb09bf57b0c506d",Article,Scopus,2-s2.0-84875311971
"Leff, E.","Pensamiento Ambiental latinoamericano: Patrimonio de un Saber para la Sustentabilidad",2012,"Environmental Ethics","34","SUPPL 4",,"97","112",,,10.5840/enviroethics201234Supplement58,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883020337&partnerID=40&md5=ab0db9cf72ac06ab9e8d6eb68ec40246",Article,Scopus,2-s2.0-84883020337
"Leff, E.","Environmental rationality: Innovation in thinking for sustainability",2011,"Technological, Managerial and Organizational Core Competencies: Dynamic Innovation and Sustainable Development",,,,"1","17",,,10.4018/978-1-61350-165-8.ch001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898197174&partnerID=40&md5=638ae977f13bf5e90350751b472a3e53",Book Chapter,Scopus,2-s2.0-84898197174
"Leff, E.","Forging an environmental rationality for a sustainable future",2011,"Development","54","2",,"174","176",,,10.1057/dev.2011.23,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959277040&partnerID=40&md5=cd1d8f4d5aeea8224d0af9299057b5a3",Article,Scopus,2-s2.0-79959277040
"Leff, E.","Sustentabilidad y racionalidad ambiental: Hacia ""otro"" programa de sociología ambiental",2011,"Revista Mexicana de Sociologia","73","1",,"5","46",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859531176&partnerID=40&md5=017408c7f539c79098da5417a175c88a",Article,Scopus,2-s2.0-84859531176
"Leff, E.","On the Social Reappropriation of Nature",1999,"Capitalism, Nature, Socialism","10","3",,"89","104",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0346451248&partnerID=40&md5=5603e52757e3dc6b5f7a83faa38564d0",Article,Scopus,2-s2.0-0346451248
"Leff, E.","Murray Bookchin and the End of Dialectical Naturalism",1998,"Capitalism, Nature, Socialism","9","4",,"67","93",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0442310527&partnerID=40&md5=ef124a74104c40c8a9183f0cc8aac81c",Article,Scopus,2-s2.0-0442310527
"Leff, E.","Ecotechnological productivity: A conceptual basis for the integrated management of natural resources",1986,"Social Science Information","25","3",,"681","702",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0141920065&partnerID=40&md5=4b7d96fa72975ad9036610893fdf6aa2",Article,Scopus,2-s2.0-0141920065
