Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kamihiro, S., Stergiadis, S., Leifert, C., Eyre, M.D., Butler, G.","Meat quality and health implications of organic and conventional beef production",2015,"Meat Science","100",,,"306","318",,1,10.1016/j.meatsci.2014.10.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910002428&partnerID=40&md5=d8a67330475e35abcf1aa7597d902791",Article,Scopus,2-s2.0-84910002428
"Stergiadis, S., Leifert, C., Seal, C.J., Eyre, M.D., Larsen, M.K., Slots, T., Nielsen, J.H., Butler, G.","A 2-year study on milk quality from three pasture-based dairy systems of contrasting production intensities in Wales",2015,"Journal of Agricultural Science","153","4",,"708","731",,,10.1017/S0021859614000963,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925843593&partnerID=40&md5=c980ec8af850c639dc0afc084af4aba3",Article,Scopus,2-s2.0-84925843593
"Sanderson, R.A., Goffe, L.A., Leifert, C.","Time-series models to quantify short-term effects of meteorological conditions on bumblebee forager activity in agricultural landscapes",2015,"Agricultural and Forest Entomology","17","3",,"270","276",,,10.1111/afe.12102,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84935695865&partnerID=40&md5=eb9e545cd727a6de6a7909ae58db3eea",Article,Scopus,2-s2.0-84935695865
"Orr, C.H., Stewart, C.J., Leifert, C., Cooper, J.M., Cummings, S.P.","Effect of crop management and sample year on abundance of soil bacterial communities in organic and conventional cropping systems",2015,"Journal of Applied Microbiology","119","1",,"208","214",,,10.1111/jam.12822,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931560748&partnerID=40&md5=8331260f5c6e57fc6f2bfd90204a1aee",Article,Scopus,2-s2.0-84931560748
"Stergiadis, S., Leifert, C., Seal, C.J., Eyre, M.D., Steinshamn, H., Butler, G.","Improving the fatty acid profile of winter milk from housed cows with contrasting feeding regimes by oilseed supplementation",2014,"Food Chemistry","164",,,"293","300",,6,10.1016/j.foodchem.2014.05.021,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901933846&partnerID=40&md5=509dd52e93572afd7d8642ce8f9ff962",Article,Scopus,2-s2.0-84901933846
"Barański, M., Średnicka-Tober, D., Volakakis, N., Seal, C., Sanderson, R., Stewart, G.B., Benbrook, C., Biavati, B., Markellou, E., Giotis, C., Gromadzka-Ostrowska, J., Rembiałkowska, E., Skwarło-Sońta, K., Tahvonen, R., Janovská, D., Niggli, U., Nicot, P., Leifert, C.","Higher antioxidant and lower cadmium concentrations and lower incidence of pesticide residues in organically grown crops: A systematic literature review and meta-analyses",2014,"British Journal of Nutrition","112","5",,"794","811",,19,10.1017/S0007114514001366,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907597992&partnerID=40&md5=d92143f16d77b5fae30b92c405d70c0b",Review,Scopus,2-s2.0-84907597992
"Tétard-Jones, C., Gatehouse, A.M.R., Cooper, J., Leifert, C., Rushton, S.","Modelling pathways to Rubisco degradation: A structural equation network modelling approach",2014,"PLoS ONE","9","2", e87597,"","",,,10.1371/journal.pone.0087597,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896839749&partnerID=40&md5=8c213ba965eb3e4bf835ce6d629f7410",Article,Scopus,2-s2.0-84896839749
"Lammerts van Bueren, E.T., Thorup-Kristensen, K., Leifert, C., Cooper, J.M., Becker, H.C.","Breeding for nitrogen efficiency: Concepts, methods, and case studies",2014,"Euphytica","199","1-2",,"1","2",,,10.1007/s10681-014-1206-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905405172&partnerID=40&md5=64debd2acc76d8e34b1016f2fb70d02e",Editorial,Scopus,2-s2.0-84905405172
"Swain, E.Y., Rempelos, L., Orr, C.H., Hall, G., Chapman, R., Almadni, M., Stockdale, E.A., Kidd, J., Leifert, C., Cooper, J.M.","Optimizing nitrogen use efficiency in wheat and potatoes: Interactions between genotypes and agronomic practices",2014,"Euphytica","199","1-2",,"119","136",,,10.1007/s10681-014-1181-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905408764&partnerID=40&md5=df3b21e7f6d781e0ff44541ddde8f76c",Article,Scopus,2-s2.0-84905408764
"Terzidis, A.N., Wilcockson, S., Leifert, C.","The tomato leaf miner (Tuta absoluta): Conventional pest problem, organic management solutions?",2014,"Organic Agriculture","4","1",,"43","61",,,10.1007/s13165-014-0064-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899420587&partnerID=40&md5=e1a3c7584748ee7fc19518a01fd42127",Review,Scopus,2-s2.0-84899420587
