Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Letourneau, D.K., Ando, A.W., Jedlicka, J.A., Narwani, A., Barbier, E.","Simple-but-sound methods for estimating the value of changes in biodiversity for biological pest control in agriculture",2015,"Ecological Economics","120",,,"215","225",,,10.1016/j.ecolecon.2015.10.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946541968&partnerID=40&md5=0a9b4bec96420942ca856875e089c3ec",Article,Scopus,2-s2.0-84946541968
"Dyer, L.A., Letourneau, D.K.","Can climate change trigger massive diversity cascades in terrestrial ecosystems?",2013,"Diversity","5","3",,"479","504",,2,10.3390/d5030479,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886255702&partnerID=40&md5=15c11b8cdeedd8b09229746f0aed1bb9",Review,Scopus,2-s2.0-84886255702
"Cornelisse, T.M., Bennett, M.K., Letourneau, D.K.","The Implications of Habitat Management on the Population Viability of the Endangered Ohlone Tiger Beetle (Cicindela ohlone) Metapopulation",2013,"PLoS ONE","8","8", e71005,"","",,1,10.1371/journal.pone.0071005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881511128&partnerID=40&md5=27aeec0fc537197d345b7ec7f630ea8b",Article,Scopus,2-s2.0-84881511128
"Gareau, T.L.P., Letourneau, D.K., Shennan, C.","Relative densities of natural enemy and pest insects within California hedgerows",2013,"Environmental Entomology","42","4",,"688","702",,5,10.1603/EN12317,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881415893&partnerID=40&md5=b30445c0cd3aff57a2212040f0eb79e8",Article,Scopus,2-s2.0-84881415893
"Cornelisse, T.M., Vasey, M.C., Holl, K.D., Letourneau, D.K.","Artificial bare patches increase habitat for the endangered Ohlone tiger beetle (Cicindela ohlone)",2013,"Journal of Insect Conservation","17","1",,"17","22",,6,10.1007/s10841-012-9482-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872672323&partnerID=40&md5=580c755268acc4e48d196dfb075c8857",Article,Scopus,2-s2.0-84872672323
"Rajan, S.R., Letourneau, D.K.","What risk assessments of genetically modified organisms can learn from institutional analyses of public health risks",2012,"Journal of Biomedicine and Biotechnology","2012",, 203093,"","",,1,10.1155/2012/203093,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870209814&partnerID=40&md5=f41d96124b9dbc5890c572807c4bf03b",Review,Scopus,2-s2.0-84870209814
"Letourneau, D.K., Bothwell Allen, S.G., Stireman, J.O.","Perennial habitat fragments, parasitoid diversity and parasitism in ephemeral crops",2012,"Journal of Applied Ecology","49","6",,"1405","1416",,12,10.1111/1365-2664.12001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870369456&partnerID=40&md5=e0ac112acffec850a03b9efac2e281c7",Article,Scopus,2-s2.0-84870369456
"Letourneau, D.K.","Integrated Pest Management-Outbreaks Prevented, Delayed, or Facilitated?",2012,"Insect Outbreaks Revisited",,,,"371","394",,2,10.1002/9781118295205.ch18,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870348959&partnerID=40&md5=48253960f24baf2cecac1347e7a7e9df",Book Chapter,Scopus,2-s2.0-84870348959
"Barbosa, P., Letourneau, D.K., Agrawal, A.A.","Insect Outbreaks Revisited",2012,"Insect Outbreaks Revisited",,,,"","",465,13,10.1002/9781118295205,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891583813&partnerID=40&md5=df93284a9db3a6b583eab07e456a8532",Book,Scopus,2-s2.0-84891583813
"Jedlicka, J.A., Greenberg, R., Letourneau, D.K.","Avian conservation practices strengthen ecosystem services in California vineyards",2011,"PLoS ONE","6","11", e27347,"","",,8,10.1371/journal.pone.0027347,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80655128592&partnerID=40&md5=4776842ad6e09e1e71842ae6d6df865c",Article,Scopus,2-s2.0-80655128592
