Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Jordan, E.G., Loening, U.E.","The nucleolus at Salmanca",1977,"Nature","269","5627",,"376","378",,8,10.1038/269376b0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36849161904&partnerID=40&md5=0152e2191eb0d377008e6f3cab5e5f9e",Short Survey,Scopus,2-s2.0-36849161904
"Grummt, I., Loening, U.E., Slack, J.M.W.","Methylation of ribosomal precursor RNA, synthesized in vitro, by isolated rat liver nucleoli",1975,"European Journal of Biochemistry","59","1",,"313","318",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0016725701&partnerID=40&md5=53e5185a7e0193a617d421f864014c80",Article,Scopus,2-s2.0-0016725701
"Schuch, W., Loening, U.E.","The ribosomal ribonucleic acid of Agrobacterium tumefaciens",1975,"Biochemical Journal","149","1",,"17","22",,13,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0016788511&partnerID=40&md5=07f85832a97316b0a37209f2aa52017d",Article,Scopus,2-s2.0-0016788511
"Slack, J.M.W., Sartirana, M.-L., Loening, U.E.","Multiple conformations of ribosomal precursor RNA",1975,"Nature","253","5489",,"282","284",,4,10.1038/253282a0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0016607896&partnerID=40&md5=1f16a054358f0f6c792030f31dd2d5eb",Article,Scopus,2-s2.0-0016607896
"Grierson, D., Loening, U.","Ribosomal RNA precursors and the synthesis of chloroplast and cytoplasmic ribosomal ribonucleic acid in leaves of Phaseolus aureus",1974,"European Journal of Biochemistry","44","2",,"501","507",,23,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0016193987&partnerID=40&md5=a7b0c0c43437b724aea52f84990f6463",Article,Scopus,2-s2.0-0016193987
"Fraser, R.S.S., Loening, U.E.","RNA synthesis during synchronous cell division in cultured explants of jerusalem artichoke tuber",1974,"Journal of Experimental Botany","25","5",,"847","859",,8,10.1093/jxb/25.5.847,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956983359&partnerID=40&md5=8cfb1a1cbba381242fa8506647c2e98d",Article,Scopus,2-s2.0-77956983359
"Slack, J.M.W., Loening, U.E.","28-S RNA from Xenopus laevis contains a sequence of three adjacent 2' O methylations",1974,"European Journal of Biochemistry","43","1",,"69","72",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015981776&partnerID=40&md5=5e3167594effa5e8f8b7d93c64d522cb",Article,Scopus,2-s2.0-0015981776
"Slack, J.M.W., Loening, U.E.","5' Ends of ribosomal and ribosomal precursor RNAs from Xenopus laevis",1974,"European Journal of Biochemistry","43","1",,"59","67",,13,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015956462&partnerID=40&md5=9e9d6517286827eb55864e32613c3a9a",Article,Scopus,2-s2.0-0015956462
"Loening, U.E.","Ribosomal ribonucleic acid in evolution",1973,"Biochemical Society Symposia","37",,,"95","104",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015721878&partnerID=40&md5=af636f63ea7e04706f37ae7022448954",Review,Scopus,2-s2.0-0015721878
"Fraser, R.S., Loening, U.E.","Binding of radioactive homopolynucleotides to RNA. A simple method for the detection, during gel electrophoresis or sedimentation, of messenger RNAs which contain poly(A) sequences.",1973,"European Journal of Biochemistry","34","1",,"153","158",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015912122&partnerID=40&md5=167cae302c4436bdd8c03e3da93d4b42",Article,Scopus,2-s2.0-0015912122
"Loening, U.E.","Properties and Mechanism of Synthesis of Ribosomal RNA in Evolution",1973,"Pure and Applied Chemistry","34","3-4",,"579","590",,,10.1351/pac197334030579,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015539707&partnerID=40&md5=6d0ce98494aa264e006ad74e906c06a4",Article,Scopus,2-s2.0-0015539707
"Loening, U.E.","Ribosomal ribonucleic acid in evolution.",1972,"Biochemical Journal","129","3",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18144446010&partnerID=40&md5=09fc71ffde766c7700e58e66d51da0e1",Article,Scopus,2-s2.0-18144446010
