Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Howe, A.G., Nachman, G., Lövei, G.L.","Predation pressure in Ugandan cotton fields measured by a sentinel prey method",2015,"Entomologia Experimentalis et Applicata","154","2",,"161","170",,1,10.1111/eea.12267,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921267079&partnerID=40&md5=a94036a3e9297269378c99bad5bd3f03",Article,Scopus,2-s2.0-84921267079
"Kádár, F., Fazekas, J.P., Sárospataki, M., Lövei, G.L.","Seasonal dynamics, age structure and reproduction of four Carabus species (Coleoptera: Carabidae) living in forested landscapes in Hungary",2015,"Acta Zoologica Academiae Scientiarum Hungaricae","61","1",,"57","72",,,10.17109/AZH.61.1.57.2015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930387214&partnerID=40&md5=5a13fe4a4501b084a98415cc9662c8f1",Article,Scopus,2-s2.0-84930387214
"Gilioli, G., Schrader, G., Baker, R.H.A., Ceglarska, E., Kertész, V.K., Lövei, G., Navajas, M., Rossi, V., Tramontini, S., van Lenteren, J.C.","Environmental risk assessment for plant pests: A procedure to evaluate their impacts on ecosystem services",2014,"Science of the Total Environment","468-469",,,"475","486",,2,10.1016/j.scitotenv.2013.08.068,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884258782&partnerID=40&md5=469d9b5ce5612f3a3429d5f40382ff09",Article,Scopus,2-s2.0-84884258782
"Zhang, G.-F., Lövei, G.L., Hu, M., Wan, F.-H.","Asymmetric consequences of host plant occupation on the competition between the whiteflies Bemisia tabaci cryptic species MEAM1 and Trialeurodes vaporariorum (Hemiptera: Aleyrodidae)",2014,"Pest Management Science","70","12",,"1797","1807",,2,10.1002/ps.3713,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911807530&partnerID=40&md5=a5821f9dd95b0e3f01040640147aaee2",Article,Scopus,2-s2.0-84911807530
"Zhang, X.-M., Yang, N.-W., Wan, F.-H., Lövei, G.L.","Density and Seasonal Dynamics of Bemisia tabaci (Gennadius) Mediterranean on Common Crops and Weeds Around Cotton Fields in Northern China",2014,"Journal of Integrative Agriculture","13","10",,"2211","2220",,,10.1016/S2095-3119(13)60613-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908089607&partnerID=40&md5=44bc80b0ae05a30e063e8ebb67d3a4ef",Article,Scopus,2-s2.0-84908089607
"Horáth, R., Elek, Z., Lövei, G.L.","Compositional changes in spider (araneae) assemblages along an urbanisation gradient near a danish town",2014,"Bulletin of Insectology","67","2",,"255","264",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923282116&partnerID=40&md5=2fd2254eb73f98e99567166956212af7",Article,Scopus,2-s2.0-84923282116
"Ferrante, M., Lo Cacciato, A., Lövei, G.L.","Quantifying predation pressure along an urbanisation gradient in Denmark using artificial caterpillars",2014,"European Journal of Entomology","111","5",,"649","654",,1,10.14411/eje.2014.082,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919596744&partnerID=40&md5=390581f4e74cba1890b04b44be3a7208",Article,Scopus,2-s2.0-84919596744
"Elek, Z., Lövei, G.L., Bátki, M.","No increase in fluctuating asymmetry in ground beetles (Carabidae) as urbanisation progresses",2014,"Community Ecology","15","2",,"131","138",,1,10.1556/ComEc.15.2014.2.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934921389&partnerID=40&md5=ad9fb2adf337087e847840933bf28d3b",Article,Scopus,2-s2.0-84934921389
"Hudson, L.N., Newbold, T., Contu, S., Hill, S.L.L., Lysenko, I., De Palma, A., Phillips, H.R.P., Senior, R.A., Bennett, D.J., Booth, H., Choimes, A., Correia, D.L.P., Day, J., Echeverría-Londoño, S., Garon, M., Harrison, M.L.K., Ingram, D.J., Jung, M., Kemp, V., Kirkpatrick, L., Martin, C.D., Pan, Y., White, H.J., Aben, J., Abrahamczyk, S., Adum, G.B., Aguilar-Barquero, V., Aizen, M.A., Ancrenaz, M., Arbeláez-Cortés, E., Armbrecht, I., Azhar, B., Azpiroz, A.B., Baeten, L., Báldi, A., Banks, J.E., Barlow, J., Batáry, P., Bates, A.J., Bayne, E.M., Beja, P., Berg, A., Berry, N.J., Bicknell, J.E., Bihn, J.H., Böhning-Gaese, K., Boekhout, T., Boutin, C., Bouyer, J., Brearley, F.Q., Brito, I., Brunet, J., Buczkowski, G., Buscardo, E., Cabra-García, J., Calviño-Cancela, M., Cameron, S.A., Cancello, E.M., Carrijo, T.F., Carvalho, A.L., Castro, H., Castro-Luna, A.A., Cerda, R., Cerezo, A., Chauvat, M., Clarke, F.M., Cleary, D.F.R., Connop, S.P., D'Aniello, B., da Silva, P.G., Darvill, B., Dauber, J., Dejean, A., Diekötter, T., Dominguez-Haydar, Y., Dormann, C.F., Dumont, B., Dures, S.G., Dynesius, M., Edenius, L., Elek, Z., Entling, M.H., Farwig, N., Fayle, T.M., Felicioli, A., Felton, A.M., Ficetola, G.F., Filgueiras, B.K.C., Fonte, S.J., Fraser, L.H., Fukuda, D., Furlani, D., Ganzhorn, J.U., Garden, J.G., Gheler-Costa, C., Giordani, P., Giordano, S., Gottschalk, M.S., Goulson, D., Gove, A.D., Grogan, J., Hanley, M.E., Hanson, T., Hashim, N.R., Hawes, J.E., Hébert, C., Helden, A.J., Henden, J.-A., Hernández, L., Herzog, F., Higuera-Diaz, D., Hilje, B., Horgan, F.G., Horváth, R., Hylander, K., Isaacs-Cubides, P., Ishitani, M., Jacobs, C.T., Jaramillo, V.J., Jauker, B., Jonsell, M., Jung, T.S., Kapoor, V., Kati, V., Katovai, E., Kessler, M., Knop, E., Kolb, A., Korösi, Á., Lachat, T., Lantschner, V., Le Féon, V., Lebuhn, G., Légaré, J.-P., Letcher, S.G., Littlewood, N.A., López-Quintero, C.A., Louhaichi, M., Lövei, G.L., Lucas-Borja, M.E., Luja, V.H., Maeto, K., Magura, T., Mallari, N.A., Marin-Spiotta, E., Marshall, E.J.P., Martínez, E., Mayfield, M.M., Mikusinski, G., Milder, J.C., Miller, J.R., Morales, C.L., Muchane, M.N., Muchane, M., Naidoo, R., Nakamura, A., Naoe, S., Nates-Parra, G., Navarrete Gutierrez, D.A., Neuschulz, E.L., Noreika, N., Norfolk, O., Noriega, J.A., Nöske, N.M., O'Dea, N., Oduro, W., Ofori-Boateng, C., Oke, C.O., Osgathorpe, L.M., Paritsis, J., Parra-H, A., Pelegrin, N., Peres, C.A., Persson, A.S., Petanidou, T., Phalan, B., Philips, T.K., Poveda, K., Power, E.F., Presley, S.J., Proença, V., Quaranta, M., Quintero, C., Redpath-Downing, N.A., Reid, J.L., Reis, Y.T., Ribeiro, D.B., Richardson, B.A., Richardson, M.J., Robles, C.A., Römbke, J., Romero-Duque, L.P., Rosselli, L., Rossiter, S.J., Roulston, T.H., Rousseau, L., Sadler, J.P., Sáfián, S., Saldaña-Vázquez, R.A., Samnegård, U., Schüepp, C., Schweiger, O., Sedlock, J.L., Shahabuddin, G., Sheil, D., Silva, F.A.B., Slade, E.M., Smith-Pardo, A.H., Sodhi, N.S., Somarriba, E.J., Sosa, R.A., Stout, J.C., Struebig, M.J., Sung, Y.-H., Threlfall, C.G., Tonietto, R., Tóthmérész, B., Tscharntke, T., Turner, E.C., Tylianakis, J.M., Vanbergen, A.J., Vassilev, K., Verboven, H.A.F., Vergara, C.H., Vergara, P.M., Verhulst, J., Walker, T.R., Wang, Y., Watling, J.I., Wells, K., Williams, C.D., Willig, M.R., Woinarski, J.C.Z., Wolf, J.H.D., Woodcock, B.A., Yu, D.W., Zaitsev, A.S., Collen, B., Ewers, R.M., Mace, G.M., Purves, D.W., Scharlemann, J.P.W., Purvis, A.","The PREDICTS database: A global database of how local terrestrial biodiversity responds to human impacts",2014,"Ecology and Evolution","4","24",,"4701","4735",,4,10.1002/ece3.1303,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919865419&partnerID=40&md5=1a3578551b8c05d482c24ab728b6eee2",Article,Scopus,2-s2.0-84919865419
"Holst, N., Lang, A., Lövei, G., Otto, M.","Corrigendum to ""Increased mortality is predicted of Inachis io larvae caused by Bt-maize pollen in European farmland"" [Ecol. Model. 250 (2013) 126-133]",2013,"Ecological Modelling","265",,,"250","",,1,10.1016/j.ecolmodel.2013.06.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880973279&partnerID=40&md5=52b91f14465a59ab3d06d547377be2f8",Erratum,Scopus,2-s2.0-84880973279
