Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Marris, C.","The Construction of Imaginaries of the Public as a Threat to Synthetic Biology",2015,"Science as Culture","24","1",,"83","98",,1,10.1080/09505431.2014.986320,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922255744&partnerID=40&md5=6def5288149125da4bcc3a572688e531",Article,Scopus,2-s2.0-84922255744
"Friese, C., Marris, C.","Making De-Extinction Mundane?",2014,"PLoS Biology","12","3", e1001825,"","",,1,10.1371/journal.pbio.1001825,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898998080&partnerID=40&md5=64d134687fb360a5c38fdb03e277caac",Article,Scopus,2-s2.0-84898998080
"Marris, C., Jefferson, C., Lentzos, F.","Negotiating the dynamics of uncomfortable knowledge: The case of dual use and synthetic biology",2014,"BioSocieties","9","4",,"393","420",,,10.1057/biosoc.2014.32,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934283197&partnerID=40&md5=b0a92e05cd24df109844e3e0fed77fbb",Review,Scopus,2-s2.0-84934283197
"Marris, C.","Social sciences and synthetic biology: Opportunities and constraints [Sciences sociales et biologie de synthèse: Opportunités et contraintes]",2013,"Medecine/Sciences","29","SPL.ISSUE 2",,"61","68",,,10.1051/medsci/201329s216,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878916035&partnerID=40&md5=4846235b0d13e712fc5b451bb12c1855",Article,Scopus,2-s2.0-84878916035
"Pottage, A., Marris, C.","The cut that makes a part",2012,"BioSocieties","7","2",,"103","114",,,10.1057/biosoc.2012.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863759519&partnerID=40&md5=dfa32073bd3cd19eae3a796726389666",Review,Scopus,2-s2.0-84863759519
"Marris, C., Rose, N.","Open engagement: Exploring public participation in the biosciences",2010,"PLoS Biology","8","11", e1000549,"","",,32,10.1371/journal.pbio.1000549,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649917590&partnerID=40&md5=bdc7139647c34ae0343c84bfcc5bac51",Editorial,Scopus,2-s2.0-78649917590
"Bonneuil, C., Joly, P.-B., Marris, C.","Disentrenching experiment: The construction of GM-Crop field trials as a social problem",2008,"Science Technology and Human Values","33","2",,"201","229",,26,10.1177/0162243907311263,"http://www.scopus.com/inward/record.url?eid=2-s2.0-39049110056&partnerID=40&md5=54e3ae3830f81eb36961f6ef53634c32",Article,Scopus,2-s2.0-39049110056
"Marris, C., Joly, P.-B., Rip, A.","Interactive technology assessment in the real world: Dual dynamics in an iTA exercise on genetically modified vines",2008,"Science Technology and Human Values","33","1",,"813","836",,7,10.1177/0162243907306195,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37249026714&partnerID=40&md5=b19a2b60941f0db9149dc111c88eeba0",Article,Scopus,2-s2.0-37249026714
"Marris, C., Joly, P.-B., Ronda, S., Bonneuil, C.","How the French GM controversy led to the reciprocal emancipation of scientific expertise and policy making",2005,"Science and Public Policy","32","4",,"301","308",,13,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-26944497174&partnerID=40&md5=e36bb7ac950ae67f54b45513764965bf",Article,Scopus,2-s2.0-26944497174
"Joly, P.-B., Marris, C.","La participation contre la mobilisation ? une analyse comparée du débat sur les OGM en France et au royaume-uni",2003,"Revue Internationale de Politique Comparee","10","2",,"195","206",,10,10.3917/ripc.102.0195,"http://www.scopus.com/inward/record.url?eid=2-s2.0-31344450593&partnerID=40&md5=26271c285832aa5599c100018e4d75e1",Article,Scopus,2-s2.0-31344450593
"Joly, P.-B., Marris, C., Hermitte, M.-A.","In search of ""technological democracy"". Lessons from the consensus conference on GMO's in France [À la recherche d'une « démocratie technique ». Enseignements de la conférence citoyenne sur les OGM en France]",2003,"Natures Sciences Societes","11","1",,"3","15",,12,10.1016/S1240-1307(03)00003-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037803425&partnerID=40&md5=2e727b9b79f6add3a6e0cf6dcecd7def",Article,Scopus,2-s2.0-0037803425
"Marris, C.","The GMO argument: How to analyze the risks? [OGM: Comment analyser les risques?]",2002,"Biofutur",,"218",,"29","32",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036146367&partnerID=40&md5=23b52ac6eeccfbecdba814f66127b54a",Short Survey,Scopus,2-s2.0-0036146367
"Levidow, L., Marris, C.","Science and governance in Europe: Lessons from the case of agricultural biotechnology",2001,"Science and Public Policy","28","5",,"345","360",,72,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035655691&partnerID=40&md5=a6f29a2a06bc6344bba5f148fdfec448",Article,Scopus,2-s2.0-0035655691
"Langford, I.H., Marris, C., McDonald, A.-L., Goldstein, H., Rasbash, J., O'Riordan, T.","Simultaneous analysis of individual and aggregate responses in psychometric data using multilevel modeling",1999,"Risk Analysis","19","4",,"675","683",,20,10.1023/A:1007037720715,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033177987&partnerID=40&md5=0ca886fb9d38c0542cd655d051d51641",Article,Scopus,2-s2.0-0033177987
"Brenot, J., Bonnefous, S., Marris, C.","Testing the cultural theory of risk in France",1998,"Risk Analysis","18","6",,"729","739",,44,10.1023/B:RIAN.0000005919.60392.74,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032430499&partnerID=40&md5=bb073225ae223783f0ca6dacc553d38c",Article,Scopus,2-s2.0-0032430499
"Marris, C., Langford, I.H., O'Riordan, T.","A quantitative test of the cultural theory of risk perceptions: Comparison with the psychometric paradigm",1998,"Risk Analysis","18","5",,"635","647",,128,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032190798&partnerID=40&md5=abf2d21d2bc1d63410ab7f3328af9ae2",Article,Scopus,2-s2.0-0032190798
"Marris, C., Langford, I., Saunderson, T., O'Riordan, T.","Exploring the 'psychometric paradigm': Comparisons between aggregate and individual analyses",1997,"Risk Analysis","17","3",,"303","312",,58,10.1111/j.1539-6924.1997.tb00868.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031171969&partnerID=40&md5=26bdec17dd80c13443265ce62e30857c",Article,Scopus,2-s2.0-0031171969
"Marris, C., Langford, I.","No cause for alarm Claire Morris and Ion Longford",1996,"New Scientist","151","2049",,"36","39",,18,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0003071853&partnerID=40&md5=fabf3672b4a9e5b87100070f466f11ba",Article,Scopus,2-s2.0-0003071853
"Marris, C., Langford, I., O'Riordan, T.","Integrating sociological and psychological approaches to public perceptions of environmental risks: detailed results from a questionnaire survey",1996,"Working Paper - Centre for Social and Economic Research on the Global Environment","GEC 96-07",,,"","",118,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030418298&partnerID=40&md5=5762bc592930c34c3f8575111446cd2a",Article,Scopus,2-s2.0-0030418298
