Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Wroblewski, T., Matvienko, M., Piskurewicz, U., Xu, H., Martineau, B., Wong, J., Govindarajulu, M., Kozik, A., Michelmore, R.W.","Distinctive profiles of small RNA couple inverted repeat-induced post-transcriptional gene silencing with endogenous RNA silencing pathways in Arabidopsis",2014,"RNA","20","12",,"1987","1999",,1,10.1261/rna.046532.114,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911473834&partnerID=40&md5=9ce5b83dfbc37c6a7b740e017cdaeb29",Article,Scopus,2-s2.0-84911473834
"Matvienko, M., Kozik, A., Froenicke, L., Lavelle, D., Martineau, B., Perroud, B., Michelmore, R.","Consequences of Normalizing Transcriptomic and Genomic Libraries of Plant Genomes Using a Duplex-Specific Nuclease and Tetramethylammonium Chloride",2013,"PLoS ONE","8","2", e55913,"","",,11,10.1371/journal.pone.0055913,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873635571&partnerID=40&md5=378112f8c2d4ab38b002c36ae8141a5c",Article,Scopus,2-s2.0-84873635571
"Moore, T., Martineau, B., Bostock, R.M., Lincoln, J.E., Gilchrist, D.G.","Molecular and genetic characterization of ethylene involvement in mycotoxin-induced plant cell death",1999,"Physiological and Molecular Plant Pathology","54","3-4",,"73","85",,31,10.1006/pmpp.1998.0190,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033103010&partnerID=40&md5=b3ec90ae934f5d58278a65f5d68c7ddf",Article,Scopus,2-s2.0-0033103010
"Martineau, B., Summerfelt, K.R., Adams, D.F., DeVerna, J.W.","Production of high solids tomatoes through molecular modification of levels of the plant growth regulator cytokinin",1995,"Bio/Technology","13","3",,"250","254",,17,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028954387&partnerID=40&md5=29f2724e51ce4d0e7e223a93c66e7550",Article,Scopus,2-s2.0-0028954387
"Karrer, E.E., Lincoln, J.E., Hogenhout, S., Bennett, A.B., Bostock, R.M., Martineau, B., Lucas, W.J., Gilchrist, D.G., Alexander, D.","In situ isolation of mRNA from individual plant cells: Creation of cell- specific cDNA libraries",1995,"Proceedings of the National Academy of Sciences of the United States of America","92","9",,"3814","3818",,142,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028999769&partnerID=40&md5=63b10f7cf2b376d2fbd1d253ec79568c",Article,Scopus,2-s2.0-0028999769
"Redenbaugh, K., Hiatt, W., Martineau, B., Lindemann, J., Emlay, D.","Aminoglycoside 3′-phosphotransferase II (APH(3′)II): Review of its safety and use in the production of genetically engineered plants",1994,"Food Biotechnology","8","2-3",,"137","165",,19,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028547492&partnerID=40&md5=f36c4183a13d8e97d7fbf233d381087a",Article,Scopus,2-s2.0-0028547492
"Redenbaugh, K., Hiatt, W., Martineau, B., Emlay, D.","Regulatory assessment of the FLAVR SAVR tomato",1994,"Trends in Food Science and Technology","5","4",,"105","110",,10,10.1016/0924-2244(94)90197-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028008935&partnerID=40&md5=afeb0b7faf2d1a3bc811f3e36b50ffaf",Review,Scopus,2-s2.0-0028008935
"Martineau, B., Houck, C.M., Sheehy, R.E., Hiatt, W.R.","Fruit-specific expression of the A.tumefaciens isopentenyl transferase gene in tomato: Effects on fruit ripening and defense-related gene expression in leaves",1994,"Plant Journal","5","1",,"11","19",,51,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028042797&partnerID=40&md5=a8d49dfc00615303b65263c9fb772950",Article,Scopus,2-s2.0-0028042797
"Pear, J.R., Sanders, R.A., Summerfelt, K.R., Martineau, B., Hiatt, W.R.","Simultaneous inhibition of two tomato fruit cell wall hydrolases, pectinmethylesterase and polygalacturonase, with antisense gene constructs",1993,"Antisense Research and Development","3","2",,"181","190",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027279204&partnerID=40&md5=4496e0cc18a7869f7973ff8a98e112ba",Article,Scopus,2-s2.0-0027279204
"Sanders, R.A., Sheehy, R.E., Martineau, B.","An efficient and reliable method for determining the number of transgenes inserted into transgenic plants",1992,"Plant Molecular Biology Reporter","10","2",,"164","172",,4,10.1007/BF02668343,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51249164559&partnerID=40&md5=8d9552b687e37572676be18615dc9b42",Article,Scopus,2-s2.0-51249164559
