Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Gusberti, M., Klemm, U., Meier, M.S., Maurhofer, M., Hunger-Glaser, I.","Fire blight control: The struggle goes on. a comparison of different fire blight control methods in switzerland with respect to biosafety, efficacy and durability",2015,"International Journal of Environmental Research and Public Health","12","9",,"11422","11447",,,10.3390/ijerph120911422,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941361165&partnerID=40&md5=ea74285e8299c061be562359b1e70536",Article,Scopus,2-s2.0-84941361165
"Meier, M.S., Stoessel, F., Jungbluth, N., Juraske, R., Schader, C., Stolze, M.","Environmental impacts of organic and conventional agricultural products--are the differences captured by life cycle assessment?",2015,"Journal of environmental management","149",,,"193","208",,2,10.1016/j.jenvman.2014.10.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924452806&partnerID=40&md5=09166adf2bbe6383d1950739ae63dca9",Article,Scopus,2-s2.0-84924452806
"Schader, C., Jud, K., Meier, M.S., Kuhn, T., Oehen, B., Gattinger, A.","Quantification of the effectiveness of greenhouse gas mitigation measures in Swiss organic milk production using a life cycle assessment approach",2014,"Journal of Cleaner Production","73",,,"227","235",,3,10.1016/j.jclepro.2013.11.077,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901308344&partnerID=40&md5=2f6a423dec692048fc991a30fc393529",Article,Scopus,2-s2.0-84901308344
"Schader, C., Drapela, T., Markut, T., Meier, M.S., Lindenthal, T., Hörtenhuber, S., Pfiffner, L.","Farm- and product-level biodiversity assessment of conventional and organic dairy production in Austria",2014,"International Journal of Biodiversity Science, Ecosystems Services and Management","10","1",,"20","39",,2,10.1080/21513732.2013.878752,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894045733&partnerID=40&md5=3251027cfa7e11a935e540e2b9c8f9d8",Article,Scopus,2-s2.0-84894045733
"Schader, C., Grenz, J., Meier, M.S., Stolze, M.","Scope and precision of sustainability assessment approaches to food systems",2014,"Ecology and Society","19","3", 42,"","",15,3,10.5751/ES-06866-190342,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911455563&partnerID=40&md5=75004930233a4c5b68007b3c6c9e0c56",Article,Scopus,2-s2.0-84911455563
"Meier, M.S., Trtikova, M., Suter, M., Edwards, P.J., Hilbeck, A.","Simulating evolutionary responses of an introgressed insect resistance trait for ecological effect assessment of transgene flow: A model for supporting informed decision-making in environmental risk assessment",2013,"Ecology and Evolution","3","2",,"416","423",,2,10.1002/ece3.463,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886234122&partnerID=40&md5=88d5b3b26e02dcb0f830586c1f0d48bd",Article,Scopus,2-s2.0-84886234122
"Hilbeck, A., Meier, M., Trtikova, M.","Underlying reasons of the controversy over adverse effects of Bt toxins on lady beetle and lacewing larvae",2012,"Environmental Sciences Europe","24","2", 9,"","",,6,10.1186/2190-4715-24-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864042056&partnerID=40&md5=4a575c7d9e5db3128bcb8196a3c80e53",Review,Scopus,2-s2.0-84864042056
"Hilbeck, A., McMillan, J.M., Meier, M., Humbel, A., Schläpfer-Miller, J., Trtikova, M.","A controversy re-visited: Is the coccinellid Adalia bipunctata adversely affected by Bt toxins?",2012,"Environmental Sciences Europe","24","2", 10,"","",,13,10.1186/2190-4715-24-10,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860158548&partnerID=40&md5=e1dd72dc13f9b8ad405017cb6221727d",Review,Scopus,2-s2.0-84860158548
"Székács, A., Weiss, G., Quist, D., Takács, E., Darvas, B., Meier, M., Swain, T., Hilbeck, A.","Inter-laboratory comparison of Cry1Ab toxin quantification in MON 810 maize by enzyme-immunoassay",2012,"Food and Agricultural Immunology","23","2",,"99","121",,10,10.1080/09540105.2011.604773,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861212362&partnerID=40&md5=c527fa50d5f61cc12dce8471e78ac1ef",Article,Scopus,2-s2.0-84861212362
"Hilbeck, A., Meier, M., Römbke, J., Jänsch, S., Teichmann, H., Tappeser, B.","Environmental risk assessment of genetically modified plants - Concepts and controversies",2011,"Environmental Sciences Europe","23","3", 13,"","",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860779107&partnerID=40&md5=5758d6a8147b76ab154a01a7b9df7d5d",Review,Scopus,2-s2.0-84860779107
