Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hilbeck, A., Binimelis, R., Defarge, N., Steinbrecher, R., Székács, A., Wickson, F., Antoniou, M., Bereano, P.L., Clark, E.A., Hansen, M., Novotny, E., Heinemann, J., Meyer, H., Shiva, V., Wynne, B.","No scientific consensus on GMO safety",2015,"Environmental Sciences Europe","27","1",,"","",6,2,10.1186/s12302-014-0034-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928378128&partnerID=40&md5=d5b48ba33ff30bcffbafa8370c1e2af6",Article,Scopus,2-s2.0-84928378128
"Graef, F., Römbke, J., Binimelis, R., Myhr, A.I., Hilbeck, A., Breckling, B., Dalgaard, T., Stachow, U., Catacora-Vargas, G., Bøhn, T., Quist, D., Darvas, B., Dudel, G., Oehen, B., Meyer, H., Henle, K., Wynne, B., Metzger, M.J., Knäbe, S., Settele, J., Székács, A., Wurbs, A., Bernard, J., Murphy-Bokern, D., Buiatti, M., Giovannetti, M., Debeljak, M., Andersen, E., Paetz, A., Dzeroski, S., Tappeser, B., van Gestel, C.A.M., Wosniok, W., Séralini, G.-E., Aslaksen, I., Pesch, R., Maly, S., Werner, A.","A framework for a European network for a systematic environmental impact assessment of genetically modified organisms (GMO)",2012,"BioRisk",,"7",,"73","97",,4,10.3897/biorisk.7.1969,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873568185&partnerID=40&md5=f524d14eadbf7d3786347bf426aeb8fb",Article,Scopus,2-s2.0-84873568185
"Meyer, H.","Systemic risks of genetically modified crops: The need for new approaches to risk assessment",2011,"Environmental Sciences Europe","23","2", 7,"","",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867205094&partnerID=40&md5=f0b49b39c8c40539f9a3e2ddca29536d",Review,Scopus,2-s2.0-84867205094
"Meyer, H.","Systemic risks of genetically modified crops: The need for new approaches to risk assessment",2011,"Environmental Sciences Europe","23","1",,"","",,4,10.1186/2190-4715-23-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79958232056&partnerID=40&md5=93b31112e40529454a30e7e83fbfa9a3",Review,Scopus,2-s2.0-79958232056
"Meyer, H., Heinrich, A.B.","European network of scientists for social and environmental responsibility (ENSSER)",2010,"Umweltwissenschaften und Schadstoff-Forschung","22","5",,"513","516",,,10.1007/s12302-010-0157-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79954630038&partnerID=40&md5=b3cb5e4c3f914c4ab5cfadbb63868851",Short Survey,Scopus,2-s2.0-79954630038
"Johnson, J.A., Meyer, H.R., Vidyasagar, M.","Characterization of surface soils at a former uranium mill",2006,"Health Physics","90","2 SUPPL. 1",,"S29","S32",,1,10.1097/01.HP.0000189922.22180.83,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644819110&partnerID=40&md5=d3c6609862a763f5423a5011518f0b1e",Article,Scopus,2-s2.0-33644819110
"Chen, S.Y., Moeller, D.W., Dornsife, W.P., Meyer, H.R., LaMastra, A., Lubenau, J.O., Strom, D.J., Yusko, J.G.","Toward the framework and implementation for clearance of materials from regulated facilities",2005,"Health Physics","89","2",,"115","126",,3,10.1097/01.HP.0000156953.75493.db,"http://www.scopus.com/inward/record.url?eid=2-s2.0-22244462376&partnerID=40&md5=064de63edfd4695a9582d069ced20f4b",Review,Scopus,2-s2.0-22244462376
"Chen, S.-Y., Dornsife, W.P., Meyer, H.R., LaMastra, A., Moeller, D.W., Strom, D.J., Yusko, J.G., Lubenau, J.O., Ryan, M.T., Kennedy Jr., W.E., Turner, R., Nieves, L.A., Whipple, C.G., White, E.I., O'Brien, C.L., Tenforde, T.S.","Managing potentially radioactive scrap metal",2002,"NCRP Report",,"141",,"i","201",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-17444447732&partnerID=40&md5=f5491d07b6b0d7a036f27f312501eac0",Review,Scopus,2-s2.0-17444447732
"Till, J.E., Rood, A.S., Voilleque, P.G., McGavran, P.D., Meyer, K.R., Grogan, H.A., Sinclair, W.K., Aanenson, J.W., Meyer, H.R., Mohler, H.J., Rope, S.K., Case, M.J.","Risks to the public from historical releases of radionuclides and chemicals at the Rocky Flats Environmental Technology Site",2002,"Journal of Exposure Analysis and Environmental Epidemiology","12","5",,"355","372",,4,10.1038/sj.jea.7500237,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18544381531&partnerID=40&md5=ccdfc5b508073dbdc286a688999d80c4",Article,Scopus,2-s2.0-18544381531
"Meyer, H.","The Cartagena Protocol on Biosafety",2000,"Biotechnology and Development Monitor",,"43",,"2","7",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0347607032&partnerID=40&md5=e22aa13fc8379eaceed4691121379f95",Article,Scopus,2-s2.0-0347607032
"Meyer, H.","Precise precaution versus sloppy science",1999,"Bulletin of Science, Technology and Society","19","2",,"91","95",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0008448405&partnerID=40&md5=87a3a8bbbc74181d803f6d821d275a71",Article,Scopus,2-s2.0-0008448405
"Meyer, H., Wolters, V.","Ecological effects of the use of broad-spectrum herbicides in herbicide-resistant transgenic crops [Okologische Auswirkungen des Einsatzes von Totalherbiziden in herbizidresistenten transgenen Kulturen]",1997,"Verhandlungen der Gesellschaft fur Okologie","28",,,"337","344",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031545537&partnerID=40&md5=aa17c92967828f2343e6f635c6924a92",Article,Scopus,2-s2.0-0031545537
"Miller, C.W., Meyer, H.R.","Estimated doses and risks resulting from routine radionuclide releases from fast breeder reactor fuel cycle facilities: A summary",1986,"Nuclear Safety","27","1",,"28","35",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022578391&partnerID=40&md5=0262570bf3f1489c47900ccab0be2eb8",Article,Scopus,2-s2.0-0022578391
"Travis, C.C., Etnier, E.L., Meyer, H.R.","Health risks of residential wood heat",1985,"Environmental Management","9","3",,"209","215",,4,10.1007/BF01867077,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022061185&partnerID=40&md5=9adf09caef7ebb7a840a6d4ef5c6d1b9",Article,Scopus,2-s2.0-0022061185
