Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"van Zwanenberg, P., Millstone, E.","Taste and Power: The Flavouring Industry and Flavour Additive Regulation",2015,"Science as Culture","24","2",,"129","156",,,10.1080/09505431.2014.937686,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931475668&partnerID=40&md5=4d463df78b490533d0bfef2e2b214a5e",Article,Scopus,2-s2.0-84931475668
"van Zwanenberg, P., Millstone, E.","Taste and Power: The Flavouring Industry and Flavour Additive Regulation",2014,"Science as Culture",,,,"","",,,10.1080/09505431.2014.937686,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906721504&partnerID=40&md5=44565adc4d271f411b10b14494088578",Article in Press,Scopus,2-s2.0-84906721504
"Holdsworth, M., El Ati, J., Bour, A., Kameli, Y., Derouiche, A., Millstone, E., Delpeuch, F.","Developing national obesity policy in middle-income countries: A case study from North Africa",2013,"Health Policy and Planning","28","8",,"858","870",,6,10.1093/heapol/czs125,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890488342&partnerID=40&md5=6de08983fc138fd449bedeedc7217f7c",Article,Scopus,2-s2.0-84890488342
"Kashani, E.S., Millstone, E.","Contested framings and policy controversies: Analysing biosafety policy-making in Iran",2013,"Science and Public Policy","40","5", sct015,"616","627",,,10.1093/scipol/sct015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885779113&partnerID=40&md5=bf653b56be0e144bdb44b1c194b17241",Article,Scopus,2-s2.0-84885779113
"Millstone, E.","Science and decision-making: Can we both distinguish and reconcile science and politics?",2013,"Trade, Health and the Environment: The European Union Put to the Test",,,,"47","73",,,10.4324/9781315886787,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925766672&partnerID=40&md5=5728a47e31972131a29704105ee820a1",Book Chapter,Scopus,2-s2.0-84925766672
"Millstone, E.","Chronic hunger: A problem of scarcity or inequity?",2013,"The Limits to Scarcity: Contesting the Politics of Allocation",,,,"179","194",,,10.4324/9781849775465,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925709991&partnerID=40&md5=fb0612f09ea965576bd91cba5c59d675",Book Chapter,Scopus,2-s2.0-84925709991
"Leach, M., Rockström, J., Raskin, P., Scoones, I., Stirling, A.C., Smith, A., Thompson, J., Millstone, E., Ely, A., Arond, E., Folke, C., Olsson, P.","Transforming innovation for sustainability",2012,"Ecology and Society","17","2",,"","",,36,org/10.5751/ES-04933-170211,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864429099&partnerID=40&md5=67a64bfc3cc816ffb874ac943e4048d1",Article,Scopus,2-s2.0-84864429099
"Sutherland, W.J., Bellingan, L., Bellingham, J.R., Blackstock, J.J., Bloomfield, R.M., Bravo, M., Cadman, V.M., Cleevely, D.D., Clements, A., Cohen, A.S., Cope, D.R., Daemmrich, A.A., Devecchi, C., Anadon, L.D., Denegri, S., Doubleday, R., Dusic, N.R., Evans, R.J., Feng, W.Y., Godfray, H.C.J., Harris, P., Hartley, S.E., Hester, A.J., Holmes, J., Hughes, A., Hulme, M., Irwin, C., Jennings, R.C., Kass, G.S., Littlejohns, P., Marteau, T.M., McKee, G., Millstone, E.P., Nuttall, W.J., Owens, S., Parker, M.M., Pearson, S., Petts, J., Ploszek, R., Pullin, A.S., Reid, G., Richards, K.S., Robinson, J.G., Shaxson, L., Sierra, L., Smith, B.G., Spiegelhalter, D.J., Stilgoe, J., Stirling, A., Tyler, C.P., Winickoff, D.E., Zimmern, R.L.","A collaboratively-derived science-policy research agenda",2012,"PLoS ONE","7","3", e31824,"","",,22,10.1371/journal.pone.0031824,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861027881&partnerID=40&md5=86287df8112ac4670070ab7e19872630",Article,Scopus,2-s2.0-84861027881
"Millstone, E.","The role of business in public health",2011,"The Lancet","377","9770",,"996","",,,10.1016/S0140-6736(11)60387-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952753370&partnerID=40&md5=f9647fcc91fa5ad51ef396cd4ce3f134",Letter,Scopus,2-s2.0-79952753370
"Millstone, E., Van Zwanenberg, P., Marshall, F.","Monitoring and Evaluating Agricultural Science and Technology Projects: Theories, Practices and Problems",2010,"IDS Bulletin","41","6",,"75","87",,5,10.1111/j.1759-5436.2010.00185.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649539735&partnerID=40&md5=11b41c6574bcaf8dce965f73768a2454",Article,Scopus,2-s2.0-78649539735
