Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Schader, C., Lampkin, N., Muller, A., Stolze, M.","The role of multi-target policy instruments in agri-environmental policy mixes",2014,"Journal of Environmental Management","145",,,"180","190",,1,10.1016/j.jenvman.2014.06.016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904416394&partnerID=40&md5=4d42a2767718bc0833401dab7dda3df6",Article,Scopus,2-s2.0-84904416394
"Polk, A., Schmutzler, A., Muller, A.","Lobbying and the power of multinational firms",2014,"European Journal of Political Economy","36",,,"209","227",,,10.1016/j.ejpoleco.2014.07.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907559665&partnerID=40&md5=b5c07f77ddd4a735f3e1ed279702f6f9",Article,Scopus,2-s2.0-84907559665
"Skinner, C., Gattinger, A., Muller, A., Mäder, P., Fliebach, A., Stolze, M., Ruser, R., Niggli, U.","Greenhouse gas fluxes from agricultural soils under organic and non-organic management - A global meta-analysis",2014,"Science of the Total Environment","468-469",,,"553","563",,11,10.1016/j.scitotenv.2013.08.098,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884372638&partnerID=40&md5=39b92c883b0911c543e0335591de9886",Article,Scopus,2-s2.0-84884372638
"Muller, A.","Sustainable Farming of Bioenergy Crops",2014,"Bioenergy Research: Advances and Applications",,,,"407","417",,1,10.1016/B978-0-444-59561-4.00023-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903111194&partnerID=40&md5=47cc8c141aca66b98c79ef9f6b4c0307",Book Chapter,Scopus,2-s2.0-84903111194
"Muller, A., Aubert, C.","The potential of organic agriculture to mitigate the influence of agriculture on global warming - A review",2013,"Organic Farming, Prototype for Sustainable Agricultures: Prototype for Sustainable Agricultures",,,,"239","259",,,10.1007/978-94-007-7927-3_13,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929907784&partnerID=40&md5=f6e924e18e0ef83e2ab828ea4ff14b2f",Book Chapter,Scopus,2-s2.0-84929907784
"Gattinger, A., Muller, A., Haeni, M., Skinner, C., Fließbach, A., Buchmann, N., Mäder, P., Stolze, M., Smith, P., El-Hage Scialabba, N., Niggli, U.","Reply to Leifeld et al.: Enhanced top soil carbon stocks under organic farming is not equated with climate change mitigation",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","11",,"","",,3,10.1073/pnas.1221886110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875031136&partnerID=40&md5=cd3f2323df633d67e9f96ef77b4d3124",Letter,Scopus,2-s2.0-84875031136
"Muller, A.","Agricultural land management, carbon reductions and climate policy for agriculture",2012,"Carbon Management","3","6",,"641","654",,,10.4155/cmt.12.64,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871087247&partnerID=40&md5=31b4645aa04e79fc51b6e80f92453c97",Review,Scopus,2-s2.0-84871087247
"Muller, A., Löfgren, A., Sterner, T.","Decoupling: Is there a separate contribution from environmental taxation?",2012,"Handbook of Research on Environmental Taxation",,,,"343","359",,,10.4337/9781848449978.00030,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881804455&partnerID=40&md5=9bbb417b132afddb96ac543b432d815f",Book Chapter,Scopus,2-s2.0-84881804455
"Gattinger, A., Muller, A., Haeni, M., Skinner, C., Fliessbach, A., Buchmann, N., Mäder, P., Stolze, M., Smith, P., Scialabba, N.E.-H., Niggli, U.","Enhanced top soil carbon stocks under organic farming",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","44",,"18226","18231",,63,10.1073/pnas.1209429109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84868146103&partnerID=40&md5=ea14e300bdbc48f4a9bce139e432f859",Article,Scopus,2-s2.0-84868146103
"Ssekyewa, C., George, F., Muller, A.","Research needs for development of organic agriculture in sub-saharan africa",2012,"Organic Agriculture for Sustainable Livelihoods",,,,"246","269",,,10.4324/9780203124680,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921265679&partnerID=40&md5=9f0548fc33c92376851ed3d117dd9f70",Book Chapter,Scopus,2-s2.0-84921265679
"Halberg, N., Muller, A.","Organic agriculture, livelihoods and development",2012,"Organic Agriculture for Sustainable Livelihoods",,,,"1","20",,2,10.4324/9780203124680,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921292875&partnerID=40&md5=a40ba0d27c22c2163ff107b02a96cc94",Book Chapter,Scopus,2-s2.0-84921292875
"Halberg, N., Muller, A.","Organic agriculture for sustainable livelihoods",2012,"Organic Agriculture for Sustainable Livelihoods",,,,"1","280",,,10.4324/9780203128480,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921271548&partnerID=40&md5=20ad90707cbfdd9bb012a99c95568d42",Book,Scopus,2-s2.0-84921271548
