Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Valdez-Hernández, M., Sánchez, O., Islebe, G.A., Snook, L.K., Negreros-Castillo, P.","Recovery and early succession after experimental disturbance in a seasonally dry tropical forest in Mexico",2014,"Forest Ecology and Management","334",,,"331","343",,1,10.1016/j.foreco.2014.09.018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907857636&partnerID=40&md5=25ad45a37aa6e427968f8c48f3e69602",Article,Scopus,2-s2.0-84907857636
"Cruz-Márquez, U., Negreros-Castillo, P., López-Binnqüist, C., Mize, C.W.","Growth and production of Trema micrantha (L.) Blume, Tree used for Amate paper [Crecimiento y producción de Trema micrantha (L.) Blume, Árbol para papel amate]",2014,"Revista Chapingo, Serie Ciencias Forestales y del Ambiente","20","1",,"131","142",,,10.5154/r.rchscfa.2013.07.024,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899862980&partnerID=40&md5=243401bdebca17675637804008e8278a",Article,Scopus,2-s2.0-84899862980
"Negreros-Castillo, P., Mize, C.W.","Mahogany growth and mortality and the relation of growth to site characteristics in a natural forest in Quintana Roo, Mexico",2014,"Forest Science","60","5",,"907","913",,1,10.5849/forsci.14-031,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907256762&partnerID=40&md5=8a6f6ba958375ddfed97054d5bfb4f66",Article,Scopus,2-s2.0-84907256762
"Negreros-Castillo, P., Mize, C.W.","Soil-site preferences for mahogany (Swietenia macrophylla King) in the Yucatan Peninsula",2013,"New Forests","44","1",,"85","99",,1,10.1007/s11056-011-9303-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871653866&partnerID=40&md5=596504aab907af4f3a8e4b61a507e635",Article,Scopus,2-s2.0-84871653866
"Rodríguez-Morelos, V.H., Soto-Estrada, A., Pérez-Moreno, J., Negreros-Castillo, P.","Arbuscular mycorrhizal fungi and their involvement in the production and management of neotropical forest species with emphasis on Meliaceae [Los hongos micorrízicos arbusculares y su implicación en la producción y manejo de especies neotropicales forestales, con énfasis en meliáceas]",2011,"Interciencia","36","8",,"564","569",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051967140&partnerID=40&md5=c968d24026631781b02d6b036be95eec",Article,Scopus,2-s2.0-80051967140
"Negreros-Castillo, P., Apodaca-Martinez, M., Mize, C.W.","Effect of substrate and density on the quality of seedlings of Mexican cedar, mahogany and roble (Tabebuia) [Efecto de sustrato y densidad en la calidad de plántulas de cedro, caoba y roble]",2010,"Madera Bosques","16","2",,"7","18",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956051496&partnerID=40&md5=b3c62b876b52560fb81553d080af2de2",Article,Scopus,2-s2.0-79956051496
"Negreros-Castillo, P., Mize, C.W.","Regeneration of mahogany and Spanish cedar in gaps created by railroad tie extraction in Quintana Roo, Mexico",2008,"Forest Ecology and Management","255","2",,"308","312",,5,10.1016/j.foreco.2007.09.052,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38949193497&partnerID=40&md5=808767dde38d25e7146d6d14e6c5d052",Article,Scopus,2-s2.0-38949193497
"Mize, C., Negreros-Castillo, P.","Stand and species growth of a tropical forest in Quintana Roo, Mexico",2006,"Journal of Sustainable Forestry","23","3",,"83","95",,1,10.1300/J091v23n03_04,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33947140636&partnerID=40&md5=eb94e035584820f5108284712ad59cc5",Article,Scopus,2-s2.0-33947140636
"Snook, L.K., Negreros-Castillo, P.","Regenerating mahogany (Swietenia macrophylla King) on clearings in Mexico's Maya forest: The effects of clearing method and cleaning on seedling survival and growth",2004,"Forest Ecology and Management","189","1-3",,"143","160",,29,10.1016/j.foreco.2003.07.038,"http://www.scopus.com/inward/record.url?eid=2-s2.0-1242300178&partnerID=40&md5=b4186893b85d249ef9a19c0a1283cb8a",Article,Scopus,2-s2.0-1242300178
"Negreros-Castillo, P., Snook, L.K., Mize, C.W.","Regenerating mahogany (Swietenia macrophylla) from seed in Quintana Roo, Mexico: The effects of sowing method and clearing treatment",2003,"Forest Ecology and Management","183","1-3",,"351","362",,21,10.1016/S0378-1127(03)00143-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0042694854&partnerID=40&md5=04ce4859563f7137169c6b8b9205ce3f",Article,Scopus,2-s2.0-0042694854
"Bray, D.B., Merino-Pérez, L., Negreros-Castillo, P., Segura-Warnholtz, G., Torres-Rojo, J.M., Vester, H.F.M.","Mexico's community-managed forests as a global model for sustainable landscapes",2003,"Conservation Biology","17","3",,"672","677",,142,10.1046/j.1523-1739.2003.01639.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037904389&partnerID=40&md5=5c6e2e9e21fdc595723c718841f9fee6",Review,Scopus,2-s2.0-0037904389
