Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ngai, P., Yuan, S., Yuhua, G., Huilin, L., Chan, J., Selden, M.","Worker-intellectual unity: Trans-border sociological intervention in Foxconn",2014,"Current Sociology","62","2",,"209","222",,3,10.1177/0011392113514892,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894591197&partnerID=40&md5=9df30e614a305d87cac5b080e7a80af8",Article,Scopus,2-s2.0-84894591197
"Ngai, P., Chan, J.","Global Capital, the State, and Chinese Workers: The Foxconn Experience",2012,"Modern China","38","4",,"383","410",,23,10.1177/0097700412447164,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863192663&partnerID=40&md5=283c7a820271af1d9dc33ed91f0c7024",Article,Scopus,2-s2.0-84863192663
"Ngai, P.","Gender and class: Women's working lives in a dormitory labor regime in china",2012,"International Labor and Working-Class History","81","1",,"178","181",,,10.1017/S0147547912000129,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864628568&partnerID=40&md5=074192a80ca9368127b6e75b79851d5d",Article,Scopus,2-s2.0-84864628568
"Ngai, P., Angelina, Y.-T.W.-K.","The challenges of corporate social responsibility (CSR) multi-stakeholder practices: Searching for a new occupational social work model in China",2011,"China Journal of Social Work","4","1",,"57","68",,2,10.1080/17525098.2011.563946,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956082337&partnerID=40&md5=adeb8a19bc4873c9ca3683d1acfb9edb",Article,Scopus,2-s2.0-79956082337
"Ngai, P., Huilin, L.","Unfinished proletarianization: Self, anger, and class action among the second generation of peasant-workers in present-day China",2010,"Modern China","36","5",,"493","519",,48,10.1177/0097700410373576,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955208561&partnerID=40&md5=4a6e7f6282f8c96a5d80e19eeb3c1d43",Article,Scopus,2-s2.0-77955208561
"Ngai, P., Huilin, L.","A culture of violence: The labor subcontracting system and collective action by construction workers in post-socialist China",2010,"China Journal",,"64",,"143","158",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954809412&partnerID=40&md5=161ff09008256c2fdb3f365c7512616b",Article,Scopus,2-s2.0-77954809412
"Chan, C.K.-C., Ngai, P.","The making of a new working class? A study of collective actions of migrant workers in South China",2009,"China Quarterly",,"198",,"287","303",,45,10.1017/S0305741009000319,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67949099187&partnerID=40&md5=e4aa691546b69d200352b547af9efe4e",Article,Scopus,2-s2.0-67949099187
"Nang, L.P., Ngai, P.","The radicalisation of the New Chinese Working Class: A case study of collective action in the gemstone industry",2009,"Third World Quarterly","30","3",,"551","565",,17,10.1080/01436590902742321,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67650718425&partnerID=40&md5=3af40ab87e31960b10bbdbf05aa01dd5",Article,Scopus,2-s2.0-67650718425
"Ngai, P.","Light and shadow of an inarticulate age: Reflections on China's reform",2008,"Economic and Political Weekly","43","52",,"70","76",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875503820&partnerID=40&md5=73bddb3a0ecb8f3b98a1cb8615f600f5",Article,Scopus,2-s2.0-84875503820
"Ngai, P., Chan, C.K.-C.","The subsumption of class discourse in China",2008,"Boundary 2","35","2",,"75","91",,17,10.1215/01903659-2008-004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65849217603&partnerID=40&md5=2e61156d26291bbc14a3c621b6c057a0",Article,Scopus,2-s2.0-65849217603
"Ngai, P.","Capital's incorporation of labor rights and corporate codes of conduct in a Chinese dormitory labor regime",2006,"How China Works: Perspectives on the Twentieth-Century Industrial Workplace",,,,"110","123",,,10.4324/9780203968833,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84917382867&partnerID=40&md5=bb1d292968615be4a30ae02e3be309d2",Book Chapter,Scopus,2-s2.0-84917382867
"Ngai, P.","Global production, company codes of conduct, and labor conditions in China: A case study of two factories",2005,"China Journal",,"54",,"101","113",,25,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-23844443471&partnerID=40&md5=6f36dd22726f6614625dfb8251af50e5",Article,Scopus,2-s2.0-23844443471
"Ngai, P.","Women workers and precarious employment in Shenzhen Special Economic Zone, China",2004,"Gender and Development","12","2",,"29","36",,23,10.1080/13552070412331332170,"http://www.scopus.com/inward/record.url?eid=2-s2.0-4344602329&partnerID=40&md5=935b3b128f97c02a617f824e9d739cf5",Article,Scopus,2-s2.0-4344602329
"Ngai, P.","Subsumption or Consumption? The Phantom of Consumer Revolution in ""Globalizing"" China",2003,"Cultural Anthropology","18","4",,"469","492",,77,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0347884139&partnerID=40&md5=d96c9b4bd3087a967f1176ef0a71946d",Review,Scopus,2-s2.0-0347884139
"Ngai, P.","Am I the only survivor? Global capital, local gaze, and social trauma in China",2002,"Public Culture","14","2",,"341","347",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035998714&partnerID=40&md5=3193d47218d93960fb62c5400f23d59b",Article,Scopus,2-s2.0-0035998714
"Ngai, P.","Becoming Dagongmei (working girls): The politics of identity and difference in reform China",1999,"China Journal",,"42",,"","",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0346613563&partnerID=40&md5=f742766ec221a32496255fcea59ab0b6",Article,Scopus,2-s2.0-0346613563
