Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Nigh, R., González Cabañas, A.A.","Reflexive Consumer Markets as Opportunities for New Peasant Farmers in Mexico and France: Constructing Food Sovereignty Through Alternative Food Networks",2015,"Agroecology and Sustainable Food Systems","39","3",,"317","341",,,10.1080/21683565.2014.973545,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924577906&partnerID=40&md5=362e6f0c8f545fda02039dd267a93394",Article,Scopus,2-s2.0-84924577906
"Nigh, R., Diemont, S.A.W.","The Maya milpa: Fire and the legacy of living soil",2013,"Frontiers in Ecology and the Environment","11","SUPPL. 1",,"e45","e54",,7,10.1890/120344,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883209468&partnerID=40&md5=78679e3e3980e77e5576b7dba86e1487",Review,Scopus,2-s2.0-84883209468
"Ford, A., Nigh, R.","Climate change in the ancient maya forest resilience and adaptive management across millennia",2013,"The Great Maya Droughts in Cultural Context: Case Studies in Resilience and Vulnerability",,,,"87","106",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942418804&partnerID=40&md5=ca1283978734bd22fad205b325aed01b",Book Chapter,Scopus,2-s2.0-84942418804
"Lin, B.B., Chappell, M.J., Vandermeer, J., Smith, G., Quintero, E., Bezner-Kerr, R., Griffith, D.M., Ketcham, S., Latta, S.C., Mcmichael, P., Mcguire, K.L., Nigh, R., Rocheleau, D., Soluri, J., Perfecto, I.","Effects of industrial agriculture on climate change and the mitigation potential of small-scale agro-ecological farms",2011,"CAB Reviews: Perspectives in Agriculture, Veterinary Science, Nutrition and Natural Resources","6",, 20,"1","18",,10,10.1079/PAVSNNR20116020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052496089&partnerID=40&md5=df671f4d76592d6bc1a054f386089df8",Review,Scopus,2-s2.0-80052496089
"Chazdon, R.L., Harvey, C.A., Komar, O., Griffith, D.M., Ferguson, B.G., Martínez-Ramos, M., Morales, H., Nigh, R., Soto-Pinto, L., Van Breugel, M., Philpott, S.M.","Beyond reserves: A research agenda for conserving biodiversity in human-modified tropical landscapes",2009,"Biotropica","41","2",,"142","153",,158,10.1111/j.1744-7429.2008.00471.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-61549121006&partnerID=40&md5=188b03d7bb8b4da4808315aa7fb5694f",Review,Scopus,2-s2.0-61549121006
"Ford, A., Nigh, R.","Origins of the Maya Forest Garden: Maya resource management",2009,"Journal of Ethnobiology","29","2",,"213","236",,30,10.2993/0278-0771-29.2.213,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952951439&partnerID=40&md5=e3fc8c85b0f0f7d4d5e5a8f8ef7d3339",Article,Scopus,2-s2.0-77952951439
"Nigh, R.","Trees, fire and farmers: Making woods and soil in the Maya forest",2008,"Journal of Ethnobiology","28","2",,"231","243",,5,10.2993/0278-0771-28.2.231,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70049097837&partnerID=40&md5=9c63558bc6e665a3dbbc80ff8aa4959e",Article,Scopus,2-s2.0-70049097837
"Harvey, C.A., Komar, O., Chazdon, R., Ferguson, B.G., Finegan, B., Griffith, D.M., Martínez-Ramos, M., Morales, H., Nigh, R., Soto-Pinto, L., Van Breugel, M., Wishnie, M.","Integrating agricultural landscapes with biodiversity conservation in the Mesoamerican hotspot",2008,"Conservation Biology","22","1",,"8","15",,132,10.1111/j.1523-1739.2007.00863.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38849106848&partnerID=40&md5=b6bf3b764a7f3f8b4c1ecf06544debba",Review,Scopus,2-s2.0-38849106848
"Diemont, S.A.W., Martin, J.F., Levy-Tacher, S.I., Nigh, R.B., Lopez, P.R., Golicher, J.D.","Lacandon Maya forest management: Restoration of soil fertility using native tree species",2006,"Ecological Engineering","28","3 SPEC. ISS.",,"205","212",,33,10.1016/j.ecoleng.2005.10.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845346422&partnerID=40&md5=d6cf12f08190b7fdeacc194163a6dc28",Article,Scopus,2-s2.0-33845346422
"Romero-Balderas, K.G., Naranjo, E.J., Morales, H.H., Nigh, R.B.","Damages caused by wild vertebrate species in corn crops at the Lacandon Forest, Chiapas, Mexico [Daños ocasionados por vertebrados silvestres al cultivo de maíz en la selva Lacandona, Chiapas, México]",2006,"Interciencia","31","4",,"","",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33749065090&partnerID=40&md5=5ecb510357b763cd106bfdc123b4bc15",Article,Scopus,2-s2.0-33749065090
