Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Scherer, R.F., Olkoski, D., Souza, F.V.D., Nodari, R.O., Guerra, M.P.","Gigante de Tarauacá: A triploid pineapple from Brazilian Amazonia",2015,"Scientia Horticulturae","181",,,"1","3",,1,10.1016/j.scienta.2014.10.052,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910014906&partnerID=40&md5=31d1c58cec6d079515d7cbd18f22fb20",Article,Scopus,2-s2.0-84910014906
"Agapito-Tenfen, S.Z., de Mesquita Dantas, A.C., Denardi, F., Nodari, R.O.","Identification of the Er1 resistence gene and RNase S-alleles in Malus prunifolia var. ringo rootstock",2015,"Scientia Agricola","72","1",,"62","68",,,10.1590/0103-9016-2013-0210,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921450364&partnerID=40&md5=0d0dc5462e8669aaf215d2d4ba7d70da",Article,Scopus,2-s2.0-84921450364
"Donazzolo, J., Ornellas, T.S., Bizzocchi, L., Vilperte, V., Nodari, R.O.","The cold storage prolongs the viability of Feijoa seeds [O armazenamento refrigerado prolonga a viabilidade de sementes de goiabeira-serrana]",2015,"Revista Brasileira de Fruticultura","37","3",,"748","754",,,10.1590/0100-2945-179/14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945176048&partnerID=40&md5=308db4721b5d559a391709d27fdd9178",Article,Scopus,2-s2.0-84945176048
"Nodari, R.O., Guerra, M.P.","A agroecologia: Estratégias de pesquisa e valores",2015,"Estudos Avancados","29","83",,"183","207",,1,10.1590/S0103-40142015000100010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930791709&partnerID=40&md5=1fef63233630e380dbda57e25c9aa072",Article,Scopus,2-s2.0-84930791709
"Holderbaum, D.F., Cuhra, M., Wickson, F., Orth, A.I., Nodari, R.O., Bøhn, T.","Chronic Responses of Daphnia magna under Dietary Exposure to Leaves of a Transgenic (Event MON810) Bt-Maize Hybrid and its Conventional Near-Isoline",2015,"Journal of Toxicology and Environmental Health - Part A: Current Issues","78","15",,"993","1007",,,10.1080/15287394.2015.1037877,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939526200&partnerID=40&md5=364251d7fdc8ea4a3e9dd3b79d286856",Article,Scopus,2-s2.0-84939526200
"Vieira, L.D.N., Faoro, H., Rogalski, M., De Freitas Fraga, H.P., Cardoso, R.L.A., De Souza, E.M., De Oliveira Pedrosa, F., Nodari, R.O., Guerra, M.P.","The complete chloroplast genome sequence of Podocarpus lambertii: Genome structure, evolutionary aspects, gene content and SSR detection",2014,"PLoS ONE","9","3", e90618,"","",,2,10.1371/journal.pone.0090618,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897059297&partnerID=40&md5=1a7b3b72fdef3914fcc72a8e7fed7227",Article,Scopus,2-s2.0-84897059297
"Vieira, L.D.N., Faoro, H., De Freitas Fraga, H.P., Rogalski, M., De Souza, E.M., De Oliveira Pedrosa, F., Nodari, R.O., Guerra, M.P.","An improved protocol for intact chloroplasts and cpDNA isolation in conifers",2014,"PLoS ONE","9","1", e84792,"","",,4,10.1371/journal.pone.0084792,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894280196&partnerID=40&md5=99c36ce5ee514f00efbf9b6c540290ed",Article,Scopus,2-s2.0-84894280196
"Raimondi, J.V., Marschalek, R., Nodari, R.O.","Genetic base of paddy rice cultivars of southern brazil [Base genética das cultivares de arroz irrigado do sul do brasil]",2014,"Crop Breeding and Applied Biotechnology","14","3",,"194","199",,,10.1590/1984-70332014v14n3a29,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908317929&partnerID=40&md5=fd84794c9e03bb2cfa9967fbcec93a0f",Article,Scopus,2-s2.0-84908317929
"Klabunde, G.H.F., Dalbó, M.A., Nodari, R.O.","Dna fngerprinting of japanese plum (prunus salicina) cultivars based on microsatellite markers [Dna fngerprinting de cultivares de ameixeira japonesa (prunus salicina) por marcadores microssatélites]",2014,"Crop Breeding and Applied Biotechnology","14","3",,"139","145",,,10.1590/1984-70332014v14n3a21,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908332385&partnerID=40&md5=4bb11d668baeea7aa6b32206f0a4a7e7",Article,Scopus,2-s2.0-84908332385
"Bertoldo, J.G., Coimbra, J.L.M., Guidolin, A.F., de Andrade, L.R.B., Nodari, R.O.","Agronomic potential of genebank landrace elite accessions for common bean genetic breeding",2014,"Scientia Agricola","71","2",,"120","125",,,10.1590/S0103-90162014000200005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898911108&partnerID=40&md5=1452bef681adf7b69eeb70241daa5ff2",Article,Scopus,2-s2.0-84898911108
"Klabunde, G.H.F., Olkoski, D., Vilperte, V., Zucchi, M.I., Nodari, R.O.","Characterization of 10 new nuclear microsatellite markers in Acca Sellowiana (Myrtaceae)",2014,"Applications in Plant Sciences","2","6", 1400020,"","",,,10.3732/apps.1400020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946600894&partnerID=40&md5=dff5d4a6fa792328fdf275da8ce05274",Article,Scopus,2-s2.0-84946600894
"Bertoldo, J.G., Nodari, R.O., Coimbra, J.L.M., Guidolin, A.F., Toaldo, D., De Morais, P.P.P., Elias, H.T.","Genetic progress of black bean (Phaseolus vulgaris L.) over seven years",2014,"Interciencia","39","1",,"24","31",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894258022&partnerID=40&md5=43283d7890866961564b2e01bb33b609",Article,Scopus,2-s2.0-84894258022
"Agapito-Tenfen, S.Z., Guerra, M.P., Wikmark, O.-G., Nodari, R.O.","Comparative proteomic analysis of genetically modified maize grown under different agroecosystems conditions in Brazil",2013,"Proteome Science","11","1", 46,"","",,3,10.1186/1477-5956-11-46,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888802036&partnerID=40&md5=3fc87de96c0ac527ac31adf8dd758109",Article,Scopus,2-s2.0-84888802036
"Nerling, D., Coelho, C.M.M., Nodari, R.O.","Genetic diversity for physiological quality of seeds from corn (Zea mays L.) intervarietal crossbreeds [Diversidade genética para qualidade fisiológica de sementes produzidas por cruzamentos intervarietais de milho (Zea mays L.)]",2013,"Journal of Seed Science","35","4",,"449","456",,,10.1590/S2317-15372013000400006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893135287&partnerID=40&md5=e898f1c787482c88712e3a8accdff8d9",Article,Scopus,2-s2.0-84893135287
"Fraga, H.P.D.F., Agapito-Tenfen, S.Z., Caprestano, C.A., Nodari, R.O., Guerra, M.P.","Comparative proteomic analysis of off-type and normal phenotype somatic plantlets derived from somatic embryos of Feijoa (Acca sellowiana (O. Berg) Burret)",2013,"Plant Science","210",,,"224","231",,1,10.1016/j.plantsci.2013.06.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880381251&partnerID=40&md5=bae04d6bbe1b055727b17282ae6f7c1c",Article,Scopus,2-s2.0-84880381251
"Sant'Anna, C.S., Sebbenn, A.M., Klabunde, G.H.F., Bittencourt, R., Nodari, R.O., Mantovani, A., dos Reis, M.S.","Realized pollen and seed dispersal within a continuous population of the dioecious coniferous Brazilian pine [Araucaria angustifolia (Bertol.) Kuntze]",2013,"Conservation Genetics","14","3",,"601","613",,6,10.1007/s10592-013-0451-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877765853&partnerID=40&md5=4e32874292cad6161bb807af3b5c6218",Article,Scopus,2-s2.0-84877765853
"Dalbó, M.A., Bruna, E.D., Nodari, R.O., Müller, C.","Plum breeding for leaf scald resistance in brazil: State of art and perspectives",2013,"Acta Horticulturae","985",,,"83","86",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879244891&partnerID=40&md5=023ca5483691ec047cd2a427006a1115",Article,Scopus,2-s2.0-84879244891
"dos Santos, K., Peroni, N., Guries, R.P., Donazzolo, J., Nodari, R.O.","Participatory domestication of the fruit tree species feijoa (Acca sellowiana) in Brazil",2013,"Community Biodiversity Management: Promoting Resilience and the Conservation of Plant Genetic Resources",,,,"240","245",,,10.4324/9780203130599,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84917466954&partnerID=40&md5=3b8b187e8d89b179209f65d72cb0a37a",Book Chapter,Scopus,2-s2.0-84917466954
"Agapito-Tenfen, S.Z., Steiner, N., Guerra, M.P., Nodari, R.O.","Patterns of polyembryony and frequency of surviving multiple embryos of the Brazilian pine Araucaria angustifolia",2011,"Australian Journal of Botany","59","8",,"749","755",,3,10.1071/BT11195,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856908448&partnerID=40&md5=9756198ac22097758908ca9a09c41aaa",Article,Scopus,2-s2.0-84856908448
"Nodari, R.O.","Agriculture: Risk assessment for Brazil's GM bean",2011,"Nature","479","7373",,"299","",,,10.1038/479299e,"http://www.scopus.com/inward/record.url?eid=2-s2.0-81555227936&partnerID=40&md5=5c45fffd1a89988e3424c08db74f6ddb",Letter,Scopus,2-s2.0-81555227936
"de Albuquerque Jr., C.L., Denardi, F., de Dantas, A.C.M., Nodari, R.O.","The self-incompatible RNase S-alleles of Brazilian apple cultivars",2011,"Euphytica","181","2",,"277","284",,1,10.1007/s10681-011-0431-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051658401&partnerID=40&md5=a9bcfc1c2cff8453bf398566d6323c4d",Article,Scopus,2-s2.0-80051658401
"Pedrosa, F.O., Monteiro, R.A., Wassem, R., Cruz, L.M., Ayub, R.A., Colauto, N.B., Fernandez, M.A., Fungaro, M.H.P., Grisard, E.C., Hungria, M., Madeira, H.M.F., Nodari, R.O., Osaku, C.A., Petzl-Erler, M.L., Terenzi, H., Vieira, L.G.E., Steffens, M.B.R., Weiss, V.A., Pereira, L.F.P., Almeida, M.I.M., Alves, L.R., Marin, A., Araujo, L.M., Balsanelli, E., Baura, V.A., Chubatsu, L.S., Faoro, H., Favetti, A., Friedermann, G., Glienke, C., Karp, S., Kava-Cordeiro, V., Raittz, R.T., Ramos, H.J.O., Ribeiro, E.M.S.F., Rigo, L.U., Rocha, S.N., Schwab, S., Silva, A.G., Souza, E.M., Tadra-Sfeir, M.Z., Torres, R.A., Dabul, A.N.G., Soares, M.A.M., Gasques, L.S., Gimenes, C.C.T., Valle, J.S., Ciferri, R.R., Correa, L.C., Murace, N.K., Pamphile, J.A., Patussi, E.V., Prioli, A.J., Prioli, S.M.A., Rocha, C.L.M.S.C., Arantes, O.M.N., Furlaneto, M.C., Godoy, L.P., Oliveira, C.E.C., Satori, D., Vilas-Boas, L.A., Watanabe, M.A.E., Dambros, B.P., Guerra, M.P., Mathioni, S.M., Santos, K.L., Steindel, M., Vernal, J., Barcellos, F.G., Campo, R.J., Chueire, L.M.O., Nicolás, M.F., Pereira-Ferrari, L., da Conceição Silva, J.L., Gioppo, N.M.R., Margarido, V.P., Menck-Soares, M.A., Pinto, F.G.S., de Simão, R.C.G., Takahashi, E.K., Yates, M.G., Souza, E.M.","Genome of herbaspirillum seropedicae strain SmR1, a specialized diazotrophic endophyte of tropical grasses",2011,"PLoS Genetics","7","5", e1002064,"","",,51,10.1371/journal.pgen.1002064,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79957974830&partnerID=40&md5=cab0404958427cba2f58a18528768226",Article,Scopus,2-s2.0-79957974830
"de Albuquerque Jr., C.L., Denardi, F., de Mesquita Dantas, A.C., Nodari, R.O.","The self-incompatible RNase S-alleles of Brazilian apple cultivars",2011,"Euphytica",,,,"1","8",,3,10.1007/s10681-011-0431-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955077317&partnerID=40&md5=6f3bd94a58cdd9e909db69038a5c378e",Article in Press,Scopus,2-s2.0-79955077317
"Finatto, T., Dos Santos, K.L., Steiner, N., Bizzocchi, L., Holderbaum, D.F., Ducroquet, J.P.H.J., Guerra, M.P., Nodari, R.O.","Late-acting self-incompatibility in Acca sellowiana (Myrtaceae)1",2011,"Australian Journal of Botany","59","1",,"53","60",,5,10.1071/BT10152,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79953082801&partnerID=40&md5=74cd374a763cab50be187d0d8eeab2a9",Article,Scopus,2-s2.0-79953082801
"Dalbó, M.A., Klabunde, G.H.F., Nodari, R.O., Fernandes, D., Basso, M.F.","Evolution of the response of segregating populations of plums and the association with microsatellite markers of leaf scald [Evolução da resposta de populações segregantes de ameiexeira e associação com marcadores microssatélites à escaldadura das folhas]",2010,"Crop Breeding and Applied Biotechnology","10","4",,"337","344",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952355658&partnerID=40&md5=29e33c81801066c14d25a25fa7c60505",Article,Scopus,2-s2.0-79952355658
"de Albuquerque Jr., C.L., Denardi, F., Dantas, A.C.M., Nodari, R.O.","Number of anthers per flower, pollen grains per anther and pollen germination capacity of different cultivars of apple trees [Número de anteras por flor, grãos de pólen por antera e capacidade germinativa do pólen de diferentes cultivares de macieiras]",2010,"Revista Brasileira de Fruticultura","32","4",,"1255","1260",,6,10.1590/S0100-29452010005000129,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952283727&partnerID=40&md5=2181f8aa4aa6932b279f507f6a3ee060",Article,Scopus,2-s2.0-79952283727
"Junior, C.L.d.A., Denardi, F., Dantas, A.C.d.M., Nodari, R.O.","Pollen tube development of crosses among Brazilian apple cultivars [Desenvolvimento de tubos polínicos em cruzamentos entre cultivares brasileiras de macieira]",2010,"Pesquisa Agropecuaria Brasileira","45","11",,"1324","1327",,2,10.1590/S0100-204X2010001100014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79851495895&partnerID=40&md5=f75ba1b1f0524ef589216bcd862012fb",Article,Scopus,2-s2.0-79851495895
"Albuquerque Jr., C.L., Denardi, F., Nodari, R.O., Dantas, A.C.M.","The self-incompatiblity S-alleles of brazilian apple cultivars",2010,"Acta Horticulturae","872",,,"187","192",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650919757&partnerID=40&md5=099dab83d164a14af6da433e638de889",Conference Paper,Scopus,2-s2.0-78650919757
"Bertoldo, J.G., Coimbra, J.L.M., Nodari, R.O., Guidolin, A.F., Hemp, S., Barili, L.D., Vale, N.M.D., Rozzeto, D.S.","Stratification of the state of Santa Catarina in macroenvironments for bean cultivation [Estratificação do estado de Santa Catarina em macroambientes para o cultivo do feijão]",2009,"Crop Breeding and Applied Biotechnology","9","4",,"335","343",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-72549100553&partnerID=40&md5=88bd48eaefff792ca76b209e3266bfe9",Article,Scopus,2-s2.0-72549100553
"Bertoldo, J.G., Coimbra, J.L.M., Guidolin, A.F., Nodari, R.O., Elias, H.T., Barili, L.D., do Vale, N.M., Rozzetto, D.S.","Grain yield in black beans: Environment is the component that more interferes in the phenotypic value [Rendimento de grãos em feijão preto: O componente que mais interfere no valor fenotípico é o ambiente]",2009,"Ciencia Rural","39","7",,"1974","1982",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350052367&partnerID=40&md5=98c020b3d67e7f20a6478004a1de0ea9",Article,Scopus,2-s2.0-70350052367
"Ruschel, A.R., Guerra, M.P., Nodari, R.O.","Floristic composition and structure of two seasonal deciduous forest patches in Alto-Uruguai, SC [Estrutura e composição florística de dois fragmentos da floresta estacional decidual do Alto-Uruguai, SC]",2009,"Ciencia Florestal","19","2",,"225","236",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-68949097643&partnerID=40&md5=e91a9c4209b76920df34eb74067c4fcb",Article,Scopus,2-s2.0-68949097643
"Camara, M.C.C., Marinho, C.L.C., Guilam, M.C.R., Nodari, R.O.","Transgenic products: A scientific-production evaluation of possible food (in)security [Transgênicos: Avaliação da possível (in)segurança alimentar através da produção científica]",2009,"Historia, Ciencias, Saude - Manguinhos","16","3",,"669","681",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-76449100916&partnerID=40&md5=131280fa0d82cfb45aa377f9fc6587d5",Article,Scopus,2-s2.0-76449100916
"Stefenon, V.M., Steiner, N., Guerra, M.P., Nodari, R.O.","Integrating approaches towards the conservation of forest genetic resources: A case study of Araucaria angustifolia",2009,"Biodiversity and Conservation","18","9",,"2433","2448",,5,10.1007/s10531-009-9600-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350617817&partnerID=40&md5=45f3b426ca697b17556ed612635e9fd1",Article,Scopus,2-s2.0-70350617817
"Ruschel, A.R., Bernard, F., Nodari, R.O., Moerschbacher, B.M.","The genetic status of Sorocea bonplandii in the highly fragmented forest in southern Brazil",2009,"Scientia Forestalis/Forest Sciences",,"82",,"151","161",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-69549108556&partnerID=40&md5=08100a375601de22c223a8118eabc757",Article,Scopus,2-s2.0-69549108556
"Dos Santos, K.L., Peroni, N., Guries, R.P., Nodari, R.O.","Traditional knowledge and management of Feijoa (Acca sellowiana) in Southern Brazil",2009,"Economic Botany","63","2",,"204","214",,13,10.1007/s12231-009-9076-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67650462911&partnerID=40&md5=8811a88836813686004fd9f768c1b109",Article,Scopus,2-s2.0-67650462911
"Nodari, R.O.","Quality of risk analysis and insecurity of transgenic to environmental and human health [Calidad de los análisis de riesgo e inseguridad de los transgénicos para la salud ambiental y humana]",2009,"Revista Peruana de Medicina Experimental y Salud Publica","26","1",,"74","82",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349789479&partnerID=40&md5=f5e41675536eb6e53e5b510c15b5a76f",Article,Scopus,2-s2.0-70349789479
"Ruschel, A.R., Mantovani, M., dos Reis, M.S., Nodari, R.O.","Characterization and dynamics of two successional stages of secondary Atlantic forest [Caracterização e dinâmica de duas fases sucessionais em floresta secundária da Mata Atlántica]",2009,"Revista Arvore","33","1",,"101","115",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-66149114049&partnerID=40&md5=37afd8faffa1086c7b12090157ebfb26",Article,Scopus,2-s2.0-66149114049
"Ruschel, A.R., Nodari, R.O.","Leaf harvest of ""cancorosa"" [Sorocea bonplandii (Baill.) Burg., Lanj. & Boer]: An ""espinheira-santa"" from the Atlantic Forest [Colheita foliar da cancorosa [Sorocea bonplandii (Baill.) Burg., Lanj. & W. Boer]: Uma espinheira-santa da Mata Atlântica]",2008,"Revista Brasileira de Plantas Medicinais","10","4",,"43","50",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-69549117672&partnerID=40&md5=3d84c2f64434fee4ed970e5e135cf51d",Article,Scopus,2-s2.0-69549117672
"Santos, K.L., Santos, M.O., Laborda, P.R., Souza, A.P., Peroni, N., Nodari, R.O.","Isolation and characterization of microsatellite markers in Acca sellowiana (Berg) Burret",2008,"Molecular Ecology Resources","8","6",,"1417","1419",,3,10.1111/j.1755-0998.2008.02213.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-55149095943&partnerID=40&md5=42781cba282d2f345709435333fb5c4c",Article,Scopus,2-s2.0-55149095943
"Santos, K.L., Santos, M.O., Laborda, P.R., Souza, A.P., Peroni, N., Nodari, R.O.","Isolation and characterization of microsatellite markers in Acca sellowiana (Berg) Burret",2008,"Molecular Ecology Resources","8","5",,"998","1000",,1,10.1111/j.1755-0998.2008.02134.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-50849137789&partnerID=40&md5=ac4058ae914bfb838ce25e8a012efbee",Article,Scopus,2-s2.0-50849137789
"Stolf, E.C., Dantas, A.C.D.M., Boneti, J.I., Comin, J.J., Nodari, R.O.","Establishment of criteria to select apple tree rootstocks tolerant to the aluminum in nutritious solution [Estabelecimento de critérios para selecionar porta-enxertos de macieira tolerantes ao alumínio em solução nutritiva]",2008,"Revista Brasileira de Fruticultura","30","2",,"476","481",,2,10.1590/S0100-29452008000200035,"http://www.scopus.com/inward/record.url?eid=2-s2.0-47749128070&partnerID=40&md5=3712d5e8de430217bed4fc3713b08cf5",Article,Scopus,2-s2.0-47749128070
"Ruschel, A.R., Pedro, J., Nodari, R.O.","Genetic diversity in anthropogenized populations of fumo brabo (Solanum mauritianum) in Santa Catarina, Brazil [Diversidade genética em populações antropizadas do fumo brabo (Solanum mauritianum) em Santa Catarina, Brasil]",2008,"Scientia Forestalis/Forest Sciences",,"77",,"63","72",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-47249108189&partnerID=40&md5=309919a16665ddde3566b76d21b55bf6",Article,Scopus,2-s2.0-47249108189
"Jung, M.S., Vieira, E.A., Brancker, A., Nodari, R.O.","Heritability and genetic gain in fruit of sweet passion fruit characteres [Herdabilidade e ganho genético em caracteres do fruto do maracujazeiro-doce]",2008,"Revista Brasileira de Fruticultura","30","1",,"209","214",,1,10.1590/S0100-29452008000100038,"http://www.scopus.com/inward/record.url?eid=2-s2.0-46349091629&partnerID=40&md5=0601225f376d99fea697b98a0e1ae084",Article,Scopus,2-s2.0-46349091629
"Jung, M.S., Vieira, E.A., Brancker, A., Nodari, R.O.","General and specific combining ability of fruit characteristics of sweet passion fruit plant (Passiflora alata Curtis) [Capacidade geral e específica de combinação de caracteres do fruto do maracujazeiro doce (Passiflora alata Curtis)]",2007,"Ciencia Rural","37","4",,"963","969",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447263531&partnerID=40&md5=1a2d68a83d36913ec2b1bec1cace9d10",Article,Scopus,2-s2.0-34447263531
"Ruschel, A.R., Nodari, R.O., Moerschbacher, B.M.","The genetic structure of Sorocea bonplandii in southern Brazilian forest fragments: AFLP diversity",2007,"Silvae Genetica","56","2",,"51","58",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34249886788&partnerID=40&md5=503a1cded765efd32b16c8629c0249b6",Article,Scopus,2-s2.0-34249886788
"Ruschel, A.R., Nodari, R.O., Moerschbacher, B.M.","Woody plant species richness in the Turvo State park, a large remnant of deciduous Atlantic forest, Brazil",2007,"Biodiversity and Conservation","16","6",,"1699","1714",,14,10.1007/s10531-006-9044-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34249701362&partnerID=40&md5=213910753c7fc1d5037af03c1f1467db",Article,Scopus,2-s2.0-34249701362
"Jung, M.S., Vieira, E.A., Da Silva, G.O., Brancker, A., Nodari, R.O.","Combined ability of fruit phenotypic traits in sweet passion fruit by multivariate analysis [Capacidade de combinação por meio de análise multivariada para caracteres fenotípicos em maracujazeiro-doce]",2007,"Pesquisa Agropecuaria Brasileira","42","5",,"689","694",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34347332427&partnerID=40&md5=bfc340f408ff7c09291895988dc84371",Article,Scopus,2-s2.0-34347332427
"dos Santos, K.L., Welter, L.J., Dantas, A.C. de M., Guerra, M.P., Ducroquet, J.P.H.J., Nodari, R.O.","Transference of microsatellite markers from Eucalyptus spp to Acca sellowiana and the successful use of this technique in genetic characterization",2007,"Genetics and Molecular Biology","30","1",,"73","79",,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34247121828&partnerID=40&md5=5ce779ea8f2c3679d68ca897595991f1",Article,Scopus,2-s2.0-34247121828
"Dos Santos, K.L., Lenzi, M., Caprestano, C.A., Dantas, A.C.D.M., Ducroquet, J.P.H.J., Nodari, R.O., Orth, A.I., Guerra, M.P.","Evidence of the late-acting self-incompatibility system in Acca sellowiana (Berg) Burret. (Myrtaceae) [Evidência da atuação do sistema de auto- incompatibilidade tardia em Acca sellowiana (Berg) Burret. (Myrtaceae)]",2007,"Revista Brasileira de Fruticultura","29","1",,"120","123",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447254943&partnerID=40&md5=6924a251584e8fb7047b3a6d77ca0f71",Article,Scopus,2-s2.0-34447254943
"Schmidt, A.B., Ciampi, A.Y., Guerra, M.P., Nodari, R.O.","Isolation and characterization of microsatellite markers for Araucaria angustifolia (Araucariaceae): Primer note",2007,"Molecular Ecology Notes","7","2",,"340","342",,15,10.1111/j.1471-8286.2006.01602.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33847409695&partnerID=40&md5=b315d01f2cbf5a13fbc040f283689c70",Review,Scopus,2-s2.0-33847409695
"Schlögl, P.S., de Souza, A.P., Nodari, R.O.","PCR-RFLP analysis of non-coding regions of cpDNA in Araucaria angustifolia (Bert.) O. Kuntze",2007,"Genetics and Molecular Biology","30","2",,"423","427",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34547516896&partnerID=40&md5=051e368fc258b7251083d63fe4f75700",Article,Scopus,2-s2.0-34547516896
"Dezanet, A., Krepsky, P.B., Mathioni, S.M., Farias, M.R., Nodari, R.O.","Development, biomass production and flavonoid contents in plants of Cuphea carthagenensis (Jacq.) Macbride, submitted to different substrates, irrigation systems and leaf pruning",2007,"Latin American Journal of Pharmacy","26","1",,"51","56",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447545826&partnerID=40&md5=db9ce9ef70a44ac88cd11d0425061081",Article,Scopus,2-s2.0-34447545826
