Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Pascual, S., Olarieta, J.R., Rodríguez-Ochoa, R.","Development of Quercus ilex plantations is related to soil phosphorus availability on shallow calcareous soils",2012,"New Forests","43","5-6",,"805","814",,3,10.1007/s11056-012-9337-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865442480&partnerID=40&md5=b2d7425fce81696f70156a0a2d6172b7",Article,Scopus,2-s2.0-84865442480
"Olarieta, J.R., Rodríguez-Ochoa, R., Ascaso, E.","Soil Gypsum and Increased Penetration Resistance Restrict Early Growth of Quercus ilex Plantations",2012,"Arid Land Research and Management","26","3",,"250","260",,3,10.1080/15324982.2012.680654,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866648999&partnerID=40&md5=b481f3d1426ef68652464c35df7084cf",Article,Scopus,2-s2.0-84866648999
"Tello, E., Garrabou, R., Cussó, X., Olarieta, J.R., Galán, E.","Fertilizing Methods and Nutrient Balance at the End of Traditional Organic Agriculture in the Mediterranean Bioregion: Catalonia (Spain) in the 1860s",2012,"Human Ecology","40","3",,"369","383",,4,10.1007/s10745-012-9485-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862605233&partnerID=40&md5=4927f89e22209f8a17107d8e190ae75b",Article,Scopus,2-s2.0-84862605233
"Olarieta, J.R., Padrò, R., Masip, G., Rodríguez-Ochoa, R., Tello, E.","'Formiguers', a historical system of soil fertilization (and biochar production?)",2011,"Agriculture, Ecosystems and Environment","140","1-2",,"27","33",,3,10.1016/j.agee.2010.11.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79151479283&partnerID=40&md5=2ed2e50dbe50da99e0592d9e120588aa",Article,Scopus,2-s2.0-79151479283
"Olarieta, J.R., Rodríguez-Valle, F.L., Tello, E.","Preserving and destroying soils, transforming landscapes: Soils and land-use changes in the Vallès County (Catalunya, Spain) 1853-2004",2008,"Land Use Policy","25","4",,"474","484",,19,10.1016/j.landusepol.2007.10.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42249106813&partnerID=40&md5=7105720edae426ce839bc4e972e9333c",Article,Scopus,2-s2.0-42249106813
"Cussó, X., Garrabou, R., Olarieta, J.R., Tello, E.","Energy balances and land uses in the Catalan agriculture: A comparison between mid-19th century and the end of the 20th century [Balances energéticos y usos del suelo en la agricultura catalana: Una comparación entre mediados del siglo XIX y finales del siglo XX]",2006,"Historia Agraria","16","40",,"471","500",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846524276&partnerID=40&md5=fa29f2fbaacc2e75451fe3d4d9122293",Article,Scopus,2-s2.0-33846524276
"Olarieta, J.R., Besga, G., Rodríguez-Ochoa, R., Aizpurua, A., Usón, A.","Land evaluation for forestry: A study of the land requirements for growing Pinus radiata D. Don in the Basque Country, northern Spain",2006,"Soil Use and Management","22","3",,"238","244",,2,10.1111/j.1475-2743.2006.00038.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33746919515&partnerID=40&md5=cbcd5aad68ac48e0a9f3aa05687b8376",Article,Scopus,2-s2.0-33746919515
"Olarieta, J.R., Usón, A., Rodríguez, R., Rosa, M., Blanco, R., Antúnez, M.","Land requirements for Pinus halepensis Mill. growth in a plantation in Huesca, Spain",2000,"Soil Use and Management","16","2",,"88","92",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0343517598&partnerID=40&md5=74d7f8e1dffcfd100c4c3a2a65bac1e8",Article,Scopus,2-s2.0-0343517598
"Olarieta, J.R.","On the use value of land in agricultural production",2000,"Ecological Economics","32","2",,"169","173",,3,10.1016/S0921-8009(99)00128-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033968819&partnerID=40&md5=9c6d7623df09aa6df1905ce3c9425f49",Review,Scopus,2-s2.0-0033968819
"Olarieta, J.R., Besga, G., Rodríguez, R., Usón C, A., Pinto, M., Virgel, S.","Sediment enrichment ratios after mechanical site preparation for Pinus radiata plantation in the Basque Country",1999,"Geoderma","93","3-4",,"255","267",,12,10.1016/S0016-7061(99)00063-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033428298&partnerID=40&md5=c19b8d6bc769306bb3b34ec5ed6d8d7d",Article,Scopus,2-s2.0-0033428298
