Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Coxam, V., Davicco, M.-J., Durand, D., Bauchart, D., Opmeer, F., Barlet, J.-P.","Steroid hormone may modulate hepatic somatomedin C production in newborn calves",1990,"Neonatology","58","1",,"16","23",,15,10.1159/000243226,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025299265&partnerID=40&md5=abc4779daacf690a23a1cbef14e1aef6",Article,Scopus,2-s2.0-0025299265
"Otten, B.J., Opmeer, F.A.","Overgrowth and elevated insulin-like growth factor I levels in a patient with Beckwith-Wiedemann syndrome: Response to therapy with bromocriptine",1990,"Acta Paediatrica Scandinavica, Supplement","79","366",,"141","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025291270&partnerID=40&md5=228a8e7aa7f930ff03ee54def4b1be6d",Conference Paper,Scopus,2-s2.0-0025291270
"Coxam, V., Davicco, M.-J., Durand, D., Bauchart, D., Opmeer, F., Barle, J.-P.","Influence of kinetics of gastric emptying on hepatic IGF1 production in young calves",1990,"Annals of Nutrition and Metabolism","34","1",,"42","52",,,10.1159/000177569,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025361458&partnerID=40&md5=51aeda8a1c0ece5f705c0dba6a93136c",Article,Scopus,2-s2.0-0025361458
"Coxam, V., Bauchart, D., Durand, D., Davicco, M.-J., Opmeer, F., Barlet, J.-P.","Nutrient effects on the hepatic production of somatomedin C (IGF1) in the milk-fed calf",1989,"British Journal of Nutrition","62","2",,"425","437",,12,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024440295&partnerID=40&md5=1715c3c6ac648b2e1bbf78c6e2608882",Article,Scopus,2-s2.0-0024440295
"Coxam, V., Davicco, M.J., Dardillat, C., Opmeer, F., Barlet, J.P.","Systemic bone growth factors concentrations in calves during the perinatal period.",1988,"Journal of Developmental Physiology","10","5",,"423","431",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024101927&partnerID=40&md5=e478b18243b9ee63a114f2f0d003a992",Article,Scopus,2-s2.0-0024101927
"Wit, J.M., Schuitema-Dijkstra, A., van Buul-Offers, S., Opmeer, F., Van den Brande, J.L.","Excessive growth in a child with craniopharyngioma and growth hormone deficiency",1988,"European Journal of Pediatrics","147","6",,"658","661",,4,10.1007/BF00442487,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023710343&partnerID=40&md5=bbb4ff7556ccc0aa4203c563db413ab9",Article,Scopus,2-s2.0-0023710343
"Coxam, V., Davicco, M.-J., Dardillat, C., Robelin, J., Lefaivre, J., Opmeer, F., Barlet, J.-P.","Regulation of growth hormone release in fetal calves",1988,"Neonatology","54","3",,"160","168",,12,10.1159/000242847,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023693460&partnerID=40&md5=59f2f49e01a1e6c2aea6f255e3fccd88",Article,Scopus,2-s2.0-0023693460
"Coxam, V., Davicco, M.-J., Opmeer, F.A., Ravault, J.P., Barlet, J.P.","Plasma somatotropin and somatomedin C concentrations following GRF or TRH injections in newborn calves",1987,"Reproduction Nutrition Developpement","27","2 B",,"533","545",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023196828&partnerID=40&md5=83ce3997e99f77ad5f565d63763c3a91",Article,Scopus,2-s2.0-0023196828
"Opmeer, F.A., Bonta, I.L.","Dietary fatty acid influence on prostaglandin receptors of elicited peritoneal macrophages",1984,"Agents and Actions","15","1-2",,"18","19",,2,10.1007/BF01966942,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021167179&partnerID=40&md5=38e22267150c15a43baf0cf9b5141abf",Article,Scopus,2-s2.0-0021167179
"Opmeer, F.A., Hoogsteden, H.C.","Characterization of specific receptors for leukotriene D4 on human alveolar macrophages",1984,"Prostaglandins","28","2",,"183","194",,8,10.1016/0090-6980(84)90055-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021714022&partnerID=40&md5=7bdda5e2e9962da095ca30063dcf0c9e",Article,Scopus,2-s2.0-0021714022
"Opmeer, F.A., Adolfs, M.J.P., Bonta, I.L.","Regulation of prostaglandin E2 receptors in vivo by dietary fatty acids in peritoneal macrophages from rats",1984,"Journal of Lipid Research","25","3",,"262","268",,20,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021288657&partnerID=40&md5=a2155fe8576e93f9f29897c4d44d0225",,Scopus,2-s2.0-0021288657
"Opmeer, F.A., Adolfs, M.J.P., Bonta, I.L.","Direct evidence for the presence of selective binding sites for (3H) prostaglandin E2 on rat peritoneal macrophages",1983,"Biochemical and Biophysical Research Communications","114","1",,"155","161",,4,10.1016/0006-291X(83)91607-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020962245&partnerID=40&md5=076ed2c08dff403024b2fd809fe077a3",Article,Scopus,2-s2.0-0020962245
"Opmeer, F.A., Adolfs, M.J.P., Bonta, I.L.","Competition for adenyl cyclase coupled (3H)-prostacyclin binding sites with prostaglandin E2 in rat peritoneal macrophages",1983,"Prostaglandins","26","3",,"467","476",,7,10.1016/0090-6980(83)90181-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021075824&partnerID=40&md5=9775af7cc450a534e9a6c7ded03b810e",Article,Scopus,2-s2.0-0021075824
"Opmeer, F.A., Witter, A., van Ree, J.M.","Interaction of calcium with3H-morphine binding to synaptosomes of the guinea-pig ileum",1982,"Naunyn-Schmiedeberg's Archives of Pharmacology","321","1",,"1","6",,3,10.1007/BF00586340,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020002285&partnerID=40&md5=8e9b033875a6202cdab399f0e2515c30",Article,Scopus,2-s2.0-0020002285
"Opmeer, F.A., Peter, J., Burbach, H., Wiegant, V.M., van Ree, J.M.","β-endorphin proteolysis by guinea-pig ileum myenteric plexus membranes: Increased γ-endorphin turnover after chronic exposure to morphine",1982,"Life Sciences","31","4",,"323","328",,2,10.1016/0024-3205(82)90410-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019920660&partnerID=40&md5=a80166ddcbcc74efa2c19bfd0bde4c95",Article,Scopus,2-s2.0-0019920660
"van Ree, J.M., Bohus, B., Csontos, K.M., Hendrik Gispen, W., Greven, H.M., Nijkamp, F.P., Opmeer, F.A., de Rotte, G.A., van Wimersma Greidanus, T.B., Witter, A., de Wied, D.","Behavioral profile of ψ-MSH: Relationship with acta and β-endorphin action",1981,"Life Sciences","28","25",,"2875","2888",,55,10.1016/0024-3205(81)90104-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019861486&partnerID=40&md5=8af337d924023cd54beda5ff7130e63c",Article,Scopus,2-s2.0-0019861486
"van Ree, J.M., Bohus, B., Csontos, K.M., Gispen, W.H., Greven, H.M., Nijkamp, F.P., Opmeer, F.A., de Rotte, G.A., van Wimersma Greidanus, T.B., Witter, A., de Wied, D.","Gamma-melanotropin and brain function.",1981,"Ciba Foundation symposium","81",,,"263","276",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019348101&partnerID=40&md5=bc9e4d237e0fc74dfd0eca912a2a4c04",Article,Scopus,2-s2.0-0019348101
"Opmeer, F.A., Loeber, J.G., van Ree, J.M.","Altered levels of β-endorphin fragments after chronic morphine treatment of guinea-pig ileum in vitro and in vivo",1980,"Life Sciences","27","24",,"2393","2400",,6,10.1016/0024-3205(80)90510-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019191848&partnerID=40&md5=1ff5d2f7a00b6c0e392ee3eebcf847d7",Article,Scopus,2-s2.0-0019191848
"Opmeer, F.A., Van Ree, J.M.","Differential involvement of calcium in acute and chronic opioid action in the guinea-pig ileum in vitro",1980,"Journal of Pharmacology and Experimental Therapeutics","213","1",,"188","195",,15,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018818407&partnerID=40&md5=599c8e602820f678bef33b7083e70ee2",Article,Scopus,2-s2.0-0018818407
"Opmeer, F.A., Van Ree, J.M.","Competitive antagonism of morphine action in vitro by calcium",1979,"European Journal of Pharmacology","53","4",,"395","397",,17,10.1016/0014-2999(79)90467-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018765959&partnerID=40&md5=292d197d1f9dab9c7556ffaff5c1f4e0",Article,Scopus,2-s2.0-0018765959
"Opmeer, F.A., Van Ree, J.M., De Wied, D.","ACTH-Induced lipolysis in rat adipocytes: Structure-activity relationships",1978,"Naunyn-Schmiedeberg's Archives of Pharmacology","302","1",,"31","36",,16,10.1007/BF00586593,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017873884&partnerID=40&md5=7df07cc88d5591db1977f48d80d7e039",Article,Scopus,2-s2.0-0017873884
"Opmeer, F.A., van Ree, J.M.","Quantification of the in vitro induced tolerance to morphine of the isolated guinea pig ileum",1978,"Neuropharmacology","17","10",,"887","890",,7,10.1016/0028-3908(78)90078-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018141485&partnerID=40&md5=cf295dccf2ce18bfc6cc59f17a30ee29",Article,Scopus,2-s2.0-0018141485
"Opmeer, F.A., Gumulka, S.W., Dinnendahl, V., Schoenhoefer, P.S.","Effects of stimulatory and depressant drugs on cyclic guanosine 3',5' monophosphate and adenosine 3',5' monophosphate levels in mouse brain",1976,"NAUNYN-SCHMIED.ARCH.PHARM.","292","3",,"259","265",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017256136&partnerID=40&md5=3d534baaebecbd9a606d5cf471eadc7d",Article,Scopus,2-s2.0-0017256136
"Opmeer, F.A., Dinnendahl, V., Stock, K.","Catecholamine-induced lipolysis: Only via cyclic AMP?",1976,"Biochemical Pharmacology","25","13",,"1481","1484",,1,10.1016/0006-2952(76)90064-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017068043&partnerID=40&md5=c49bb7f8309816debfb9783b6626b29a",Article,Scopus,2-s2.0-0017068043
