Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Lang, A., Otto, M.","Feeding behaviour on host plants may influence potential exposure to Bt maize pollen of Aglais urticae larvae (lepidoptera, nymphalidae)",2015,"Insects","6","3",,"760","771",,,10.3390/insects6030760,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940851625&partnerID=40&md5=0748301614b63983fc080ab4cd83368f",Article,Scopus,2-s2.0-84940851625
"Otto, M., Höpfner, C., Curio, J., Maussion, F., Scherer, D.","Assessing vegetation response to precipitation in northwest Morocco during the last decade: an application of MODIS NDVI and high resolution reanalysis data",2014,"Theoretical and Applied Climatology",,,,"","",19,,10.1007/s00704-014-1344-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919363171&partnerID=40&md5=ae3839c7aa314d482cb16bef78cb6e2c",Article in Press,Scopus,2-s2.0-84919363171
"Hofmann, F., Otto, M., Wosniok, W.","Maize pollen deposition in relation to distance from the nearest pollen source under common cultivation - results of 10 years of monitoring (2001 to 2010)",2014,"Environmental Sciences Europe","26","1",,"","",14,1,10.1186/s12302-014-0024-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919935296&partnerID=40&md5=3c9cd15f08111cc747034e55788339e5",Article,Scopus,2-s2.0-84919935296
"Hilbeck, A., Weiss, G., Oehen, B., Römbke, J., Jänsch, S., Teichmann, H., Lang, A., Otto, M., Tappeser, B.","Ranking matrices as operational tools for the environmental risk assessment of genetically modified crops on non-target organisms",2014,"Ecological Indicators","36",,,"367","381",,4,10.1016/j.ecolind.2013.07.016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884146498&partnerID=40&md5=571bdf7039edb8f853f19b462dc2978d",Article,Scopus,2-s2.0-84884146498
"Holst, N., Lang, A., Lövei, G., Otto, M.","Corrigendum to ""Increased mortality is predicted of Inachis io larvae caused by Bt-maize pollen in European farmland"" [Ecol. Model. 250 (2013) 126-133]",2013,"Ecological Modelling","265",,,"250","",,1,10.1016/j.ecolmodel.2013.06.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880973279&partnerID=40&md5=52b91f14465a59ab3d06d547377be2f8",Erratum,Scopus,2-s2.0-84880973279
"Holst, N., Lang, A., Lövei, G., Otto, M.","Increased mortality is predicted of Inachis io larvae caused by Bt-maize pollen in European farmland",2013,"Ecological Modelling","250",,,"126","133",,3,10.1016/j.ecolmodel.2012.11.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870912880&partnerID=40&md5=2e685d667ba448c194fdd10a3a947f81",Article,Scopus,2-s2.0-84870912880
"Lang, A., Brunzel, S., Dolek, M., Otto, M., Theißen, B.","Modelling in the light of uncertainty of key parameters: A call to exercise caution in field predictions of Bt-maize effects",2011,"Proceedings of the Royal Society B: Biological Sciences","278","1708",,"980","981",,5,10.1098/rspb.2010.2085,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874973224&partnerID=40&md5=a50ab72396091d2fe7ecaf4227138de4",Article,Scopus,2-s2.0-84874973224
"Hofmann, F., Otto, M., Kuhn, U., Ober, S., Schlechtriemen, U., Vögel, R.","A new method for in situ measurement of Bt-maize pollen deposition on host-plant leaves",2011,"Insects","2","1",,"12","21",,4,10.3390/insects2010012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870878465&partnerID=40&md5=58c651dc48d3912192131a685fe5c02e",Article,Scopus,2-s2.0-84870878465
"Dolezel, M., Miklau, M., Hilbeck, A., Otto, M., Eckerstorfer, M., Heissenberger, A., Tappeser, B., Gaugitsch, H.","Scrutinizing the current practice of the environmental risk assessment of GM maize applications for cultivation in the EU",2011,"Environmental Sciences Europe","23","1", 33,"","",,9,10.1186/2190-4715-23-33,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856370011&partnerID=40&md5=bdceaf4da8cad258ba86135c4e72f843",Article,Scopus,2-s2.0-84856370011
"Otto, M., Scherer, D., Richters, J.","Hydrological differentiation and spatial distribution of high altitude wetlands in a semi-arid Andean region derived from satellite data",2011,"Hydrology and Earth System Sciences","15","5",,"1713","1727",,10,10.5194/hess-15-1713-2011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-81255144646&partnerID=40&md5=44829e2f486ab65626de2660ea4724df",Article,Scopus,2-s2.0-81255144646
"Lang, A., Brunzel, S., Dolek, M., Otto, M., Theissen, B.","Modelling in the light of uncertainty of key parameters: a call to exercise caution in field predictions of Bt-maize effects.",2011,"Proceedings. Biological sciences / The Royal Society","278","1708",,"980","981",,4,10.1098/rspb.2010.2085,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79958288795&partnerID=40&md5=6cb02295d43fe22fa7fb1d944839e094",Note,Scopus,2-s2.0-79958288795
"Lang, A., Otto, M.","A synthesis of laboratory and field studies on the effects of transgenic Bacillus thuringiensis (Bt) maize on non-target Lepidoptera",2010,"Entomologia Experimentalis et Applicata","135","2",,"121","134",,21,10.1111/j.1570-7458.2010.00981.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953043598&partnerID=40&md5=5286702c6ba26acee4d3669ebf4c8e6a",Review,Scopus,2-s2.0-77953043598
