Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Baudin-Maurin, M.-P., Panoff, J.-M.","Lacks and possible improvements in European Union law concerning GMOs",2014,"World Review of Science, Technology and Sustainable Development","11","3-4",,"237","247",,,10.1504/WRSTSD.2014.066800,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921027103&partnerID=40&md5=d1f27c0b44db4349006acdcc18968ebe",Article,Scopus,2-s2.0-84921027103
"Missous, G., Thammavongs, B., Dieuleveux, V., Houssin, M., Henry, J., Panoff, J.-M.","Proteomic expression of microfungal ripening starter geotrichum candidum submitted to cold stress is strain-dependent: Studies using 2D-DIGE technology and samespots™ software analysis",2012,"Cryo-Letters","33","4",,"289","298",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869416665&partnerID=40&md5=be7bc3311117237ee2b45896f964778e",Article,Scopus,2-s2.0-84869416665
"Clair, E., Linn, L., Travert, C., Amiel, C., Séralini, G.-E., Panoff, J.-M.","Effects of roundup® and glyphosate on three food microorganisms: Geotrichum candidum, Lactococcus lactis subsp. cremoris and lactobacillus delbrueckii subsp. bulgaricus",2012,"Current Microbiology","64","5",,"486","491",,10,10.1007/s00284-012-0098-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860257861&partnerID=40&md5=1235837d57f44934abc7ff73c8a3168b",Article,Scopus,2-s2.0-84860257861
"Missous, G., Thammavongs, B., Launay, G., Guéguen, M., Dieuleveux, V., Panoff, J.-M.","Relationship between growth behaviour, micro and macroscopic morphologies and freezing sensitivity of the ripening starter Geotrichum candidum is strain specific and mostly related to the morphotypes: The arthrospores/hyphae parameter",2010,"Journal of Dairy Research","77","4",,"425","431",,2,10.1017/S002202991000066X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77958498848&partnerID=40&md5=2bc395ceae143c7634992e0bb29b265c",Article,Scopus,2-s2.0-77958498848
"Thammavongs, B., Denou, E., Missous, G., Guéguen, M., Panoff, J.-M.","Erratum: Response to environmental stress as a global phenomenon in biology: The example of microorganisms (Microbes Environ. (2008) 23:1 (20-23))",2009,"Microbes and Environments","24","3",,"280","",,,10.1264/jsme2.ME07203e,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349917817&partnerID=40&md5=2efb971724890d87e75b6545e9789cac",Erratum,Scopus,2-s2.0-70349917817
"Denou, E., Rezzonico, E., Panoff, J.-M., Arigoni, F., Brüssow, H.","A mesocosm of lactobacillus johnsonii, bifidobacterium longum, and escherichia coli in the mouse gut",2009,"DNA and Cell Biology","28","8",,"413","422",,8,10.1089/dna.2009.0873,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70249150400&partnerID=40&md5=ac0c521c42a25e3c8d62f43aef90532b",Article,Scopus,2-s2.0-70249150400
"Thammavongs, B., Denou, E., Missous, G., Guéguen, M., Panoff, J.-M.","Response to environmental stress as a global phenomenon in biology: The Example of microorganisms",2008,"Microbes and Environments","23","1",,"20","23",,12,10.1264/jsme2.23.20,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349932099&partnerID=40&md5=5db62c4bad4b8d48f8d49d531161873e",Review,Scopus,2-s2.0-70349932099
"Denou, E., Pridmore, R.D., Ventura, M., Pittet, A.-C., Zwahlen, M.-C., Berger, B., Barretto, C., Panoff, J.-M., Brüssow, H.","The role of prophage for genome diversification within a clonal lineage of Lactobacillus johnsonii: Characterization of the defective prophage LJ771",2008,"Journal of Bacteriology","190","17",,"5806","5813",,12,10.1128/JB.01802-07,"http://www.scopus.com/inward/record.url?eid=2-s2.0-50249162552&partnerID=40&md5=d61bcb6bbbef420213a0c3a74ee6fe6a",Article,Scopus,2-s2.0-50249162552
"Denou, E., Pridmore, R.D., Berger, B., Panoff, J.-M., Arigoni, F., Brüssow, H.","Identification of genes associated with the long-gut-persistence phenotype of the probiotic Lactobacillus johnsonii strain NCC533 using a combination of genomics and transcriptome analysis",2008,"Journal of Bacteriology","190","9",,"3161","3168",,87,10.1128/JB.01637-07,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42549156731&partnerID=40&md5=14b3d732bb6d056577dbcc8fbdea60be",Article,Scopus,2-s2.0-42549156731
"Denou, E., Berger, B., Barretto, C., Panoff, J.-M., Arigoni, F., Brüssow, H.","Gene expression of commensal Lactobacillus johnsonii strain NCC533 during in vitro growth and in the murine gut",2007,"Journal of Bacteriology","189","22",,"8109","8119",,37,10.1128/JB.00991-07,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36549004621&partnerID=40&md5=cb580050aea193bae59fcd3b52895816",Article,Scopus,2-s2.0-36549004621
