Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Perfecto, I., Vandermeer, J.","Structural constraints on novel ecosystems in agriculture: The rapid emergence of stereotypic modules",2015,"Perspectives in Plant Ecology, Evolution and Systematics",,,,"","",,,10.1016/j.ppees.2015.09.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944081178&partnerID=40&md5=f3dbea9ac368727eb453ee84c66a6739",Article in Press,Scopus,2-s2.0-84944081178
"Maas, B., Karp, D.S., Bumrungsri, S., Darras, K., Gonthier, D., Huang, J.C.-C., Lindell, C.A., Maine, J.J., Mestre, L., Michel, N.L., Morrison, E.B., Perfecto, I., Philpott, S.M., Şekercioğlu, Ç.H., Silva, R.M., Taylor, P.J., Tscharntke, T., Van Bael, S.A., Whelan, C.J., Williams-Guillén, K.","Bird and bat predation services in tropical forests and agroforestry landscapes",2015,"Biological Reviews",,,,"","",,,10.1111/brv.12211,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937501528&partnerID=40&md5=2dbd70366b387131c027b8b435073d6e",Article in Press,Scopus,2-s2.0-84937501528
"Marín, L., Jackson, D., Perfecto, I.","A positive association between ants and spiders and potential mechanisms driving the pattern",2015,"Oikos","124","8",,"1078","1088",,,10.1111/oik.01913,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939573628&partnerID=40&md5=f574623b18336d7ab5467ebcb8cb825a",Article,Scopus,2-s2.0-84939573628
"Gonthier, D.J., Ennis, K.K., Farinas, S., Hsieh, H.-Y., Iverson, A.L., Batáry, P., Rudolphi, J., Tscharntke, T., Cardinale, B.J., Perfecto, I.","Biodiversity conservation in agriculture requires a multi-scale approach",2014,"Proceedings of the Royal Society B: Biological Sciences","281","1791", 20141358,"","",,13,10.1098/rspb.2014.1358,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905492786&partnerID=40&md5=4b928ad8b8ad9099fd9aaa95c7f70306",Article,Scopus,2-s2.0-84905492786
"Jackson, D., Vandermeer, J., Perfecto, I., Philpott, S.M.","Population responses to environmental change in a tropical ant: The interaction of spatial and temporal dynamics",2014,"PLoS ONE","9","5", e97809,"","",,1,10.1371/journal.pone.0097809,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901379054&partnerID=40&md5=bf8aa1390d5dad2d20b081cc02692cce",Article,Scopus,2-s2.0-84901379054
"Jackson, D., Allen, D., Perfecto, I., Vandermeer, J.","Self-organization of background habitat determines the nature of population spatial structure",2014,"Oikos","123","6",,"751","761",,3,10.1111/j.1600-0706.2013.00827.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900431689&partnerID=40&md5=c321aa3e0dfb565f5766f9dc5d1b7e16",Article,Scopus,2-s2.0-84900431689
"Perfecto, I., Vandermeer, J., Philpott, S.M.","Complex ecological interactions in the coffee agroecosystem",2014,"Annual Review of Ecology, Evolution, and Systematics","45",,,"137","158",,1,10.1146/annurev-ecolsys-120213-091923,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84913549226&partnerID=40&md5=cdb9c4728d59b756ba2c0093b64019de",Article,Scopus,2-s2.0-84913549226
"Liere, H., Perfecto, I., Vandermeer, J.","Stage-dependent responses to emergent habitat heterogeneity: Consequences for a predatory insect population in a coffee agroecosystem",2014,"Ecology and Evolution","4","16",,"3201","3209",,1,10.1002/ece3.1161,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906508377&partnerID=40&md5=8ae44e3af8ebc1f5ecca74d320bbb2de",Article,Scopus,2-s2.0-84906508377
"Iverson, A.L., Marín, L.E., Ennis, K.K., Gonthier, D.J., Connor-Barrie, B.T., Remfert, J.L., Cardinale, B.J., Perfecto, I.","Do polycultures promote win-wins or trade-offs in agricultural ecosystem services? A meta-analysis",2014,"Journal of Applied Ecology","51","6",,"1593","1602",,2,10.1111/1365-2664.12334,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84912075661&partnerID=40&md5=6118de972549dd86483c0f0f15c31f26",Review,Scopus,2-s2.0-84912075661
"Kuesel, R., Gonthier, D.J., Cruz, M., Vaiyda, C., Iverson, A.L., Perfecto, I.","Local Management and Landscape Use Intensity Associated with a Coffee Leaf-Chewing Beetle",2014,"Agroecology and Sustainable Food Systems","38","5",,"532","540",,,10.1080/21683565.2013.859221,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896457042&partnerID=40&md5=06d8e3b6d0e338e93035596836974f7c",Article,Scopus,2-s2.0-84896457042
