Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Perrino, P., Laghetti, G., Terzi, M.","Modern concepts for the sustainable use of Plant Genetic Resources in the Mediterranean natural protected areas: The case study of the Alta Murgia Park (Italy)",2006,"Genetic Resources and Crop Evolution","53","4",,"695","710",,6,10.1007/s10722-004-3942-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33645985449&partnerID=40&md5=b5c52c0576e2f74a55f833e10d2edd41",Article,Scopus,2-s2.0-33645985449
"Di Venere, D., Linsalata, V., Pace, B., Bianco, V.V., Perrino, P.","Polyphenol and inulin content in a collection of artichoke",2005,"Acta Horticulturae","681",,,"453","460",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846232418&partnerID=40&md5=5617f80106204085e71b434df16a4b44",Conference Paper,Scopus,2-s2.0-33846232418
"Sonnante, G., Perrino, P., De Polis, A., Lattanzio, V.","Characterization of artichoke genotypes using RAPD markers",2005,"Acta Horticulturae","681",,,"301","306",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880197799&partnerID=40&md5=57f130cb09774f51cdcc37d9b9df1599",Conference Paper,Scopus,2-s2.0-84880197799
"Figliuolo, G., Perrino, P.","Genetic diversity and intra-specific phylogeny of Triticum turgidum L. subsp. dicoccon (Schrank) Thell. revealed by RFLPs and SSRs",2004,"Genetic Resources and Crop Evolution","51","5",,"519","527",,18,10.1023/B:GRES.0000024153.75636.6f,"http://www.scopus.com/inward/record.url?eid=2-s2.0-3242883824&partnerID=40&md5=b946c6897a04e4deec34d8bd480a0d58",Article,Scopus,2-s2.0-3242883824
"Hammer, K., Cifarelli, S., Perrino, P., Laghetti, G.","Dynamics of Rubus ulmifolius Schott var. anoplothyrsur Sudre and other cultivated blackberries in Italy",2004,"Genetic Resources and Crop Evolution","51","3",,"237","239",,1,10.1023/B:GRES.0000024026.26655.d7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-3242876506&partnerID=40&md5=c3d92accc20c3954fe7068b1263cd020",Article,Scopus,2-s2.0-3242876506
"Polignano, G.B., Laghetti, G., Margiotta, B., Perrino, P.","Agricultural sustainability and underutilized crop species in southern Italy",2004,"Plant Genetic Resources: Characterisation and Utilisation","2","1",,"29","35",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-3943104852&partnerID=40&md5=27ae3f077df1b2f32a6720527ef096f7",Review,Scopus,2-s2.0-3943104852
"Sonnante, G., De Paolis, A., Lattanzio, V., Perrino, P.","Genetic variation in wild and cultivated artichoke revealed by RAPD markers",2002,"Genetic Resources and Crop Evolution","49","3",,"247","252",,45,10.1023/A:1015574627621,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036274613&partnerID=40&md5=20fec54b6198b14accd4c297fb0b4677",Article,Scopus,2-s2.0-0036274613
"Laghetti, G., Piergiovanni, A.R., Galasso, I., Hammer, K., Perrino, P.","Single-flowered vetch (Vicia articulata Hornem.): A relic crop in Italy",2000,"Genetic Resources and Crop Evolution","47","4",,"461","465",,10,10.1023/A:1008711022396,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033871686&partnerID=40&md5=d6f5fef8a2944fd09b5f640fa509f58a",Article,Scopus,2-s2.0-0033871686
"Hammer, K., Laghetti, G., Cifarelli, S., Spahillari, M., Perrino, P.","Pimpinella anisoides Briganti",2000,"Genetic Resources and Crop Evolution","47","2",,"223","225",,6,10.1023/A:1008717810460,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034082284&partnerID=40&md5=0878de9b7480a8489b1ee41599321275",Article,Scopus,2-s2.0-0034082284
"Simonetti, M.C., Bellomo, M.P., Laghetti, G., Perrino, P., Simeone, R., Blanco, A.","Quantitative trait loci influencing free-threshing habit in tetraploid wheats",1999,"Genetic Resources and Crop Evolution","46","3",,"267","271",,34,10.1023/A:1008602009133,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033405539&partnerID=40&md5=abd5a7d43786aa3204c76a1809d33925",Article,Scopus,2-s2.0-0033405539
"Hammer, K., Laghetti, G., Perrino, P.","A checklist of the cultivated plants of Ustica (Italy)",1999,"Genetic Resources and Crop Evolution","46","1",,"95","106",,12,10.1023/A:1008601909574,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033035483&partnerID=40&md5=279b51fcaeda25f21ddf5dc098fab550",Article,Scopus,2-s2.0-0033035483
"Simonetti, M.C., Bellomo, M.P., Laghetti, G., Perrino, P., Simeone, R., Blanco, A.","Erratum: Quantitative trait loci influencing free-threshing habit in tetraploid wheats (Genetic Resources and Crop Evolution (1999) 46 (267-271))",1999,"Genetic Resources and Crop Evolution","46","6",,"629","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032702993&partnerID=40&md5=95842302af181b144f30c2182090eba5",Erratum,Scopus,2-s2.0-0032702993
"Hammer, K., Laghetti, G., Perrino, P.","Proposal to make the island of Linosa/Italy as a centre for on-farm conservation of plant genetic resources",1997,"Genetic Resources and Crop Evolution","44","2",,"127","135",,10,10.1023/A:1008603014588,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030613349&partnerID=40&md5=f375eedd611dc4a6f04efb4894260a58",Article,Scopus,2-s2.0-0030613349
"Lattanzio, V., Cardinali, A., Linsalata, V., Perrino, P., Ng, N.Q.","A chemosystematic study of the flavonoids of Vigna",1996,"Genetic Resources and Crop Evolution","43","6",,"493","504",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030457562&partnerID=40&md5=0eb4a48c986d0f7695c47629ea2d0a98",Article,Scopus,2-s2.0-0030457562
"Limongelli, G., Laghetti, G., Perrino, P., Piergiovanni, A.R.","Variation of seed storage proteins in landraces of common bean (Phaseolus vulgaris L.) from Basilicata, Southern Italy",1996,"Euphytica","92","3",,"393","399",,35,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030447240&partnerID=40&md5=367ea6c990639194dfc4d3f6d1e03eb7",Article,Scopus,2-s2.0-0030447240
