Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Gutierrez, A.P., Ponti, L., Herren, H.R., Baumgärtner, J., Kenmore, P.E.","Deconstructing Indian cotton: weather, yields, and suicides",2015,"Environmental Sciences Europe","27","1", 12,"","",17,,10.1186/s12302-015-0043-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84935837510&partnerID=40&md5=f212edb24fb2421c7a1b7b531d32e428",Article,Scopus,2-s2.0-84935837510
"Asplen, M.K., Anfora, G., Biondi, A., Choi, D.-S., Chu, D., Daane, K.M., Gibert, P., Gutierrez, A.P., Hoelmer, K.A., Hutchison, W.D., Isaacs, R., Jiang, Z.-L., Kárpáti, Z., Kimura, M.T., Pascual, M., Philips, C.R., Plantamp, C., Ponti, L., Vétek, G., Vogt, H., Walton, V.M., Yu, Y., Zappalà, L., Desneux, N.","Invasion biology of spotted wing Drosophila (Drosophila suzukii): a global perspective and future priorities",2015,"Journal of Pest Science","88","3",,"469","494",,1,10.1007/s10340-015-0681-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939470783&partnerID=40&md5=8dd9761fab26b188b3917e05064b411f",Review,Scopus,2-s2.0-84939470783
"Rocchini, D., Andreo, V., Förster, M., Garzon-Lopez, C.X., Gutierrez, A.P., Gillespie, T.W., Hauffe, H.C., He, K.S., Kleinschmit, B., Mairota, P., Marcantonio, M., Metz, M., Nagendra, H., Pareeth, S., Ponti, L., Ricotta, C., Rizzoli, A., Schaab, G., Zebisch, M., Zorer, R., Neteler, M.","Potential of remote sensing to predict species invasions: A modelling perspective",2015,"Progress in Physical Geography","39","3",,"283","309",,1,10.1177/0309133315574659,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930394085&partnerID=40&md5=3ab331d8735c5ac134cec2f0055a274d",Article,Scopus,2-s2.0-84930394085
"Ponti, L., Gilioli, G., Biondi, A., Desneux, N., Gutierrez, A.P.","Physiologically based demographic models streamline identification and collection of data in evidence-based pest risk assessment",2015,"EPPO Bulletin","45","2",,"317","322",,,10.1111/epp.12224,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937844136&partnerID=40&md5=8b58f6e0e7dd27da4ddfc93e59ea7348",Article,Scopus,2-s2.0-84937844136
"Ponti, L., Gutierrez, A.P., Altieri, M.A.","Holistic Approach in Invasive Species Research: The Case of the Tomato Leaf Miner in the Mediterranean Basin",2015,"Agroecology and Sustainable Food Systems","39","4",,"436","468",,1,10.1080/21683565.2014.990074,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924766344&partnerID=40&md5=e6dfc268ad1f71f79aad333539b54e3b",Article,Scopus,2-s2.0-84924766344
"Gutierrez, A.P., Ponti, L.","Assessing and managing the impact of climate change on invasive species: The PBDM approach",2014,"Invasive Species and Global Climate Change",,,,"271","290",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927788875&partnerID=40&md5=d021e4a548ca52f77598186ef0696e1a",Book Chapter,Scopus,2-s2.0-84927788875
"Gutierrez, A.P., Ponti, L.","Analysis of invasive insects: Links to climate change",2014,"Invasive Species and Global Climate Change",,,,"45","61",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924802064&partnerID=40&md5=d56b63807d59ae644c1ef1a51e52a9b8",Book Chapter,Scopus,2-s2.0-84924802064
"Gutierrez, A.P., Ponti, L., Gilioli, G.","Comments on the concept of ultra-low, cryptic tropical fruit fly populations",2014,"Proceedings. Biological sciences / The Royal Society","281","1782",,"20132825","",,,10.1098/rspb.2013.2825,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924922672&partnerID=40&md5=c1fed763f71dcda7cc7bbb8c38364171",Note,Scopus,2-s2.0-84924922672
"Ponti, L., Gutierrez, A.P., Ruti, P.M., Dell'Aquila, A.","Fine-scale ecological and economic assessment of climate change on olive in the Mediterranean Basin reveals winners and losers",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","15",,"5598","5603",,7,10.1073/pnas.1314437111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898825739&partnerID=40&md5=ff00aefb4e43213db890797f28eaae7b",Article,Scopus,2-s2.0-84898825739
"Gutierrez, A.P., Ponti, L., Gilioli, G.","Comments on the concept of ultra-low, cryptic tropical fruit fly populations",2014,"Proceedings of the Royal Society B: Biological Sciences","281","1782", 20132825,"","",,1,10.1098/rspb.2013.2825,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896038186&partnerID=40&md5=072ff436c7724898c21b51e6609ddc94",Note,Scopus,2-s2.0-84896038186
"Gutierrez, A.P., Ponti, L.","The new world screwworm: Prospective distribution and role of weather in eradication",2014,"Agricultural and Forest Entomology","16","2",,"158","173",,3,10.1111/afe.12046,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898026174&partnerID=40&md5=7770269ab5cd79f73f0e5f03ffe107e1",Article,Scopus,2-s2.0-84898026174
"Gutierrez, A.P., Ponti, L.","Prospective analysis of the geographic distribution and relative abundance of asian citrus psyllid (Hemiptera: Liviidae) and citrus greening disease in North America and the mediterranean basin",2013,"Florida Entomologist","96","4",,"1375","1391",,2,10.1653/024.096.0417,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893317255&partnerID=40&md5=aa97c475c7758cccc8014a8a202af541",Article,Scopus,2-s2.0-84893317255
"Gutierrez, A.P., Ponti, L.","Deconstructing the control of the spotted alfalfa aphid Therioaphis maculata",2013,"Agricultural and Forest Entomology","15","3",,"272","284",,3,10.1111/afe.12015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880330506&partnerID=40&md5=334592f7cadc9c700074168f14b104fe",Article,Scopus,2-s2.0-84880330506
"Gutierrez, A.P., Ponti, L.","Eradication of invasive species: Why the biology matters",2013,"Environmental Entomology","42","3",,"395","411",,12,10.1603/EN12018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878691217&partnerID=40&md5=e4c762deeec6de9d21a6c617997a7f15",Article,Scopus,2-s2.0-84878691217
"Gutierrez, A.P., Ponti, L., Cooper, M.L., Gilioli, G., Baumgärtner, J., Duso, C.","Prospective analysis of the invasive potential of the European grapevine moth Lobesia botrana (Den. & Schiff.) in California",2012,"Agricultural and Forest Entomology","14","3",,"225","238",,15,10.1111/j.1461-9563.2011.00566.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863779178&partnerID=40&md5=edd4cf6ee9ae49812893d5f36e4363d4",Article,Scopus,2-s2.0-84863779178
"Altieri, M.A., Ponti, L., Nicholls, C.I.","Soil Fertility, Biodiversity and Pest Management",2012,"Biodiversity and Insect Pests: Key Issues for Sustainable Management",,,,"72","84",,4,10.1002/9781118231838.ch5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875499914&partnerID=40&md5=6c3abe9f15a9193a62d1b2761f240577",Book Chapter,Scopus,2-s2.0-84875499914
"Gutierrez, A.P., Ponti, L.","Assessing the invasive potential of the Mediterranean fruit fly in California and Italy",2011,"Biological Invasions","13","12",,"2661","2676",,18,10.1007/s10530-011-9937-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80255138814&partnerID=40&md5=d39a40a70f9b2c7542858faafb3c10e7",Article,Scopus,2-s2.0-80255138814
"Gutierrez, A.P., Ponti, L., Hoddle, M., Almeida, R.P.P., Irvin, N.A.","Geographic distribution and relative abundance of the invasive glassy-winged sharpshooter: Effects of temperature and egg parasitoids",2011,"Environmental Entomology","40","4",,"755","769",,8,10.1603/EN10174,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051768275&partnerID=40&md5=272792a72d97fadbdb7df0b45838c412",Review,Scopus,2-s2.0-80051768275
"Gutierrez, A.P., Mills, N.J., Ponti, L.","Limits to the potential distribution of light brown apple moth in Arizona-California based on climate suitability and host plant availability",2010,"Biological Invasions","12","9",,"3319","3331",,27,10.1007/s10530-010-9725-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955773098&partnerID=40&md5=26ec96b777e50a579fb98c2196134686",Article,Scopus,2-s2.0-77955773098
"Ponti, L., Antoniocossu, Q., Gutierrez, A.P.","Climate warming effects on the Olea europaea-Bactrocera oleae system in Mediterranean islands: Sardinia as an example",2009,"Global Change Biology","15","12",,"2874","2884",,17,10.1111/j.1365-2486.2009.01938.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-74549148023&partnerID=40&md5=95777a1f54af55720175c487aefdeef4",Article,Scopus,2-s2.0-74549148023
"Gutierrez, A.P., Ponti, L., Cossu, Q.A.","Effects of climate warming on Olive and olive fly (Bactrocera oleae (Gmelin)) in California and Italy",2009,"Climatic Change","95","1-2",,"195","217",,32,10.1007/s10584-008-9528-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67651146423&partnerID=40&md5=b65694275bb8a3efa847477a421659e0",Article,Scopus,2-s2.0-67651146423
"Nicholls, C.I., Altieri, M.A., Ponti, L.","Enhancing plant diversity for improved insect pest management in Northern California organic vineyards",2008,"Acta Horticulturae","785",,,"263","278",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-55049098290&partnerID=40&md5=005282fa0599425f80f026963338b4b4",Conference Paper,Scopus,2-s2.0-55049098290
"Gutierrez, A.P., Daane, K.M., Ponti, L., Walton, V.M., Ellis, C.K.","Prospective evaluation of the biological control of vine mealybug: Refuge effects and climate",2008,"Journal of Applied Ecology","45","2",,"524","536",,34,10.1111/j.1365-2664.2007.01356.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-40949103613&partnerID=40&md5=2455fa25a0ee40ec9a40713e3643ace9",Article,Scopus,2-s2.0-40949103613
"Ponti, L., Antonio Cossu, Q., Gutierrez, A.P.","Climate change effects on olive systems in sardinia: Analysis of the alghero climate scenario",2008,"Italian Journal of Agrometeorology",,"1",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79954561592&partnerID=40&md5=2f7a7b16195f6680b0faa1c8bb5952b2",Article,Scopus,2-s2.0-79954561592
"Altieri, M.A., Nicholls, C.I., Ponti, L.","Crop diversification strategies for pest regulation in IPM systems",2008,"Integrated Pest Management: Concepts, Tactics, Strategies and Case Studies",,,,"116","130",,1,10.1017/CBO9780511626463.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927092829&partnerID=40&md5=4bf37d95a85504aa5054c063319bb243",Book Chapter,Scopus,2-s2.0-84927092829
"Gutierrez, A.P., Ponti, L., d'Oultremont, T., Ellis, C.K.","Climate change effects on poikilotherm tritrophic interactions",2007,"Climatic Change","87","1 SUPPL",,"S167","S192",,38,10.1007/s10584-007-9379-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893692598&partnerID=40&md5=4678f72bfdd7b9ef56f9f48bced435b3",Article,Scopus,2-s2.0-84893692598
"Ponti, L., Altieri, M.A., Gutierrez, A.P.","Effects of crop diversification levels and fertilization regimes on abundance of Brevicoryne brassicae (L.) and its parasitization by Diaeretiella rapae (M'Intosh) in broccoli",2007,"Agricultural and Forest Entomology","9","3",,"209","214",,29,10.1111/j.1461-9563.2007.00330.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447507826&partnerID=40&md5=a344c7430bf06911a215e06efae340db",Article,Scopus,2-s2.0-34447507826
"Gutierrez, A.P., D'Oultremont, T., Ellis, C.K., Ponti, L.","Climatic limits of pink bollworm in Arizona and California: effects of climate warming",2006,"Acta Oecologica","30","3",,"353","364",,20,10.1016/j.actao.2006.06.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845329823&partnerID=40&md5=c13d3425da094cd3eadec013c43bf73d",Article,Scopus,2-s2.0-33845329823
