Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Dudley, P.N., Bonazza, R., Jones, T.T., Wyneken, J., Porter, W.P.","Leatherbacks swimming in silico: Modeling and verifying their momentum and heat balance using computational fluid dynamics",2014,"PLoS ONE","9","10", e110701,"","",,1,10.1371/journal.pone.0110701,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908658075&partnerID=40&md5=7ea280db8118d3f3e7f1adbc14617e94",Article,Scopus,2-s2.0-84908658075
"Sepúlveda, M., Sabat, P., Porter, W.P., Fariña, J.M.","One solution for two challenges: The lizard Microlophus atacamensis avoids overheating by foraging in intertidal shores",2014,"PLoS ONE","9","5", e97735,"","",,,10.1371/journal.pone.0097735,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901311266&partnerID=40&md5=cd752fc1da218658ee27415960fbe216",Article,Scopus,2-s2.0-84901311266
"Barton, M., Porter, W., Kearney, M.","Behavioural thermoregulation and the relative roles of convection and radiation in a basking butterfly",2014,"Journal of Thermal Biology","41","1",,"65","71",,2,10.1016/j.jtherbio.2014.02.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896719207&partnerID=40&md5=78206e6d6ab6ae1d81c4767b0b9bdbaa",Article,Scopus,2-s2.0-84896719207
"Boriosi, J.P., Maki, D.G., Yngsdal-Krenz, R.A., Wald, E.R., Porter, W.P., Cook, M.E., Bütz, D.E.","Changes in breath carbon isotope composition as a potential biomarker of inflammatory acute phase response in mechanically ventilated pediatric patients",2014,"Journal of Analytical Atomic Spectrometry","29","4",,"599","605",,3,10.1039/c3ja50331c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900651552&partnerID=40&md5=49b13a0d5a9b040046fadf912a7c256d",Article,Scopus,2-s2.0-84900651552
"Dudley, P.N., Porter, W.P.","Using empirical and mechanistic models to assess Global warming threats to leatherback sea turtles",2014,"Marine Ecology Progress Series","501",,,"265","278",,3,10.3354/meps10665,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898657120&partnerID=40&md5=60958087136883a72a4883cb83593179",Article,Scopus,2-s2.0-84898657120
"Mansfield, K.L., Wyneken, J., Porter, W.P., Luo, J.","First satellite tracks of neonate sea turtles redefine the 'lost years' oceanic niche",2014,"Proceedings of the Royal Society B: Biological Sciences","281","1781", 20133039,"","",,16,10.1098/rspb.2013.3039,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902665514&partnerID=40&md5=d4d4b7d5bdbcaa98b8b9967771170871",Article,Scopus,2-s2.0-84902665514
"Kearney, M.R., Shamakhy, A., Tingley, R., Karoly, D.J., Hoffmann, A.A., Briggs, P.R., Porter, W.P.","Microclimate modelling at macro scales: A test of a general microclimate model integrated with gridded continental-scale soil and weather data",2014,"Methods in Ecology and Evolution","5","3",,"273","286",,11,10.1111/2041-210X.12148,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897765069&partnerID=40&md5=194ef2249ac4a840296df053d5a95d48",Article,Scopus,2-s2.0-84897765069
"Briscoe, N.J., Handasyde, K.A., Griffiths, S.R., Porter, W.P., Krockenberger, A., Kearney, M.R.","Tree-hugging koalas demonstrate a novel thermoregulatory mechanism for arboreal mammals",2014,"Biology Letters","10","6", 20140235,"","",,7,10.1098/rsbl.2014.0235,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904497070&partnerID=40&md5=45b5cca6eb60aaf1b764671a5a6b802f",Article,Scopus,2-s2.0-84904497070
"Huang, S.-P., Porter, W.P., Tu, M.-C., Chiou, C.-R.","Forest cover reduces thermally suitable habitats and affects responses to a warmer climate predicted in a high-elevation lizard",2014,"Oecologia","175","1",,"25","35",,2,10.1007/s00442-014-2882-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901391813&partnerID=40&md5=6421c6fc05d2f7b941717670f6ff1816",Article,Scopus,2-s2.0-84901391813
"Deville, A.-S., Labaude, S., Robin, J.-P., Béchet, A., Gauthier-Clerc, M., Porter, W., Fitzpatrick, M., Mathewson, P., Grémillet, D.","Impacts of extreme climatic events on the energetics of long-lived vertebrates: The case of the greater flamingo facing cold spells in the camargue",2014,"Journal of Experimental Biology","217","20",,"3700","3707",,3,10.1242/jeb.106344,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925863058&partnerID=40&md5=0c18cc65dd01cf63ecb432549cefc2e6",Article,Scopus,2-s2.0-84925863058
