Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rountree, R.","Roundoc Rx: Nutritional and botanical approaches for peripheral neuropathy",2015,"Alternative and Complementary Therapies","21","3",,"99","105",,,10.1089/act.2015.29007.rr,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930692934&partnerID=40&md5=96cbd4f58d3b63cfd000ae00cc378bb5",Article,Scopus,2-s2.0-84930692934
"McKee, D.L., Rountree, R.","Alternative Theories of Cancer Causation - Are DNA Mutations Primary?: A Clinical Conversation",2015,"Alternative and Complementary Therapies","21","4",,"151","156",,,10.1089/act.2015.29017.dlm,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939457220&partnerID=40&md5=6c351f049ae0275abd58d91fddae0d16",Note,Scopus,2-s2.0-84939457220
"Rountree, R.","Roundoc rx: Mild cognitive impairment and memory loss",2015,"Alternative and Complementary Therapies","21","2",,"51","56",,,10.1089/act.2015.21209,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928810367&partnerID=40&md5=a66542235fba465aeeb8912052d140f5",Review,Scopus,2-s2.0-84928810367
"Maker-Clark, G., Rountree, R.","Creating Healthier Microbiomes, from Conception to Childhood: A Clinical Conversation with Geeta Maker-Clark, MD, and Robert Rountree, MD",2015,"Alternative and Complementary Therapies","21","5",,"189","193",,,10.1089/act.2015.29025.gmc,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944255064&partnerID=40&md5=bc960f66bb46279c81de0d2562d2a9e8",Review,Scopus,2-s2.0-84944255064
"Blumenthal, M., Rountree, R.","Botanical adulterants and safety: A clinical conversation with Mark Blumenthal and Robert Rountree, MD",2015,"Alternative and Complementary Therapies","21","3",,"116","120",,,10.1089/act.2015.29002.mb,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930692543&partnerID=40&md5=eae82acadd2c8a816a294f9dcb22afa2",Note,Scopus,2-s2.0-84930692543
"Rountree, R.","Roundoc Rx: Monoculture and loss of biodiversity: Effects on human health",2015,"Alternative and Complementary Therapies","21","1",,"6","12",,,10.1089/act.2015.21110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923281804&partnerID=40&md5=7dac40495bc843f96cfa6efecea76a2e",Article,Scopus,2-s2.0-84923281804
"Rountree, R.","Roundoc Rx: Optimal integrative treatment for ulcerative colitis",2014,"Alternative and Complementary Therapies","20","4",,"167","175",,,10.1089/act.2014.20410,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906229697&partnerID=40&md5=d31e311645952a6f4d841a607a447451",Article,Scopus,2-s2.0-84906229697
"Rountree, R.","Roundoc Rx: Rheumatoid arthritis - A functional medicine approach",2014,"Alternative and Complementary Therapies","20","3",,"114","122",,,10.1089/act.2014.20310,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903173264&partnerID=40&md5=4dafcd87e5c3e55bc5bd00576aecf90b",Article,Scopus,2-s2.0-84903173264
"Rountree, R.","Roundoc Rx: Mitochondria and disease-what clinicians need to know and why",2014,"Alternative and Complementary Therapies","20","1",,"5","10",,1,10.1089/act.2014.20107,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894548379&partnerID=40&md5=c586a67ab15874c6971e5620ddb14087",Article,Scopus,2-s2.0-84894548379
"Rountree, R.","Roundoc Rx: Migraine headaches: An integrative medicine approach to management",2014,"Alternative and Complementary Therapies","20","5",,"230","238",,,10.1089/act.2014.20511,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84913600997&partnerID=40&md5=8ef1e8a9deaae82c936e115638c29903",Article,Scopus,2-s2.0-84913600997
