Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Saunders, P.T.","Evolutionary Psychology: A House Built on Sand",2013,"Advances in Child Development and Behavior","44",,,"257","287",,,10.1016/B978-0-12-397947-6.00009-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877058912&partnerID=40&md5=5a2aa8ca7a03b61c36d74a308f014edd",Article,Scopus,2-s2.0-84877058912
"Saunders, P.T.","The duty to register phase I trials",2009,"American Journal of Bioethics","9","8",,"41","42",,1,10.1080/15265160902940030,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70449587324&partnerID=40&md5=cda1c14738229e2265eda1503e65ae1e",Article,Scopus,2-s2.0-70449587324
"Saunders, P.T.","Experts at the benchside",2008,"American Journal of Bioethics","8","3",,"20","21",,1,10.1080/15265160802109355,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45849147009&partnerID=40&md5=6471db12977214a415214724c616ea63",Note,Scopus,2-s2.0-45849147009
"Ho, M.-W., Saunders, P.T.","GM soybeans - Revisiting a controversial format [3]",2007,"Nature Biotechnology","25","12",,"1355","",,1,10.1038/nbt1207-1355a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36849000326&partnerID=40&md5=da69a634ec4d758dc91b93b7bd5db8e3",Letter,Scopus,2-s2.0-36849000326
"Ho, M.-W., Cummins, J., Saunders, P.","GM food nightmare unfolding in the regulatory sham",2007,"Microbial Ecology in Health and Disease","19","2",,"66","77",,5,10.1080/08910600701343781,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250624328&partnerID=40&md5=ce2ffb8af8ab0aac2519c863abe9bd39",Review,Scopus,2-s2.0-34250624328
"Koeslag, J.H., Saunders, P.T.","The role of chromogranins and other statins in homeostasis: An explanation of the precise regulation of glucose and ionised calcium in the blood; an overview",2004,"Current Medicinal Chemistry: Immunology, Endocrine and Metabolic Agents","4","3",,"235","249",,2,10.2174/1568013043357716,"http://www.scopus.com/inward/record.url?eid=2-s2.0-4344576573&partnerID=40&md5=2e8281bf9116fdaad969844454477ec8",Review,Scopus,2-s2.0-4344576573
"Saunders, P.T.","Bricks without straw: Darwinism in the social sciences",2003,"Theoria-Revista De Teoria Historia Y Fundamentos De La Ciencia","18","48",,"259","272",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-61249086053&partnerID=40&md5=a6e840d275edb72920c9a09172cfe8a5",Article,Scopus,2-s2.0-61249086053
"Koeslag, J.H., Saunders, P.T., Terblanche, E.","A reappraisal of the blood glucose homeostat which comprehensively explains the type 2 diabetes mellitus-syndrome X complex",2003,"Journal of Physiology","549","2",,"333","346",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037497130&partnerID=40&md5=0e053211be19a3362fe157568261c474",Review,Scopus,2-s2.0-0037497130
"Saunders, P.T., Koeslag, J.H., Wessels, J.A.","Integral rein control in physiology II: A general model",2000,"Journal of Theoretical Biology","206","2",,"211","220",,15,10.1006/jtbi.2000.2118,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034699476&partnerID=40&md5=375aa942663c7172a130c4159cfb5d1c",Article,Scopus,2-s2.0-0034699476
"Koeslag, J.H., Saunders, P.T., Wessels, J.A.","The chromogranins and the counter-regulatory hormones: Do they make homeostatic sense?",1999,"Journal of Physiology","517","3",,"643","649",,35,10.1111/j.1469-7793.1999.0643s.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033564154&partnerID=40&md5=a7151e5b59bbe819e97609e0e2aa19be",Article,Scopus,2-s2.0-0033564154
"Saunders, P.T., Koeslag, J.H., Wessels, J.A.","Integral rein control in physiology",1998,"Journal of Theoretical Biology","194","2",,"163","173",,31,10.1006/jtbi.1998.0746,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032555930&partnerID=40&md5=4dcadb23b757fedd473ce39c222e2a0d",Article,Scopus,2-s2.0-0032555930
