Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sayre, P., Seidler, R.J.","Application of GMOs in the U.S.: EPA research & regulatory considerations related to soil systems",2005,"Plant and Soil","275","1-2",,"77","91",,4,10.1007/s11104-004-6652-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-27944477813&partnerID=40&md5=5ed3188f572d8b32b8ce4a831b194b76",Conference Paper,Scopus,2-s2.0-27944477813
"Porteous, L.A., Widmer, F., Seidler, R.J.","Multiple enzyme restriction fragment length polymorphism analysis for high resolution distinction of Pseudomonas (sensu stricto) 16S rRNA genes",2002,"Journal of Microbiological Methods","51","3",,"337","348",,24,10.1016/S0167-7012(02)00108-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036829246&partnerID=40&md5=27a6b74a81ffbd252a43d6a2bee4e626",Article,Scopus,2-s2.0-0036829246
"Olszyk, D.M., Johnson, M.G., Phillips, D.L., Seidler, R.J., Tingey, D.T., Watrud, L.S.","Interactive effects of CO2 and O3 on a ponderosa pine plant/litter/soil mesocosm",2001,"Environmental Pollution","115","3",,"447","462",,28,10.1016/S0269-7491(01)00234-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034740279&partnerID=40&md5=b4bdf1c26fb110fa440aaf802479b338",Conference Paper,Scopus,2-s2.0-0034740279
"Donegan, K.K., Watrud, L.S., Seidler, R.J., Maggard, Sharon.P., Shiroyama, T., Porteous, L.Arlene, DiGiovanni, G.","Soil and litter organisms in Pacific northwest forests under different management practices",2001,"Applied Soil Ecology","18","2",,"159","175",,27,10.1016/S0929-1393(01)00155-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034836555&partnerID=40&md5=a025e09a52c63eb0344169926c2d9cd3",Article,Scopus,2-s2.0-0034836555
"Shaffer, B.T., Widmer, F., Porteous, L.A., Seidler, R.J.","Temporal and spatial distribution of the nifH gene of N2 fixing bacteria in forests and clearcuts in Western Oregon",2000,"Microbial Ecology","39","1",,"12","21",,46,10.1007/s002489900183,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034093663&partnerID=40&md5=8c314d308731831ae69f7984d63e35ec",Article,Scopus,2-s2.0-0034093663
"Donegan, K.K., Seidler, R.J., Doyle, J.D., Porteous, L.A., Digiovanni, G., Widmer, F., Watrud, L.S.","A field study with genetically engineered alfalfa inoculated with recombinant Sinorhizobium meliloti: Effects on the soil ecosystem",1999,"Journal of Applied Ecology","36","6",,"920","936",,73,10.1046/j.1365-2664.1999.00448.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033372288&partnerID=40&md5=fbbe109a1abc60c2d31ef1710de6e047",Article,Scopus,2-s2.0-0033372288
"Di Giovanni, G.D., Watrud, L.S., Seidler, R.J., Widmer, F.","Fingerprinting of mixed bacterial strains and BIOLOG gram-negative (GN) substrate communities by enterobacterial repetitive intergenic consensus sequence-PCR (ERIC-PCR)",1999,"Current Microbiology","38","4",,"217","223",,31,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032998167&partnerID=40&md5=70b0260e9a4338ab210c3b8db7bcf298",Article,Scopus,2-s2.0-0032998167
"Di Giovanni, G.D., Watrud, L.S., Seidler, R.J., Widmer, F.","Comparison of parental and transgenic alfalfa rhizosphere bacterial communities using Biolog GN metabolic fingerprinting and enterobacterial repetitive intergenic consensus sequence-PCR (ERIC-PCR)",1999,"Microbial Ecology","37","2",,"129","139",,96,10.1007/s002489900137,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032937671&partnerID=40&md5=5e91c93a84c56451ca36141688b250ab",Article,Scopus,2-s2.0-0032937671
"Widmer, F., Shaffer, B.T., Porteous, L.A., Seidler, R.J.","Analysis of nifH gene pool complexity in soil and litter at a douglas fir forest site in the oregon cascade mountain range",1999,"Applied and Environmental Microbiology","65","2",,"374","380",,168,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033083698&partnerID=40&md5=223e0e2bc4581f556051b9e73af37abd",Article,Scopus,2-s2.0-0033083698
"Widmer, F., Seidler, R.J., Gillevet, P.M., Watrud, L.S., Di Giovanni, G.D.","A highly selective PCR protocol for detecting 16S rRNA genes of the genus Pseudomonas (sensu stricto) in environmental samples",1998,"Applied and Environmental Microbiology","64","7",,"2545","2553",,152,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031813913&partnerID=40&md5=b43f85c66af31bdb410255a6155c1500",Article,Scopus,2-s2.0-0031813913
"Donegan, K.K., Seidler, R.J., Fieland, V.J., Schaller, D.L., Palm, C.J., Ganio, L.M., Cardwell, D.M., Steinberger, Y.","Decomposition of genetically engineered tobacco under field conditions: Persistence of the proteinase inhibitor I product and effects on soil microbial respiration and protozoa, nematode and microarthropod populations",1997,"Journal of Applied Ecology","34","3",,"767","777",,61,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030616728&partnerID=40&md5=ad085acc8ffac82bbcba3262952b1ff6",Article,Scopus,2-s2.0-0030616728
"Abebe, H.M., Seidler, R.J., Lindow, S.E., Short, K.A., Clark, E., King, R.J.","Relative expression and stability of a chromosomally integrated and plasmid-borne marker gene fusion in environmentally competent bacteria",1997,"Current Microbiology","34","2",,"71","78",,4,10.1007/s002849900147,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031025542&partnerID=40&md5=f28538c30c793478c8fcc6ec41156903",Article,Scopus,2-s2.0-0031025542
