Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Seneff, S., Davidson, R.M., Lauritzen, A., Samsel, A., Wainwright, G.","A novel hypothesis for atherosclerosis as a cholesterol sulfate deficiency syndrome",2015,"Theoretical Biology and Medical Modelling",,,,"","",,,10.1186/s12976-015-0006-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931032083&partnerID=40&md5=bbfcbe3b13fbe3f753c9100df245a1b0",Article in Press,Scopus,2-s2.0-84931032083
"Davidson, R.M., Lauritzen, A., Seneff, S.","Correction on Davidson, ""Biological Water Dynamics and Entropy: A Biophysical Origin of Cancer and Other Diseases"" [Entropy 2013, 15, 3822-3876]",2015,"Entropy","17","9",,"6238","6238",,,10.3390/e17096238,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945157070&partnerID=40&md5=ffc45ef63a7372e5bffa06ecdc6d4759",Erratum,Scopus,2-s2.0-84945157070
"Koenig, G., Seneff, S.","Gamma-Glutamyltransferase: A Predictive Biomarker of Cellular Antioxidant Inadequacy and Disease Risk",2015,"Disease Markers","2015",, 818570,"","",,,10.1155/2015/818570,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946080000&partnerID=40&md5=20f072424c159746d931a79428d60231",Review,Scopus,2-s2.0-84946080000
"Morley, W.A., Seneff, S.","Diminished brain resilience syndrome: A modern day neurological pathology of increased susceptibility to mild brain trauma, concussion, and downstream neurodegeneration",2014,"Surgical Neurology International","5","Supplement", 134731,"","",,,10.4103/2152-7806.134731,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84916196646&partnerID=40&md5=0efdf413a7a15f15b99258d885294b51",Article,Scopus,2-s2.0-84916196646
"Shaw, C.A., Seneff, S., Kette, S.D., Tomljenovic, L., Oller, J.W., Davidson, R.M.","Aluminum-induced entropy in biological systems: Implications for neurological disease",2014,"Journal of Toxicology","2014",, 491316,"","",,5,10.1155/2014/491316,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911919224&partnerID=40&md5=8f89f21fa4b152224015e39f8d14d42f",Article,Scopus,2-s2.0-84911919224
"Shaw, C.A., Kette, S.D., Davidson, R.M., Seneff, S.","Aluminum's role in CNS-immune system interactions leading to neurological disorders",2013,"Immunome Research","9","1", 1000069,"","",,4,10.4172/1745-7580.1000069,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896781085&partnerID=40&md5=81ff18314109c68f0f252158cc1f6a8a",Article,Scopus,2-s2.0-84896781085
"Davidson, R.M., Lauritzen, A., Seneff, S.","Biological water dynamics and entropy: A biophysical origin of cancer and other diseases",2013,"Entropy","15","9",,"3822","3876",,13,10.3390/e15093822,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885345746&partnerID=40&md5=10bce783d1f5d971e99279c5b27bddf6",Review,Scopus,2-s2.0-84885345746
"Samsel, A., Seneff, S.","Glyphosate, pathways to modern diseases II: Celiac sprue and gluten intolerance",2013,"Interdisciplinary Toxicology","6","4",,"159","184",,5,10.2478/intox-2013-0026,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898477739&partnerID=40&md5=f25fbed54923b09fe165d0e04b17d8b2",Review,Scopus,2-s2.0-84898477739
"Seneff, S., Lauritzen, A., Davidson, R.M., Lentz-Marino, L.","Is encephalopathy a mechanism to renew sulfate in autism?",2013,"Entropy","15","1",,"372","406",,5,10.3390/e15010372,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873180629&partnerID=40&md5=379971d72d997ce0c107d1e80679bc07",Review,Scopus,2-s2.0-84873180629
"Liu, J., Seneff, S., Zue, V.","Harvesting and summarizing user-generated content for advanced speech-based HCI",2012,"IEEE Journal on Selected Topics in Signal Processing","6","8", 6359745,"982","992",,1,10.1109/JSTSP.2012.2229690,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872136784&partnerID=40&md5=8c69bc6294540df93a2d61f5a86d8821",Article,Scopus,2-s2.0-84872136784
"Seneff, S., Lauritzen, A., Davidson, R., Lentz-Marino, L.","Is endothelial nitric oxide synthase a moonlighting protein whose day job is cholesterol sulfate synthesis? Implications for cholesterol transport, diabetes and cardiovascular disease",2012,"Entropy","14","12",,"2492","2530",,7,10.3390/e14122492,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871586028&partnerID=40&md5=e28aeed85613c04937e4cea4964e800b",Review,Scopus,2-s2.0-84871586028
"Seneff, S., Davidson, R.M., Liu, J.","Is cholesterol sulfate deficiency a common factor in preeclampsia, autism, and pernicious anemia?",2012,"Entropy","14","11",,"2265","2290",,4,10.3390/e14112265,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871644519&partnerID=40&md5=e45aa75c855634aaa9ce52a47896a4a0",Article,Scopus,2-s2.0-84871644519
"Seneff, S., Davidson, R.M., Liu, J.","Empirical data confirm autism symptoms related to aluminum and acetaminophen exposure",2012,"Entropy","14","11",,"2227","2253",,13,10.3390/e14112227,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871658316&partnerID=40&md5=660253461cadd842ce67c40403d1e79b",Review,Scopus,2-s2.0-84871658316
"Xu, Y., Seneff, S.","Improving nonnative speech understanding using context and N-best meaning fusion",2012,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",,, 6289037,"4977","4980",,,10.1109/ICASSP.2012.6289037,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867609317&partnerID=40&md5=b780903595351ed338a72e2dcdd5d26d",Conference Paper,Scopus,2-s2.0-84867609317
"Davidson, R.M., Seneff, S.","The initial common pathway of inflammation, disease, and sudden death",2012,"Entropy","14","8",,"1399","1442",,10,10.3390/e14081399,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867585153&partnerID=40&md5=1ca2242500a456308e54bc90aaac846f",Review,Scopus,2-s2.0-84867585153
"Seneff, S., Davidson, R., Mascitelli, L.","Might cholesterol sulfate deficiency contribute to the development of autistic spectrum disorder?",2012,"Medical Hypotheses","78","2",,"213","217",,10,10.1016/j.mehy.2011.10.026,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855194896&partnerID=40&md5=dbc54aea82da48e7a0ba0cf2800966eb",Article,Scopus,2-s2.0-84855194896
"Mascitelli, L., Seneff, S., Goldstein, M.R.","Association of Alzheimer disease pathology with abnormal lipid metabolism: The Hisayama study",2012,"Neurology","78","2",,"151","152",,2,10.1212/WNL.0b013e318242b283,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857436439&partnerID=40&md5=6d69e75f064a3ed47a2c155fd0588aeb",Note,Scopus,2-s2.0-84857436439
"McGraw, I., Glass, J., Seneff, S.","Growing a spoken language interface on Amazon Mechanical Turk",2011,"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH",,,,"3057","3060",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865725683&partnerID=40&md5=b5ce2e58d1bdb54eea90e041575e5971",Conference Paper,Scopus,2-s2.0-84865725683
"Mertens, T., Seneff, S.","Subword-based automatic lexicon learning for speech recognition",2011,"2011 IEEE Workshop on Automatic Speech Recognition and Understanding, ASRU 2011, Proceedings",,, 6163938,"243","248",,1,10.1109/ASRU.2011.6163938,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84858964078&partnerID=40&md5=cda0cb21dfeefe1c699107b2a9dd062a",Conference Paper,Scopus,2-s2.0-84858964078
"Liu, J., Seneff, S.","A dialogue system for accessing drug reviews",2011,"2011 IEEE Workshop on Automatic Speech Recognition and Understanding, ASRU 2011, Proceedings",,, 6163952,"324","329",,,10.1109/ASRU.2011.6163952,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84858961615&partnerID=40&md5=49c5566b8a73b9b2991f9177c653c7d4",Conference Paper,Scopus,2-s2.0-84858961615
"Seneff, S., Wainwright, G., Mascitelli, L.","Nutrition and Alzheimer's disease: The detrimental role of a high carbohydrate diet",2011,"European Journal of Internal Medicine","22","2",,"134","140",,26,10.1016/j.ejim.2010.12.017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952708896&partnerID=40&md5=ba267d9f911a172c8d9b50489a2b9354",Review,Scopus,2-s2.0-79952708896
"Seneff, S., Wainwright, G., Mascitelli, L.","Is the metabolic syndrome caused by a high fructose, and relatively low fat, low cholesterol diet?",2011,"Archives of Medical Science","7","1",,"8","20",,24,10.5114/aoms.2011.20598,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952520227&partnerID=40&md5=939e21932961a6d376451543105c84ed",Review,Scopus,2-s2.0-79952520227
"Shapiro, A.D., Tyack, P.L., Seneff, S.","Comparing call-based versus subunit-based methods for categorizing Norwegian killer whale, Orcinus orca, vocalizations",2011,"Animal Behaviour","81","2",,"377","386",,13,10.1016/j.anbehav.2010.09.020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78751619165&partnerID=40&md5=a949ac22406e66c1ae14da4c656c6bff",Article,Scopus,2-s2.0-78751619165
"Polifroni, J., Kiss, I., Seneff, S.","Speech for content creation",2011,"International Journal of Mobile Human Computer Interaction","3","2",,"35","49",,,10.4018/jmhci.2011040103,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944879656&partnerID=40&md5=3883d90998500c81c237fc17eab1a25c",Article,Scopus,2-s2.0-84944879656
"Polifroni, J., Seneff, S., Branavan, S.R.K., Wang, C., Barzilay, R.","Good grief, i can speak it! Preliminary experiments in audio restaurant reviews",2010,"2010 IEEE Workshop on Spoken Language Technology, SLT 2010 - Proceedings",,, 5700828,"91","96",,,10.1109/SLT.2010.5700828,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79951800152&partnerID=40&md5=fb013ce31286387f23ab5624aa12aaa9",Conference Paper,Scopus,2-s2.0-79951800152
"Xu, Y., Seneff, S., Li, A., Polifroni, J.","Semantic understanding by combining extended CFG parser with HMM model",2010,"2010 IEEE Workshop on Spoken Language Technology, SLT 2010 - Proceedings",,, 5700824,"67","72",,,10.1109/SLT.2010.5700824,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79951805292&partnerID=40&md5=24fd4d0e4e0280830492996a8d42f49f",Conference Paper,Scopus,2-s2.0-79951805292
"Liu, J., Seneff, S., Zue, V.","Utilizing review summarization in a spoken recommendation system",2010,"Proceedings of the SIGDIAL 2010 Conference: 11th Annual Meeting of the Special Interest Group onDiscourse and Dialogue",,,,"83","86",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863247746&partnerID=40&md5=d877fab96d0cdf736f41c7807b12dbe7",Conference Paper,Scopus,2-s2.0-84863247746
"Liu, S., Seneff, S., Glass, J.","A collective data generation method for speech language models",2010,"2010 IEEE Workshop on Spoken Language Technology, SLT 2010 - Proceedings",,, 5700855,"223","228",,,10.1109/SLT.2010.5700855,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79951789564&partnerID=40&md5=7e042a2cb6c445b29cca3123867fd876",Conference Paper,Scopus,2-s2.0-79951789564
"Polifroni, J., Seneff, S.","Combining word-based features, statistical language models, and parsing for named entity recognition",2010,"Proceedings of the 11th Annual Conference of the International Speech Communication Association, INTERSPEECH 2010",,,,"1289","1292",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959816556&partnerID=40&md5=69fa4ccf19b039d53c8b5f831f2582f9",Conference Paper,Scopus,2-s2.0-79959816556
"Xu, Y., Seneff, S.","Dialogue management based on entities and constraints",2010,"Proceedings of the SIGDIAL 2010 Conference: 11th Annual Meeting of the Special Interest Group onDiscourse and Dialogue",,,,"87","90",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863230066&partnerID=40&md5=7730469e5a3c303f07db2cc633ba9c44",Conference Paper,Scopus,2-s2.0-84863230066
"Liu, J., Seneff, S., Zue, V.","Dialogue-oriented review summary generation for spoken dialogue recommendation systems",2010,"NAACL HLT 2010 - Human Language Technologies: The 2010 Annual Conference of the North American Chapter of the Association for Computational Linguistics, Proceedings of the Main Conference",,,,"64","72",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863367655&partnerID=40&md5=8d3beee2b1d809a01437a59510dc9a05",Conference Paper,Scopus,2-s2.0-84863367655
"Liu, J., Seneff, S.","Review sentiment scoring via a parse-and-paraphrase paradigm",2009,"EMNLP 2009 - Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing: A Meeting of SIGDAT, a Special Interest Group of ACL, Held in Conjunction with ACL-IJCNLP 2009",,,,"161","169",,27,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053432823&partnerID=40&md5=a9caedc79a091f2b61ff1fc32d34498c",Conference Paper,Scopus,2-s2.0-80053432823
"Peabody, M., Seneff, S.","Annotation and features of non-native Mandarin tone quality",2009,"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH",,,,"460","463",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70450194883&partnerID=40&md5=5f7e6661cf32762661c9666abbdb9518",Conference Paper,Scopus,2-s2.0-70450194883
"McGraw, I., Yoshimoto, B., Seneff, S.","Speech-enabled card games for incidental vocabulary acquisition in a foreign language",2009,"Speech Communication","51","10",,"1006","1023",,7,10.1016/j.specom.2009.04.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67650569252&partnerID=40&md5=3da0fd0a9e8bdfc40235de921abb4a11",Article,Scopus,2-s2.0-67650569252
"Gruenstein, A., Reimer, B., Orszulak, J., Mehler, B., Liu, S., Seneff, S., Roberts, S., Glass, J., Zabel, J., Coughlin, J.","City Browser: Developing a conversational automotive HMI",2009,"Conference on Human Factors in Computing Systems - Proceedings",,,,"4291","4296",,1,10.1145/1520340.1520655,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349168275&partnerID=40&md5=df66f289a2b095aabf9bd55e92c598b7",Conference Paper,Scopus,2-s2.0-70349168275
"McGraw, I., Seneff, S.","Speech-enabled card games for language learners",2008,"Proceedings of the National Conference on Artificial Intelligence","2",,,"778","783",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-57749183848&partnerID=40&md5=50ced5b6fe099255a4384ed84c694c27",Conference Paper,Scopus,2-s2.0-57749183848
"Lee, J., Seneff, S.","Correcting misuse of verb forms",2008,"ACL-08: HLT - 46th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies, Proceedings of the Conference",,,,"174","182",,13,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952261900&partnerID=40&md5=4ed9ab2c0265180f32f0dd413f9a5e1a",Conference Paper,Scopus,2-s2.0-79952261900
"Xu, Y., Liu, J., Seneff, S.","Mandarin language understanding in dialogue context",2008,"Proceedings - 2008 6th International Symposium on Chinese Spoken Language Processing, ISCSLP 2008",,, 4730294,"113","116",,,10.1109/CHINSL.2008.ECP.40,"http://www.scopus.com/inward/record.url?eid=2-s2.0-60849083253&partnerID=40&md5=e90ca0fd10f95edf74919050a3eae068",Conference Paper,Scopus,2-s2.0-60849083253
"Xu, Y., Seneff, S.","Two-stage translation: A combined linguistic and statistical machine translation framework",2008,"AMTA 2008 - 8th Conference of the Association for Machine Translation in the Americas",,,,"","",10,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863251012&partnerID=40&md5=d0e5f6ea323847f8cf9a3b331a01e327",Conference Paper,Scopus,2-s2.0-84863251012
"Xu, Y., Seneff, S.","Mandarin learning using speech and language technologies: A translation game in the travel domain",2008,"Proceedings - 2008 6th International Symposium on Chinese Spoken Language Processing, ISCSLP 2008",,, 4730273,"29","32",,,10.1109/CHINSL.2008.ECP.19,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650759129&partnerID=40&md5=d14e1e8cbf96d16a61530c8d837f74c7",Conference Paper,Scopus,2-s2.0-78650759129
"Lee, J., Seneff, S.","An analysis of grammatical errors in non-native speech in English",2008,"2008 IEEE Workshop on Spoken Language Technology, SLT 2008 - Proceedings",,, 4777847,"89","92",,1,10.1109/SLT.2008.4777847,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67649512425&partnerID=40&md5=42b938104c1490dcc5fe743a5e2a4cd6",Conference Paper,Scopus,2-s2.0-67649512425
"Liu, J., Xu, Y., Seneff, S., Zue, V.","CityBrowser II: A multimodal restaurant guide in Mandarin",2008,"Proceedings - 2008 6th International Symposium on Chinese Spoken Language Processing, ISCSLP 2008",,, 4730304,"153","156",,1,10.1109/CHINSL.2008.ECP.50,"http://www.scopus.com/inward/record.url?eid=2-s2.0-60849103512&partnerID=40&md5=c5cc5ed18e8f49eb66dcf3fec92bd940",Conference Paper,Scopus,2-s2.0-60849103512
"Choueiter, G.F., Ohannessian, M.I., Seneff, S., Glass, J.R.","A Turbo-style algorithm for lexical baseforms estimation",2008,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",,, 4518609,"4313","4316",,1,10.1109/ICASSP.2008.4518609,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51449103917&partnerID=40&md5=1e42de0d319c7ec186e41aed67f3a149",Conference Paper,Scopus,2-s2.0-51449103917
"Wu, H.-C., Seneff, S.","Reducing recognition error rate based on context relationships among dialogue turns",2007,"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH","2",,,"1093","1096",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-56149113513&partnerID=40&md5=842b718107573f4341ad86ee3ada21b3",Conference Paper,Scopus,2-s2.0-56149113513
"Lee, J., Seneff, S.","Automatic generation of cloze items for prepositions",2007,"International Speech Communication Association - 8th Annual Conference of the International Speech Communication Association, Interspeech 2007","3",,,"2133","2136",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-56149123082&partnerID=40&md5=41f1a72b4f30493db63afd0b46b6263e",Conference Paper,Scopus,2-s2.0-56149123082
"Choueiter, G.F., Seneff, S., Glass, J.R.","New word acquisition using subword modeling",2007,"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH","1",,,"741","744",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-56249144838&partnerID=40&md5=873aad34eb02cf7bd7bd410f42935c4a",Conference Paper,Scopus,2-s2.0-56249144838
"Gruenstein, A., Seneff, S.","Releasing a multimodal dialogue system into the wild: User support mechanisms",2007,"Proceedings of the 8th SIGdial Workshop on Discourse and Dialogue",,,,"111","119",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857696531&partnerID=40&md5=fd16dff286aeb33bb715c74bd1f6e8c3",Conference Paper,Scopus,2-s2.0-84857696531
"Choueiter, G.F., Seneff, S., Glass, J.R.","Automatic lexical pronunciations generation and update",2007,"2007 IEEE Workshop on Automatic Speech Recognition and Understanding, ASRU 2007, Proceedings",,, 4430113,"225","230",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44849133265&partnerID=40&md5=f157ea4d4716bbc492ccc04a93c7c4b1",Conference Paper,Scopus,2-s2.0-44849133265
"Wang, C., Seneff, S.","Automatic assessment of student translations for foreign language tutoring",2007,"NAACL HLT 2007 - Human Language Technologies 2007: The Conference of the North American Chapter of the Association for Computational Linguistics, Proceedings of the Main Conference",,,,"468","475",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863337546&partnerID=40&md5=c813a77c9917055ec6bc0ba188aeeeca",Conference Paper,Scopus,2-s2.0-84863337546
