Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Shen, H.-S., Chen, X., Guo, L., Wu, L., Huang, X.-L.","Nonlinear vibration of FGM doubly curved panels resting on elastic foundations in thermal environments",2015,"Aerospace Science and Technology","47",,,"434","446",,,10.1016/j.ast.2015.10.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946202792&partnerID=40&md5=67c9a77506b9534f0681949605803779",Article,Scopus,2-s2.0-84946202792
"Shen, H.-S., Xiang, Y.","Nonlinear response of nanotube-reinforced composite cylindrical panels subjected to combined loadings and resting on elastic foundations",2015,"Composite Structures","131",,,"939","950",,1,10.1016/j.compstruct.2015.06.042,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936996504&partnerID=40&md5=3ea960f4a709a95116e4397aac8292d4",Article,Scopus,2-s2.0-84936996504
"Shen, H.-S., Wang, H.","Nonlinear bending and postbuckling of FGM cylindrical panels subjected to combined loadings and resting on elastic foundations in thermal environments",2015,"Composites Part B: Engineering","78",,,"202","213",,,10.1016/j.compositesb.2015.03.078,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927765669&partnerID=40&md5=899b8d58b60cb1e3345e3272080bd83e",Article,Scopus,2-s2.0-84927765669
"Shen, H.-S.","Nonlinear analysis of functionally graded fiber reinforced composite laminated beams in hygrothermal environments, Part I: Theory and solutions",2015,"Composite Structures","125",,,"698","705",,,10.1016/j.compstruct.2014.12.024,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939977337&partnerID=40&md5=d298c6badd29f01a9bf31936334f1c2c",Article,Scopus,2-s2.0-84939977337
"Shen, H.-S.","Nonlinear analysis of functionally graded fiber reinforced composite laminated beams in hygrothermal environments, Part II: Numerical results",2015,"Composite Structures","125",,,"706","712",,,10.1016/j.compstruct.2014.12.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928578542&partnerID=40&md5=7ec1371c7895137bf15f6e2142a93382",Article,Scopus,2-s2.0-84928578542
"Shen, H.-S., Yang, D.-Q.","Nonlinear vibration of functionally graded fiber reinforced composite laminated beams with piezoelectric fiber reinforced composite actuators in thermal environments",2015,"Engineering Structures","90",,,"183","192",,,10.1016/j.engstruct.2015.02.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925670187&partnerID=40&md5=b5353ec073831053f773087204e3bef5",Article,Scopus,2-s2.0-84925670187
"Shen, H.-S., Xiang, Y.","Thermal postbuckling of nanotube-reinforced composite cylindrical panels resting on elastic foundations",2015,"Composite Structures","123",,,"383","392",,1,10.1016/j.compstruct.2014.12.059,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921508508&partnerID=40&md5=b4c34aeab7c0046d38b5fd78d2ac4cf2",Article,Scopus,2-s2.0-84921508508
"Shen, H.-S., Wang, H.","Postbuckling of FGM cylindrical panels resting on elastic foundations subjected to axial compression under heat conduction",2015,"Journal of Aerospace Engineering","28","4", 4014102,"","",,,10.1061/(ASCE)AS.1943-5525.0000439,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84932168096&partnerID=40&md5=fb6334ed3d37c493636a869687d68498",Article,Scopus,2-s2.0-84932168096
"Shen, H.-S., Yang, D.-Q.","Nonlinear vibration of functionally graded fiber-reinforced composite laminated cylindrical shells in hygrothermal environments",2015,"Applied Mathematical Modelling","39","5-6",,"1480","1499",,,10.1016/j.apm.2014.09.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924657479&partnerID=40&md5=28d9131db7d0a483143b128e65e99286",Article,Scopus,2-s2.0-84924657479
"Shen, H.-S., Wang, H.","Nonlinear bending of FGM cylindrical panels resting on elastic foundations in thermal environments",2015,"European Journal of Mechanics, A/Solids","49",,,"49","59",,3,10.1016/j.euromechsol.2014.06.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905577600&partnerID=40&md5=aef10457737f4e51bcde7ef07891ce37",Article,Scopus,2-s2.0-84905577600
